corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,AIPE,ADRIANO  DELGADO GUTIERREZ,PARTIDO CAMBIO RADICAL,42664
Concejo,HUILA,AIPE,ALVARO  AMAYA BAHAMON,JUNTOS POR AIPE,42705
Concejo,HUILA,AIPE,AMIN  TRUJILLO GARZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42691
Concejo,HUILA,AIPE,ANA GILMA MORALES ,PARTIDO CAMBIO RADICAL,42663
Concejo,HUILA,AIPE,ANGELICA MARIA CANIZALES VIDAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42693
Concejo,HUILA,AIPE,BAUDELINO  MORA ORJUELA,PARTIDO LIBERAL COLOMBIANO,42633
Concejo,HUILA,AIPE,BENJAMIN  BAHAMON RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42690
Concejo,HUILA,AIPE,BERTILDA  CUEVAS CASTAÑEDA,PARTIDO ALIANZA VERDE,42668
Concejo,HUILA,AIPE,CARLOS  CIFUENTES CHARRY,PARTIDO CONSERVADOR COLOMBIANO,42649
Concejo,HUILA,AIPE,CARLOS EDUARDO DIAZ LEON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42685
Concejo,HUILA,AIPE,CARLOS IVAN GARZON CHARRY,PARTIDO CAMBIO RADICAL,42656
Concejo,HUILA,AIPE,CESAR  CHARRY MORA,PARTIDO ALIANZA VERDE,42672
Concejo,HUILA,AIPE,CLAUDIA  PRESENTACION SUAREZ,PARTIDO CAMBIO RADICAL,42659
Concejo,HUILA,AIPE,CLAUDIA XIMENA MONTES ALDANA,PARTIDO LIBERAL COLOMBIANO,42631
Concejo,HUILA,AIPE,DARIO  DUSSAN SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42697
Concejo,HUILA,AIPE,DARIS YALEIDA PABON URIBE,PARTIDO CENTRO DEMOCRATICO,42640
Concejo,HUILA,AIPE,DIEGO  PERDOMO PERDOMO,JUNTOS POR AIPE,42701
Concejo,HUILA,AIPE,DIEGO MAURICIO CANO HORTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42677
Concejo,HUILA,AIPE,EDITH  RAMIREZ YEPES,PARTIDO ALIANZA VERDE,42666
Concejo,HUILA,AIPE,EDUARD SNEYDER CUBILLOS PEREZ,PARTIDO ALIANZA VERDE,42667
Concejo,HUILA,AIPE,EDUARDO  MOSQUERA LASSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42700
Concejo,HUILA,AIPE,ELI  CUBILLOS RUBIANO,PARTIDO CONSERVADOR COLOMBIANO,42647
Concejo,HUILA,AIPE,ELI ALFURE YARA GARZON,PARTIDO CAMBIO RADICAL,42665
Concejo,HUILA,AIPE,ERMIN  MOLINA CORTES,PARTIDO CONSERVADOR COLOMBIANO,42645
Concejo,HUILA,AIPE,FABIAN  GUTIERREZ CONDE,PARTIDO LIBERAL COLOMBIANO,42630
Concejo,HUILA,AIPE,FABIAN  LLANOS DIAZ,PARTIDO CONSERVADOR COLOMBIANO,42650
Concejo,HUILA,AIPE,FELIX MARIA POLANIA MONTAÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42696
Concejo,HUILA,AIPE,FERNANDO  SALGUERO RODRIGUEZ,PARTIDO ALIANZA VERDE,42671
Concejo,HUILA,AIPE,GENTIL  QUINTERO ARCINIEGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42679
Concejo,HUILA,AIPE,GLADIS  GIRALDO BEDOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42681
Concejo,HUILA,AIPE,GLORIA CECILIA DURAN MUÑOZ,JUNTOS POR AIPE,42707
Concejo,HUILA,AIPE,GONZALO  PERDOMO LASSO,JUNTOS POR AIPE,42703
Concejo,HUILA,AIPE,HEIDY LORENA LOSADA MAYOR,PARTIDO ALIANZA VERDE,42675
Concejo,HUILA,AIPE,HENDERSON  MOLANO ESPAÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42698
Concejo,HUILA,AIPE,HERNAN DARIO FALLA ALDANA,PARTIDO LIBERAL COLOMBIANO,42629
Concejo,HUILA,AIPE,IBEHT  SANCHEZ ROA,JUNTOS POR AIPE,117868
Concejo,HUILA,AIPE,JAIME  TOVAR RAMOS,PARTIDO LIBERAL COLOMBIANO,42636
Concejo,HUILA,AIPE,JAVIER EDGARDO PERALTA RODRIGUEZ,PARTIDO CAMBIO RADICAL,42655
