corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,ALTAMIRA,ALBERTO  CORREA TOCORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42836
Concejo,HUILA,ALTAMIRA,ALBERTO  PEREZ REBOLLEDO,PARTIDO LIBERAL COLOMBIANO,42794
Concejo,HUILA,ALTAMIRA,ANDRES CAMILO CRUZ PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42828
Concejo,HUILA,ALTAMIRA,ANDRES FERNANDO PEREZ GARCIA,PARTIDO COLOMBIA RENACIENTE,42810
Concejo,HUILA,ALTAMIRA,ANGEL MARIA RAMIREZ PUENTES,PARTIDO ALIANZA VERDE,42827
Concejo,HUILA,ALTAMIRA,ANYELA MARIA FAJARDO SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42837
Concejo,HUILA,ALTAMIRA,ARTURO  DIAZ CALDERON,PARTIDO CENTRO DEMOCRATICO,42800
Concejo,HUILA,ALTAMIRA,BENITO  RAMIREZ GUTIERREZ,PARTIDO COLOMBIA RENACIENTE,42808
Concejo,HUILA,ALTAMIRA,CARLOS  RAMIREZ PUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42839
Concejo,HUILA,ALTAMIRA,CAROLINA  GUARNIZO GASCA,PARTIDO ALIANZA VERDE,42825
Concejo,HUILA,ALTAMIRA,DIOMEDES  GARCIA MARTINEZ,PARTIDO COLOMBIA RENACIENTE,42811
Concejo,HUILA,ALTAMIRA,EDELMIRA  GUTIERREZ HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42838
Concejo,HUILA,ALTAMIRA,EDUAR REINEL MANJARRES CORRALES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42833
Concejo,HUILA,ALTAMIRA,EFRAIN  VASQUEZ FALLA,PARTIDO LIBERAL COLOMBIANO,42796
Concejo,HUILA,ALTAMIRA,ESPERANZA  GASCA DIAZ,PARTIDO CONSERVADOR COLOMBIANO,42819
Concejo,HUILA,ALTAMIRA,FABIO  GONZALEZ JIMENEZ,PARTIDO CENTRO DEMOCRATICO,42804
Concejo,HUILA,ALTAMIRA,HECTOR  PEREZ IBARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42805
Concejo,HUILA,ALTAMIRA,ISAIAS  GUTIERREZ PINEDA,PARTIDO CONSERVADOR COLOMBIANO,117869
Concejo,HUILA,ALTAMIRA,JAIME  CORREA LOZANO,PARTIDO CENTRO DEMOCRATICO,42801
Concejo,HUILA,ALTAMIRA,JOHN EDER OROZCO NARVAEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42834
Concejo,HUILA,ALTAMIRA,JOSE JAIME MUÑOZ CARDOSO,PARTIDO LIBERAL COLOMBIANO,42797
Concejo,HUILA,ALTAMIRA,JOSE RENATO ORTIZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42832
Concejo,HUILA,ALTAMIRA,JUAN CARLOS CRUZ PARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42841
Concejo,HUILA,ALTAMIRA,KAREN NICOL GUARNIZO MONDRAGON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42840
Concejo,HUILA,ALTAMIRA,KELLY TATIANA DIAZ VARGAS,PARTIDO ALIANZA VERDE,42826
Concejo,HUILA,ALTAMIRA,LAURA JOSEFINA MACIAS NARANJO,PARTIDO COLOMBIA RENACIENTE,42812
Concejo,HUILA,ALTAMIRA,LIDA MARIA GONZALEZ CARVAJAL,PARTIDO CENTRO DEMOCRATICO,42802
Concejo,HUILA,ALTAMIRA,LILI ALEJANDRA IBAÑEZ BARBOSA,PARTIDO CONSERVADOR COLOMBIANO,42818
Concejo,HUILA,ALTAMIRA,LORENA  CANO CABRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42831
Concejo,HUILA,ALTAMIRA,LUIS CARLOS IBARRA CRUZ,PARTIDO LIBERAL COLOMBIANO,42795
Concejo,HUILA,ALTAMIRA,LUZ ARLEDIS CARVAJAL ALFARO,PARTIDO CENTRO DEMOCRATICO,42803
Concejo,HUILA,ALTAMIRA,LUZ YANETH VAQUIRO TAPIERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42829
Concejo,HUILA,ALTAMIRA,MARIA EDITH CANO SERRATO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42835
Concejo,HUILA,ALTAMIRA,MARIA FERNANDA VALENCIA RINCON,PARTIDO ALIANZA VERDE,42823
Concejo,HUILA,ALTAMIRA,MARLY YINETH FAJARDO LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42830
Concejo,HUILA,ALTAMIRA,MILLER  VARGAS ,PARTIDO COLOMBIA RENACIENTE,42807
Concejo,HUILA,ALTAMIRA,ODILIA  PEDRAZA BARRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42806
Concejo,HUILA,ALTAMIRA,OLGA MARCELA DIAZ VARGAS,PARTIDO COLOMBIA RENACIENTE,42809
Concejo,HUILA,ALTAMIRA,OSCAR ORLANDO PAQUE POLANCO,PARTIDO ALIANZA VERDE,42821
Concejo,HUILA,ALTAMIRA,RICAURTE  SOTO DIAZ,PARTIDO CONSERVADOR COLOMBIANO,42814
Concejo,HUILA,ALTAMIRA,ROOSVEL ARMANDO ESCOBAR TRUJILLO,PARTIDO ALIANZA VERDE,42824
Concejo,HUILA,ALTAMIRA,SOFIA  DIAZ TOVAR,PARTIDO LIBERAL COLOMBIANO,42799
Concejo,HUILA,ALTAMIRA,SOFIA  YUSTY CERQUERA,PARTIDO LIBERAL COLOMBIANO,42798
Concejo,HUILA,ALTAMIRA,TIBERIO  JIMENEZ SANCHEZ,PARTIDO ALIANZA VERDE,42822
Concejo,HUILA,ALTAMIRA,YENNY  PERDOMO LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,42815
Concejo,HUILA,ALTAMIRA,YESSICA KATHERINE GALINDO FAJARDO,PARTIDO CONSERVADOR COLOMBIANO,42817
Concejo,HUILA,ALTAMIRA,YURY ALEXANDRA MODRAGON CHAUX,PARTIDO COLOMBIA RENACIENTE,42813
