corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,BARAYA,ALIX CECILIA VELASCO CORTES,PARTIDO LIBERAL COLOMBIANO,42842
Concejo,HUILA,BARAYA,ALVARO  AMAYA GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42859
Concejo,HUILA,BARAYA,ALVARO  AVILES FIERRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42889
Concejo,HUILA,BARAYA,ALVARO  MACIAS SANCHEZ,PARTIDO CENTRO DEMOCRATICO,42851
Concejo,HUILA,BARAYA,AMANDA  COMETA OSORIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42861
Concejo,HUILA,BARAYA,AMPARO  MARTINEZ URRIAGO,PARTIDO CENTRO DEMOCRATICO,42856
Concejo,HUILA,BARAYA,AMPARO  PACHECO SANCHEZ,PARTIDO ALIANZA VERDE,42878
Concejo,HUILA,BARAYA,ANGELA  GARNICA RIAÑO,PARTIDO LIBERAL COLOMBIANO,42850
Concejo,HUILA,BARAYA,ANGELA  LOZANO POLANIA,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42911
Concejo,HUILA,BARAYA,ARIANA FERNANDA RODRIGUEZ CLEVES,PARTIDO CAMBIO RADICAL,42871
Concejo,HUILA,BARAYA,BEATRIZ  TRUJILLO MONROY,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42858
Concejo,HUILA,BARAYA,BRAYIAN FARUB SUAREZ VILLARREAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42905
Concejo,HUILA,BARAYA,CARLOS  PALOMAR OTALORA,PARTIDO CAMBIO RADICAL,42869
Concejo,HUILA,BARAYA,CARLOS ANDRES PEREZ PACHECO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42883
Concejo,HUILA,BARAYA,CARLOS ANDRES TRUJILLO TRUJILLO,PARTIDO CAMBIO RADICAL,42873
Concejo,HUILA,BARAYA,CAROLINA  MUÑOZ BURGOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42893
Concejo,HUILA,BARAYA,CESAR AUGUSTO DIAZ PUENTES,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42908
Concejo,HUILA,BARAYA,DAGOBERTO  HERMOSA AMAYA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42902
Concejo,HUILA,BARAYA,DANIEL DAVID CARDOZO SOLANO,PARTIDO CENTRO DEMOCRATICO,42854
Concejo,HUILA,BARAYA,DANIELA  RODRIGUEZ MARTINEZ,PARTIDO ALIANZA VERDE,42875
Concejo,HUILA,BARAYA,DARIO  MOSQUERA MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42888
Concejo,HUILA,BARAYA,DIANA DEL PILAR VALENZUELA SILVA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42860
Concejo,HUILA,BARAYA,DIANA MARCELA CUBILLOS CAVIEDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42896
Concejo,HUILA,BARAYA,DIANA PATRICIA AMAYA MACIAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42887
Concejo,HUILA,BARAYA,DIEGO ANIBAL RODRIGUEZ PERDOMO,PARTIDO ALIANZA VERDE,42877
Concejo,HUILA,BARAYA,EDNA MAYURI HERRERA CARDOSO,PARTIDO LIBERAL COLOMBIANO,42844
Concejo,HUILA,BARAYA,EDUARDO  SUAREZ MEDINA,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42907
Concejo,HUILA,BARAYA,EDWIN ESTID CUELLAR ARAGONEZ,PARTIDO LIBERAL COLOMBIANO,42843
Concejo,HUILA,BARAYA,ERBIN  TOVAR VARGAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42863
Concejo,HUILA,BARAYA,FABIO  CALDERON FIGUEROA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42885
Concejo,HUILA,BARAYA,FEDERICO  CHAVARRO MACIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42890
Concejo,HUILA,BARAYA,GONZALO  FALLA ,PARTIDO ALIANZA VERDE,42880
Concejo,HUILA,BARAYA,HERMIDES  RIVAS PERDOMO,PARTIDO LIBERAL COLOMBIANO,42849
Concejo,HUILA,BARAYA,HERMINZO  CUELLAR BONILLA,PARTIDO LIBERAL COLOMBIANO,42845
Concejo,HUILA,BARAYA,HERNAN  MIRANDA BARRIOS,PARTIDO CAMBIO RADICAL,42872
Concejo,HUILA,BARAYA,HUGO  AMEZQUITA MURCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42895
Concejo,HUILA,BARAYA,HUGO LEONARDO CORTES RIVERA,PARTIDO CENTRO DEMOCRATICO,42855
Concejo,HUILA,BARAYA,ISIDRO  NIETO SOTO,PARTIDO LIBERAL COLOMBIANO,42848
Concejo,HUILA,BARAYA,JESUS DAVID AGUILAR ROJAS,PARTIDO CAMBIO RADICAL,42867
Concejo,HUILA,BARAYA,JOHN FREDDY CASAS SANCHEZ,PARTIDO CENTRO DEMOCRATICO,42852
Concejo,HUILA,BARAYA,JOHN JAIRO CUELLAR CARDOZO,PARTIDO CAMBIO RADICAL,42870
Concejo,HUILA,BARAYA,JORGE ANDRES QUINTERO ESPINOSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42891
Concejo,HUILA,BARAYA,JOSE FELICIANO CAICEDO MANYOMA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42901
Concejo,HUILA,BARAYA,JOSE HESPER VELASQUEZ DURAN,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42909
Concejo,HUILA,BARAYA,JOSE LUIS GONZALEZ CALDERON,PARTIDO ALIANZA VERDE,42876
Concejo,HUILA,BARAYA,JOSE NAUL PLAZA ESCOBAR,PARTIDO ALIANZA VERDE,42874
Concejo,HUILA,BARAYA,JUDITH  GARCIA AVILES,PARTIDO CAMBIO RADICAL,42865
Concejo,HUILA,BARAYA,JULIANA CAMILA PRADILLA FIERRO,PARTIDO ALIANZA VERDE,42879
Concejo,HUILA,BARAYA,KIBER MAURICIO AGUILAR CARDOSO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42912
Concejo,HUILA,BARAYA,LUIS EDUARDO CARDOSO ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42864
Concejo,HUILA,BARAYA,MARIA CRISTINA AMAYA MACIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42892
Concejo,HUILA,BARAYA,MARIA DEL CARMEN MENDEZ GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42857
Concejo,HUILA,BARAYA,MARIA INES AYALA TORRES,PARTIDO CAMBIO RADICAL,42868
Concejo,HUILA,BARAYA,MARTHA  RIVAS ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42910
Concejo,HUILA,BARAYA,MAYORY  CUELLAR ARAGONEZ,PARTIDO CENTRO DEMOCRATICO,42853
Concejo,HUILA,BARAYA,MILTON MARIO GARZON VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42886
Concejo,HUILA,BARAYA,NORMA CONSTANZA FLOREZ BENITEZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42906
Concejo,HUILA,BARAYA,NORMA CONSTANZA MACIAS SANCHEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42899
Concejo,HUILA,BARAYA,ORLANDO  RIVAS HERRERA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42897
Concejo,HUILA,BARAYA,OTONIEL  ORTIZ PERALTA,PARTIDO LIBERAL COLOMBIANO,42846
Concejo,HUILA,BARAYA,RICARDO  SOLORZANO ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42862
Concejo,HUILA,BARAYA,ROBINSON  PUENTES ARAGONEZ,PARTIDO CAMBIO RADICAL,42866
Concejo,HUILA,BARAYA,RODOLFO  HURTADO CAMPOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42900
Concejo,HUILA,BARAYA,SAUL  CUBILLOS ,PARTIDO LIBERAL COLOMBIANO,42847
Concejo,HUILA,BARAYA,SEBASTIAN  AMAYA VILLARREAL,PARTIDO ALIANZA VERDE,42882
Concejo,HUILA,BARAYA,VICTOR  LOZANO POLANIA,PARTIDO ALIANZA VERDE,42881
Concejo,HUILA,BARAYA,WILLIAM EDUARDO TOVAR ORTIZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42913
Concejo,HUILA,BARAYA,WILTON MIGUEL SANCHEZ PERDOMO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42894
Concejo,HUILA,BARAYA,YAZMIN  CAVIEDES CUELLAR,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42903
Concejo,HUILA,BARAYA,YEISON ARVEY ARAGONEZ QUIROGA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,42898
Concejo,HUILA,BARAYA,YISELA  MENDEZ SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42884
