corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,LA PLATA,ABELARDO  GUZMAN SERRATO,PARTIDO ALIANZA VERDE,44032
Concejo,HUILA,LA PLATA,ABELARDO  MOMPOTES HERNANDEZ,PARTIDO ALIANZA VERDE,44037
Concejo,HUILA,LA PLATA,ADALGISA  RUIZ PALECHOR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44057
Concejo,HUILA,LA PLATA,ADELA  CHILO PARDO,PARTIDO CENTRO DEMOCRATICO,43991
Concejo,HUILA,LA PLATA,AIDA CELINA LEMOS RAMIREZ,PARTIDO CAMBIO RADICAL,44029
Concejo,HUILA,LA PLATA,ALBA LUZ ACHURY OLCUNCHE,UNIDAD POR LA PLATA,44071
Concejo,HUILA,LA PLATA,ALEXANDER  VEGA ,PARTIDO ALIANZA VERDE,44041
Concejo,HUILA,LA PLATA,ANATOLIA  FERNANDEZ MUÑOZ,PARTIDO ALIANZA VERDE,44045
Concejo,HUILA,LA PLATA,ANDRES MAURICIO SANCHEZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,43984
Concejo,HUILA,LA PLATA,ANGEL MAURICIO SANTOFIMIO TRUJILLO,PARTIDO CAMBIO RADICAL,44026
Concejo,HUILA,LA PLATA,BARBARA  VILLALOBOS LISCANO,UNIDAD POR LA PLATA,44065
Concejo,HUILA,LA PLATA,BEATRIZ ELENA CAMPOS MONTILLA,PARTIDO ALIANZA VERDE,44035
Concejo,HUILA,LA PLATA,BERTULFO  BORJA CLAVIJO,UNIDAD POR LA PLATA,44073
Concejo,HUILA,LA PLATA,CARLOS EDUARDO CERQUERA ,PARTIDO CENTRO DEMOCRATICO,43992
Concejo,HUILA,LA PLATA,CARLOS EDUARDO QUILINDO MENESES,PARTIDO CONSERVADOR COLOMBIANO,44015
Concejo,HUILA,LA PLATA,CARLOS JOHANNY USECHE BERNAL,PARTIDO LIBERAL COLOMBIANO,43983
Concejo,HUILA,LA PLATA,CARLOS ORLANDO PAJOY PAJOY,PARTIDO ALIANZA VERDE,44033
Concejo,HUILA,LA PLATA,CENEIDA  PARRA GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,44007
Concejo,HUILA,LA PLATA,CIELO PATRICIA LEIVA ARDILA,PARTIDO CENTRO DEMOCRATICO,43994
Concejo,HUILA,LA PLATA,CLARA ROSA ALARCON PERDOMO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44061
Concejo,HUILA,LA PLATA,DAGOBERTO  LUNA LUNA,PARTIDO ALIANZA VERDE,44044
Concejo,HUILA,LA PLATA,DARIO FERNANDO ORTIZ LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,44002
Concejo,HUILA,LA PLATA,DIANA DEL PILAR CEBALLOS NIETO,PARTIDO CENTRO DEMOCRATICO,43993
Concejo,HUILA,LA PLATA,DIANA MARCELA LOPEZ RAMOS,UNIDAD POR LA PLATA,44072
Concejo,HUILA,LA PLATA,DIEGO ALEXANDER MOMPOTES BECERRA,PARTIDO LIBERAL COLOMBIANO,43985
Concejo,HUILA,LA PLATA,DIEGO GERMAN RUIZ ROJAS,PARTIDO CAMBIO RADICAL,44021
Concejo,HUILA,LA PLATA,DIEGO HERNANDO CANDELA FIERRO,PARTIDO CONSERVADOR COLOMBIANO,44014
Concejo,HUILA,LA PLATA,EDGAR ANDRES RAMIREZ LOPEZ,PARTIDO LIBERAL COLOMBIANO,43982
Concejo,HUILA,LA PLATA,EDILBERTO  LIZCANO PENCUE,PARTIDO CENTRO DEMOCRATICO,43995
Concejo,HUILA,LA PLATA,EDWARD ALBERTO CORDOBA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44058
Concejo,HUILA,LA PLATA,EDWIN JAVIER QUINTERO QUINTERO,UNIDAD POR LA PLATA,44066
Concejo,HUILA,LA PLATA,EYDER  OSORIO MOLANO,PARTIDO CAMBIO RADICAL,44031
Concejo,HUILA,LA PLATA,FAVER YOBANY YASNO HOYOS,PARTIDO CAMBIO RADICAL,44020
Concejo,HUILA,LA PLATA,FLORALBA  BERNAL ORJUELA,PARTIDO POLITICO MIRA,44048
Concejo,HUILA,LA PLATA,FRANCISCO  ÑAÑEZ POPAYAN,PARTIDO CENTRO DEMOCRATICO,43996
Concejo,HUILA,LA PLATA,FREDDY JESUS PEÑA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44060
Concejo,HUILA,LA PLATA,FREDY ESNEIDER CUELLAR HURTADO,PARTIDO CAMBIO RADICAL,44030
Concejo,HUILA,LA PLATA,GEIDI YULENA BURBANO SALAZAR,UNIDAD POR LA PLATA,44070
Concejo,HUILA,LA PLATA,GLORIA MARCELA ESPITIA LOPEZ,PARTIDO LIBERAL COLOMBIANO,43974
Concejo,HUILA,LA PLATA,GUILLERMO  BERMEO TEJADA,PARTIDO LIBERAL COLOMBIANO,43979
Concejo,HUILA,LA PLATA,HENRY  MARTINEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44055
Concejo,HUILA,LA PLATA,HERNAN JAVIER ANDRADE CARDOSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44059
Concejo,HUILA,LA PLATA,HERNAN MAURICIO PUYO ANDRADE,PARTIDO CONSERVADOR COLOMBIANO,44003
Concejo,HUILA,LA PLATA,HUGO ARMANDO MONTALVO ZAMBRANO,PARTIDO CONSERVADOR COLOMBIANO,44006
Concejo,HUILA,LA PLATA,IMELDA  YASNO PERDOMO,PARTIDO CENTRO DEMOCRATICO,43997
Concejo,HUILA,LA PLATA,ISABEL  RAMIREZ PEREZ,PARTIDO CONSERVADOR COLOMBIANO,44005
Concejo,HUILA,LA PLATA,JABIER HUMBERTO ARGUELLO LOSADA,PARTIDO CAMBIO RADICAL,44019
Concejo,HUILA,LA PLATA,JAIR  RIASCOS BENAVIDES,PARTIDO CAMBIO RADICAL,44024
Concejo,HUILA,LA PLATA,JAVIER  ROJAS PEÑA,UNIDAD POR LA PLATA,44067
Concejo,HUILA,LA PLATA,JAVIER  TOVAR NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44054
Concejo,HUILA,LA PLATA,JERLY JAROLEYDY SANCHEZ CASTAÑEDA,PARTIDO CAMBIO RADICAL,44018
Concejo,HUILA,LA PLATA,JESUS DAVID LASCANO SALAZAR,UNIDAD POR LA PLATA,44064
Concejo,HUILA,LA PLATA,JESUS ORLANDO LOPEZ MENESES,PARTIDO CENTRO DEMOCRATICO,43998
Concejo,HUILA,LA PLATA,JHAROL ARNETH ALVIRA NORIEGA,PARTIDO ALIANZA VERDE,44040
Concejo,HUILA,LA PLATA,JHON JAMES CHAMORRO LOPEZ,UNIDAD POR LA PLATA,44062
