corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,NEIVA,ABELARDO  BERMEO ANDRADE,PARTIDO ALIANZA VERDE,42486
Concejo,HUILA,NEIVA,ADRIANA  ROJAS SALAZAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42517
Concejo,HUILA,NEIVA,ADRIANA LUCIA MARTINEZ LEYTON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42525
Concejo,HUILA,NEIVA,ALDEMAR  QUINTERO ,NEIVA PRIMERO,42536
Concejo,HUILA,NEIVA,ALEXANDER  BERNAL HERNANDEZ,NEIVA HUMANA Y ALTERNATIVA,42620
Concejo,HUILA,NEIVA,ALEXANDER  DIAZ CLAROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,42518
Concejo,HUILA,NEIVA,ALEXANDER  IBAÑEZ GUTIERREZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42598
Concejo,HUILA,NEIVA,ALEXANDER RAFAEL ZUÑIGA MARTINEZ,TRANSFORMEMOS NEIVA,42571
Concejo,HUILA,NEIVA,ALEXI JAVIER TRUJILLO RAMIREZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,42593
Concejo,HUILA,NEIVA,ALEXIS  LOSADA RODRIGUEZ,TRANSFORMEMOS NEIVA,42564
Concejo,HUILA,NEIVA,ALFONSO JOSE LOPEZ ESCOBAR,NEIVA HUMANA Y ALTERNATIVA,42627
Concejo,HUILA,NEIVA,ALMA DORIS FALLA CAMBERO,TRANSFORMEMOS NEIVA,42556
Concejo,HUILA,NEIVA,ALVARO  ACOSTA ALVAREZ,PARTIDO CENTRO DEMOCRATICO,42392
Concejo,HUILA,NEIVA,ALVARO  CAVIEDES CELIS,TRANSFORMEMOS NEIVA,42555
Concejo,HUILA,NEIVA,ALVARO  RODRIGUEZ MANRIQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42511
Concejo,HUILA,NEIVA,ANA JUDITH CHALA RODRIGUEZ,TRANSFORMEMOS NEIVA,42558
Concejo,HUILA,NEIVA,ANA MARIA GONZALEZ CORDON,PARTIDO ALIANZA VERDE,42487
Concejo,HUILA,NEIVA,ANDREA MILENA CASTAÑEDA CHARRY,NEIVA HUMANA Y ALTERNATIVA,42612
Concejo,HUILA,NEIVA,ANDREA MILENA QUINTERO BOBADILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,42506
Concejo,HUILA,NEIVA,ANDRES JULIAN BERNAL CARDOZO,TRANSFORMEMOS NEIVA,42567
Concejo,HUILA,NEIVA,ANDRES SAIN CASTAÑEDA SARMIENTO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,42404
