corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,OPORAPA,ABSALON  VARGAS MUÑOZ,PARTIDO ALIANZA VERDE,44162
Concejo,HUILA,OPORAPA,ADRIAN  MOLINA MENDIETA,PARTIDO CAMBIO RADICAL,44145
Concejo,HUILA,OPORAPA,ALESANDER  SALAZAR CHAVARRO,PARTIDO CAMBIO RADICAL,44149
Concejo,HUILA,OPORAPA,ALEX  CHAVARRO MUÑOZ,PARTIDO CAMBIO RADICAL,44144
Concejo,HUILA,OPORAPA,ANA ROSA OVALLE CRUZ,PARTIDO CAMBIO RADICAL,44151
Concejo,HUILA,OPORAPA,ANA VIRGELINA CIFUENTES LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,44143
Concejo,HUILA,OPORAPA,ANDRY MARLODIS VALDERRAMA STERLING,PARTIDO LIBERAL COLOMBIANO,44112
Concejo,HUILA,OPORAPA,ARCESIO  ROJAS LOSADA,PARTIDO CENTRO DEMOCRATICO,44122
Concejo,HUILA,OPORAPA,AURORA  HURTADO CRUZ,PARTIDO CENTRO DEMOCRATICO,44129
Concejo,HUILA,OPORAPA,BLAS YUBER CRUZ RAMOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44168
Concejo,HUILA,OPORAPA,DAGOBERTO  CLAROS GARCIA,PARTIDO CAMBIO RADICAL,44150
Concejo,HUILA,OPORAPA,DAMIAN  STERLING MOLINA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44165
Concejo,HUILA,OPORAPA,DEINER MARIN ULE CHAVARRO,PARTIDO CONSERVADOR COLOMBIANO,44142
Concejo,HUILA,OPORAPA,DINAS LEY DIAS CHAVARRO,PARTIDO CENTRO DEMOCRATICO,44125
Concejo,HUILA,OPORAPA,EDISON  ROJAS ROJAS,PARTIDO CENTRO DEMOCRATICO,44126
Concejo,HUILA,OPORAPA,EMIR  MONTES VARGAS,PARTIDO LIBERAL COLOMBIANO,44118
Concejo,HUILA,OPORAPA,ERSAID  MOLINA ROJAS,PARTIDO LIBERAL COLOMBIANO,44116
Concejo,HUILA,OPORAPA,ESLUBER  OME PERDOMO,PARTIDO CONSERVADOR COLOMBIANO,44138
Concejo,HUILA,OPORAPA,ESPERANZA  PERDOMO ,PARTIDO LIBERAL COLOMBIANO,44121
Concejo,HUILA,OPORAPA,FABIAN  CALDERON CUSPIAN,PARTIDO CONSERVADOR COLOMBIANO,44133
Concejo,HUILA,OPORAPA,FABIO  SALAS MOLINA,PARTIDO LIBERAL COLOMBIANO,44115
Concejo,HUILA,OPORAPA,FAIBER  COLLAZOS ,PARTIDO CAMBIO RADICAL,44152
Concejo,HUILA,OPORAPA,FERNANDO  CUMACO CONDE,PARTIDO ALIANZA VERDE,44159
Concejo,HUILA,OPORAPA,FLADERMIDTH  TRUJILLO CABRERA,PARTIDO CONSERVADOR COLOMBIANO,44139
Concejo,HUILA,OPORAPA,GEIDY PAOLA LOZANO CRUZ,PARTIDO LIBERAL COLOMBIANO,44120
Concejo,HUILA,OPORAPA,GILDARDO  TRUJILLO SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44163
Concejo,HUILA,OPORAPA,GLORIA ENID MAZABEL ROJAS,PARTIDO CONSERVADOR COLOMBIANO,44140
Concejo,HUILA,OPORAPA,HECTOR  CUELLAR ROJAS,PARTIDO CONSERVADOR COLOMBIANO,44137
Concejo,HUILA,OPORAPA,JAIR  LOPEZ CHAVARRO,PARTIDO CENTRO DEMOCRATICO,44128
Concejo,HUILA,OPORAPA,JELO  MUÑOZ MAZABEL,PARTIDO CENTRO DEMOCRATICO,44130
Concejo,HUILA,OPORAPA,JESUS ANTONIO ANTURY HOYOS,PARTIDO ALIANZA VERDE,44158
Concejo,HUILA,OPORAPA,JESUS ARBEY MEDINA CORDOBA,PARTIDO CENTRO DEMOCRATICO,44131
Concejo,HUILA,OPORAPA,JOSE ALFREDO SANCHEZ IQUIRA,PARTIDO LIBERAL COLOMBIANO,44119
Concejo,HUILA,OPORAPA,JOSE DEIMAR TORRES VALENCIANO,PARTIDO LIBERAL COLOMBIANO,44114
Concejo,HUILA,OPORAPA,JOSE DILVER CUELLAR ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,44134
Concejo,HUILA,OPORAPA,JOSE IVAN CARVAJAL MOTTA,PARTIDO LIBERAL COLOMBIANO,44111
Concejo,HUILA,OPORAPA,JOSE NORVEY CUELLAR PAPAMIJA,PARTIDO CONSERVADOR COLOMBIANO,44141
Concejo,HUILA,OPORAPA,JUAN CARLOS TORRES ,PARTIDO ALIANZA VERDE,44161
