corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,PAICOL,ADOLFO  MONJE CRUZ,PARTIDO CAMBIO RADICAL,44204
Concejo,HUILA,PAICOL,ALBEIRO  RIOS NAVEROS,PARTIDO CENTRO DEMOCRATICO,44182
Concejo,HUILA,PAICOL,ALBERTO  ALVARADO MORALES,PARTIDO CENTRO DEMOCRATICO,44183
Concejo,HUILA,PAICOL,ALCIVENY  PERDOMO TRUJILLO,PARTIDO LIBERAL COLOMBIANO,44177
Concejo,HUILA,PAICOL,ARMANDO  CABRERA SALAZAR,PARTIDO CONSERVADOR COLOMBIANO,44188
Concejo,HUILA,PAICOL,ARMANDO  PERDOMO ALVARADO,PARTIDO ALIANZA VERDE,44205
Concejo,HUILA,PAICOL,CAMILO  POLANCO CADENA,PARTIDO CENTRO DEMOCRATICO,44181
Concejo,HUILA,PAICOL,CARLOS JULIO OVIEDO CAMACHO,PARTIDO CAMBIO RADICAL,44196
Concejo,HUILA,PAICOL,CELIANO  ALVARADO CADENA,PARTIDO LIBERAL COLOMBIANO,44175
Concejo,HUILA,PAICOL,CESAR AUGUSTO PERDOMO PERDOMO,PARTIDO CAMBIO RADICAL,44197
Concejo,HUILA,PAICOL,CRISTOBAL  QUILINDO SANCHEZ,PARTIDO CAMBIO RADICAL,44199
Concejo,HUILA,PAICOL,DANIELA  MENDEZ LIZCANO,PARTIDO CONSERVADOR COLOMBIANO,44192
Concejo,HUILA,PAICOL,DIOSELINA  TOVAR SARRIAS,PARTIDO CAMBIO RADICAL,44198
Concejo,HUILA,PAICOL,EDWIN  MAYORGA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44209
Concejo,HUILA,PAICOL,EDWIN JAIR RAMIREZ LISCANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44216
Concejo,HUILA,PAICOL,FELICIANO ALBERTO HERNANDEZ LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44210
Concejo,HUILA,PAICOL,FLOR IMELDA VELASCO ASCUE,PARTIDO CONSERVADOR COLOMBIANO,44191
Concejo,HUILA,PAICOL,GERMAN EDUARDO ILLERA YAGUARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44220
Concejo,HUILA,PAICOL,HECTOR  TORRES CARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44221
Concejo,HUILA,PAICOL,HENRY  OCHOA ,PARTIDO CENTRO DEMOCRATICO,44180
Concejo,HUILA,PAICOL,HERMES FARITH CABRERA BAUTISTA,PARTIDO CAMBIO RADICAL,44200
Concejo,HUILA,PAICOL,HERMIDES  OTALORA TIERRADENTRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44214
Concejo,HUILA,PAICOL,JAIME  VARGAS SILVA,PARTIDO CONSERVADOR COLOMBIANO,44189
Concejo,HUILA,PAICOL,JAIVER  BARRERA MORA,PARTIDO CONSERVADOR COLOMBIANO,44190
