corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,PALERMO,ADRIANA MARLEN OSORIO ROJAS,PARTIDO CAMBIO RADICAL,44274
Concejo,HUILA,PALERMO,ALADIER  VARGAS CHALA,PARTIDO LIBERAL COLOMBIANO,44230
Concejo,HUILA,PALERMO,ALBER FERNANDO CASTAÑEDA PUENTES,PARTIDO ALIANZA VERDE,44290
Concejo,HUILA,PALERMO,ALEXIS AUGUSTO ROJAS ALDANA,PARTIDO CENTRO DEMOCRATICO,44232
Concejo,HUILA,PALERMO,ALIPIO  CARDOZO TRUJILLO,PARTIDO CENTRO DEMOCRATICO,44239
Concejo,HUILA,PALERMO,ANA ERLEY COLLAZOS ALARCON,PARTIDO CONSERVADOR COLOMBIANO,44265
Concejo,HUILA,PALERMO,ARMANDO SEGUNDO RAFAEL LEMOS GOYES,PARTIDO CAMBIO RADICAL,44276
Concejo,HUILA,PALERMO,ARQUIMEDES  VARGAS CASTAÑEDA,PARTIDO CONSERVADOR COLOMBIANO,44260
Concejo,HUILA,PALERMO,BARBARA  ALDANA YUSTRES,PARTIDO CAMBIO RADICAL,44278
Concejo,HUILA,PALERMO,BENJAMIN  GUTIERREZ ROJAS,PARTIDO CONSERVADOR COLOMBIANO,44263
Concejo,HUILA,PALERMO,BIBIANA  PERDOMO PULIDO,PARTIDO CONSERVADOR COLOMBIANO,44254
Concejo,HUILA,PALERMO,BIBIANA YULIETH TOVAR ZULETA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44295
Concejo,HUILA,PALERMO,BRAYAN ESNIT MEDINA GUILOMBO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44249
Concejo,HUILA,PALERMO,CARLOS AUGUSTO AUDOR RIVERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44294
Concejo,HUILA,PALERMO,CARLOS CICERON RAMIREZ CEDEÑO,PARTIDO CAMBIO RADICAL,44266
Concejo,HUILA,PALERMO,CLARA INES MONJE VARGAS,PARTIDO CENTRO DEMOCRATICO,44233
Concejo,HUILA,PALERMO,CLAUDIA PATRICIA PASTRANA NARVAEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44307
Concejo,HUILA,PALERMO,CRISTIAN MAURICIO SILVA CASTAÑEDA,PARTIDO ALIANZA VERDE,44284
Concejo,HUILA,PALERMO,DAGOBERTO  PLAZAS ,PARTIDO CENTRO DEMOCRATICO,44235
Concejo,HUILA,PALERMO,DANIELA ALEJANDRA ALAPE AGUINDA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44303
Concejo,HUILA,PALERMO,DIANA CAROLINA YAGUARA LOPEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44298
Concejo,HUILA,PALERMO,EDWIN  AUDOR AROS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44304
Concejo,HUILA,PALERMO,EDWIN ORLANDO ORTEGON SILVA,PARTIDO ALIANZA VERDE,44288
Concejo,HUILA,PALERMO,EFRAIN  PERDOMO CASTAÑEDA,PARTIDO CENTRO DEMOCRATICO,44237
Concejo,HUILA,PALERMO,ELKIN ENRIQUE ARTUNDUAGA GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44305
Concejo,HUILA,PALERMO,FABIAN  POLO VARGAS,PARTIDO LIBERAL COLOMBIANO,44229
Concejo,HUILA,PALERMO,FAIVER ANGEL CHALA ORTIZ,PARTIDO ALIANZA VERDE,44280
Concejo,HUILA,PALERMO,FERNANDO  CANACUE ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44296
Concejo,HUILA,PALERMO,FERNANDO  VIVAS CEDEÑO,PARTIDO CAMBIO RADICAL,44267
Concejo,HUILA,PALERMO,FRANCISCO  QUIMBAYA SALINAS,PARTIDO CENTRO DEMOCRATICO,44238
Concejo,HUILA,PALERMO,FRANKLIN  CHALA VASQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44243
Concejo,HUILA,PALERMO,FRANQUELINE  TRUJILLO GARAY,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44244
Concejo,HUILA,PALERMO,FREY ALEXANDER CUELLAR CORTES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44309
Concejo,HUILA,PALERMO,HASBLEIDY  RAMIREZ RAMIREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44293
Concejo,HUILA,PALERMO,JAVIER  RIVEROS ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,44259
Concejo,HUILA,PALERMO,JESUS ANTONIO MONTENEGRO RICO,PARTIDO CONSERVADOR COLOMBIANO,44255
Concejo,HUILA,PALERMO,JESUS HELY SUAREZ FIERRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44297
Concejo,HUILA,PALERMO,JHON ESTERLY VARGAS YAGUE,PARTIDO CONSERVADOR COLOMBIANO,44258
Concejo,HUILA,PALERMO,JHON MARIO PERDOMO DIAZ,PARTIDO ALIANZA VERDE,44281
Concejo,HUILA,PALERMO,JORGE EDUARDO ANGARITA SILVA,PARTIDO LIBERAL COLOMBIANO,44227
Concejo,HUILA,PALERMO,JORGE FERNANDO CRUZ PERDOMO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44251
Concejo,HUILA,PALERMO,JOSE ALBERTO LAGUNA ALDANA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44302
Concejo,HUILA,PALERMO,JOSE DE JESUS RINCON PULECIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44242
Concejo,HUILA,PALERMO,JOSE RENE SUAREZ CABRERA,PARTIDO CONSERVADOR COLOMBIANO,44262
Concejo,HUILA,PALERMO,JOSE YOVANNY RAMIREZ ORTIZ,PARTIDO ALIANZA VERDE,44279
Concejo,HUILA,PALERMO,JUAN ANGEL LAVAO POLANIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44299
Concejo,HUILA,PALERMO,JULIO CESAR DIAZ ALDANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44246
Concejo,HUILA,PALERMO,KAREN DANIELA SERRATO MENDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44308
Concejo,HUILA,PALERMO,KAREN YULIETH ZAMORA CASTRO,PARTIDO CAMBIO RADICAL,44268
Concejo,HUILA,PALERMO,LINA MARCELA SILVA GARCIA,PARTIDO CAMBIO RADICAL,44269
Concejo,HUILA,PALERMO,LUIS ERMES OSORIO ANDRADE,PARTIDO CAMBIO RADICAL,44277
Concejo,HUILA,PALERMO,LUIS FERNEY CAMACHO ACOSTA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44300
Concejo,HUILA,PALERMO,LUIS HELI QUIROGA PEÑA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44301
Concejo,HUILA,PALERMO,MANUEL LIBARDO MANCHOLA FIERRO,PARTIDO CENTRO DEMOCRATICO,44234
Concejo,HUILA,PALERMO,MARIA DEL SOCORRO TOVAR FIERRO,PARTIDO CENTRO DEMOCRATICO,44241
Concejo,HUILA,PALERMO,MARIA FERNANDA MONJE ,PARTIDO LIBERAL COLOMBIANO,44224
Concejo,HUILA,PALERMO,MARIA MOREYIS BERMUDEZ CASTAÑEDA,PARTIDO LIBERAL COLOMBIANO,44223
Concejo,HUILA,PALERMO,MARIO FERNANDO SAAVEDRA PINZON,PARTIDO CAMBIO RADICAL,44270
Concejo,HUILA,PALERMO,MARTA DENIS QUINTERO CERQUERA,PARTIDO CENTRO DEMOCRATICO,44236
Concejo,HUILA,PALERMO,MARTHA BIBIANA PEREZ ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44252
Concejo,HUILA,PALERMO,MELQUISEDEC  LAVAO GALINDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44247
Concejo,HUILA,PALERMO,MIGUEL ANGEL SAENZ LEGUIZAMO,PARTIDO LIBERAL COLOMBIANO,44225
Concejo,HUILA,PALERMO,NANCY  CASAS MONTILLA,PARTIDO LIBERAL COLOMBIANO,44228
Concejo,HUILA,PALERMO,NANCY  RIVERA POLANIA,PARTIDO ALIANZA VERDE,44283
Concejo,HUILA,PALERMO,NIXON  POLANIA QUINTERO,PARTIDO CAMBIO RADICAL,44275
Concejo,HUILA,PALERMO,OLMA  QUINTERO CLAVIJO,PARTIDO ALIANZA VERDE,44286
Concejo,HUILA,PALERMO,OSCAR IVAN LLANOS RODRIGUEZ,PARTIDO ALIANZA VERDE,44287
Concejo,HUILA,PALERMO,PROSPERO  VARGAS LUGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44250
Concejo,HUILA,PALERMO,RAFAEL ANTONIO MEDINA SAAVEDRA,PARTIDO CONSERVADOR COLOMBIANO,44253
Concejo,HUILA,PALERMO,RENE  SUAREZ SOLANO,PARTIDO CAMBIO RADICAL,44272
Concejo,HUILA,PALERMO,RIGOBERTO  GONZALEZ MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44306
Concejo,HUILA,PALERMO,RIGOBERTO  LLANOS GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,44261
Concejo,HUILA,PALERMO,ROBINSON  RAMIREZ LOSADA,PARTIDO CONSERVADOR COLOMBIANO,44264
Concejo,HUILA,PALERMO,ROGERS ALONSO ROJAS RAMIREZ,PARTIDO CENTRO DEMOCRATICO,44240
Concejo,HUILA,PALERMO,RUTH  POLANIA RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44245
Concejo,HUILA,PALERMO,SAIDY LORENA ABELLA LOSADA,PARTIDO ALIANZA VERDE,44285
Concejo,HUILA,PALERMO,SANDRA MAYERLY ALARCON PERDOMO,PARTIDO LIBERAL COLOMBIANO,44231
Concejo,HUILA,PALERMO,SONIA ESPERANZA AMEZQUITA CORTES,PARTIDO CONSERVADOR COLOMBIANO,44256
Concejo,HUILA,PALERMO,VICTOR JULIO RAMIREZ MINU,PARTIDO CAMBIO RADICAL,44273
Concejo,HUILA,PALERMO,WILLIAM JAVIER PASTRANA CELY,PARTIDO ALIANZA VERDE,44289
Concejo,HUILA,PALERMO,YASMINE  COLLAZOS GARCIA,PARTIDO CONSERVADOR COLOMBIANO,44257
Concejo,HUILA,PALERMO,YESID  LOZANO GARZON,PARTIDO CAMBIO RADICAL,44271
Concejo,HUILA,PALERMO,YHORMAN  PERDOMO VARGAS,PARTIDO ALIANZA VERDE,44282
Concejo,HUILA,PALERMO,YON JAIBER GONZALEZ ,PARTIDO LIBERAL COLOMBIANO,44226
Concejo,HUILA,PALERMO,YONATHAN ALEJANDRO ORTIZ PERDOMO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44292
Concejo,HUILA,PALERMO,YURLIN TATIANA SANCHEZ GALINDEZ,PARTIDO ALIANZA VERDE,44291
Concejo,HUILA,PALERMO,ZOHAR  GORDILLO BUYUCUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44248
