corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,PITAL,ABELARDO  MORERA ,PARTIDO LIBERAL COLOMBIANO,44419
Concejo,HUILA,PITAL,ALBEIRO  CUELLAR BARREIRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44493
Concejo,HUILA,PITAL,ALEXANDER  AVENDAÑO CURACA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44437
Concejo,HUILA,PITAL,ALEXANDER  PERDOMO MUÑOZ,PARTIDO ALIANZA VERDE,44476
Concejo,HUILA,PITAL,ANA DIALIDE MORA QUEVEDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44497
Concejo,HUILA,PITAL,ANDREA LICETH ALDANA ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,44456
Concejo,HUILA,PITAL,ANDRES  GOMEZ REPIZO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44481
Concejo,HUILA,PITAL,ARBEY  AVENDAÑO VILLAQUIRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44477
Concejo,HUILA,PITAL,BENJAMIN  TOVAR ROA,PARTIDO CONSERVADOR COLOMBIANO,44446
Concejo,HUILA,PITAL,BLANCA ALIRIA TRUJILLO ,PARTIDO LIBERAL COLOMBIANO,44424
Concejo,HUILA,PITAL,CARINE  SOLANO CUBILLOS,PARTIDO LIBERAL COLOMBIANO,44421
Concejo,HUILA,PITAL,CARLOS MARIN VARGAS GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44491
Concejo,HUILA,PITAL,CLARA INES FLOREZ VALENZUELA,PARTIDO ALIANZA VERDE,44470
Concejo,HUILA,PITAL,CRISTIAN  CHAUX MOLINA,PARTIDO CAMBIO RADICAL,44466
Concejo,HUILA,PITAL,DANIEL  CUAJI ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44490
Concejo,HUILA,PITAL,DELIA MARIA ARRIGUI CASTRO,PARTIDO CENTRO DEMOCRATICO,44432
Concejo,HUILA,PITAL,DEMETRIO  YUNDA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44503
Concejo,HUILA,PITAL,DIANA MARIA PRADA CESPEDES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44480
Concejo,HUILA,PITAL,DIEGO ALEJANDRO GUTIERREZ SUAREZ,PARTIDO ALIANZA VERDE,44474
Concejo,HUILA,PITAL,DULFARI  MONTES BISABUEL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44492
Concejo,HUILA,PITAL,EDELMIRO  MENDEZ CEDIEL,PARTIDO CONSERVADOR COLOMBIANO,44450
Concejo,HUILA,PITAL,EDWIN FARID LOPEZ FAJARDO,PARTIDO CENTRO DEMOCRATICO,44428
Concejo,HUILA,PITAL,ELIANA MARCELA SUAREZ ,PARTIDO ALIANZA VERDE,44471
Concejo,HUILA,PITAL,EMMA  ROA MONTES,PARTIDO CENTRO DEMOCRATICO,44427
Concejo,HUILA,PITAL,ESPERANZA  CUELLAR GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,44447
Concejo,HUILA,PITAL,ESTEBAN  SARRIAS NUÑEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44445
Concejo,HUILA,PITAL,EVER  SUAREZ SUAREZ,PARTIDO ALIANZA VERDE,44473
Concejo,HUILA,PITAL,FABIO  ACHIPIZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44443
Concejo,HUILA,PITAL,FERNEY  GARCIA OTAVO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44482
Concejo,HUILA,PITAL,FRANCISCO HERNAN CHAVARRO PERDOMO,PARTIDO ALIANZA VERDE,44472
Concejo,HUILA,PITAL,GILDARDO  ROJAS OIDOR,PARTIDO CAMBIO RADICAL,44467
Concejo,HUILA,PITAL,GINNA LILIANA TRUJILLO CUELLAR,PARTIDO ALIANZA VERDE,44468
Concejo,HUILA,PITAL,GLORIA EDITH AVENDAÑO ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44496
Concejo,HUILA,PITAL,HERMES  RUIZ RUIZ,PARTIDO CAMBIO RADICAL,44458
Concejo,HUILA,PITAL,IVAN  CONDE MEDINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44438
Concejo,HUILA,PITAL,JESUS ESNEIDER PAJOY PIZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44439
Concejo,HUILA,PITAL,JHONN JAIRO GARCIA ,PARTIDO LIBERAL COLOMBIANO,44423
Concejo,HUILA,PITAL,JOHN ALEXANDER ANAYA STERLING,PARTIDO CONSERVADOR COLOMBIANO,44448
Concejo,HUILA,PITAL,JOSE DAVID TOBAR CASTAÑEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44501
Concejo,HUILA,PITAL,JOSE IGNACIO MUÑOZ SERRATO,PARTIDO CAMBIO RADICAL,44462
Concejo,HUILA,PITAL,JOSE LUIS PAJOY MUÑOZ,PARTIDO CAMBIO RADICAL,44457
Concejo,HUILA,PITAL,JOSE VIANEY SALAZAR MUÑOZ,PARTIDO LIBERAL COLOMBIANO,44425
Concejo,HUILA,PITAL,JOSE WUILSON ERAZO CAVIEDES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44487
Concejo,HUILA,PITAL,JUAN CARLOS BERMUDEZ TRUJILLO,PARTIDO CENTRO DEMOCRATICO,44433
Concejo,HUILA,PITAL,JULY MARITZA NIPI ARANGO,PARTIDO CENTRO DEMOCRATICO,44429
Concejo,HUILA,PITAL,LUIS CARLOS OCAMPO CAMPOS,PARTIDO CONSERVADOR COLOMBIANO,44453
Concejo,HUILA,PITAL,LUIS EUSTORGIO ADAMES DELGADO,PARTIDO CENTRO DEMOCRATICO,44431
Concejo,HUILA,PITAL,LUISA FERNANDA CHAVARRO RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44499
Concejo,HUILA,PITAL,LUZ MARINA MOJICA BARAJAS,PARTIDO CAMBIO RADICAL,44465
Concejo,HUILA,PITAL,MANUEL FERNANDO SUAREZ CASTILLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44486
Concejo,HUILA,PITAL,MARCO FIDEL SUAREZ BARBOSA,PARTIDO CAMBIO RADICAL,44459
Concejo,HUILA,PITAL,MARIA DENNIS NUÑEZ CRUZ,PARTIDO CONSERVADOR COLOMBIANO,44451
Concejo,HUILA,PITAL,MARIA IGNACIA CHAUX CASTRO,PARTIDO CAMBIO RADICAL,44460
Concejo,HUILA,PITAL,MARIA NIDIA FERNANDEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44502
Concejo,HUILA,PITAL,MARIA RUSDELY SUAREZ ,PARTIDO LIBERAL COLOMBIANO,44422
Concejo,HUILA,PITAL,MARIELA  ALFARO OBSENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44440
Concejo,HUILA,PITAL,MARITZA  ROJAS ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44442
Concejo,HUILA,PITAL,MARTHA LILIANA GARZON QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44498
Concejo,HUILA,PITAL,MAURICIO  SUAREZ OSORIO,PARTIDO CENTRO DEMOCRATICO,44436
Concejo,HUILA,PITAL,MAYELY  FLOREZ ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44483
Concejo,HUILA,PITAL,MISAEL  TRIANA BECERRA,PARTIDO LIBERAL COLOMBIANO,44420
Concejo,HUILA,PITAL,MONICA  CHAVARRO CARVAJAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44484
Concejo,HUILA,PITAL,MYRIAM CONSTANZA ROA JOVEN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44444
Concejo,HUILA,PITAL,NATALY  TOVAR ROJAS,PARTIDO CENTRO DEMOCRATICO,44430
