corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,PITALITO,ABRAHAN  SANCHEZ MARQUEZ,PARTIDO COLOMBIA JUSTA LIBRES,44570
Concejo,HUILA,PITALITO,ALBA LUZ MOLINA MENDEZ,PARTIDO LIBERAL COLOMBIANO,44514
Concejo,HUILA,PITALITO,ALEXANDER  PLAZA GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,44582
Concejo,HUILA,PITALITO,ALEXANDER  QUISOBONI GOMEZ,PARTIDO LIBERAL COLOMBIANO,44516
Concejo,HUILA,PITALITO,ALVARO  TOVAR PALADINES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44623
Concejo,HUILA,PITALITO,ANA LUCIA PARAMO MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44544
Concejo,HUILA,PITALITO,ANGIE LISETH GOMEZ VARGAS,PARTIDO CONSERVADOR COLOMBIANO,44580
Concejo,HUILA,PITALITO,ANGIE LIZETH SALDAÑA NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44656
Concejo,HUILA,PITALITO,ANTONIO ARCESIO GONZALEZ TORRES,PARTIDO CENTRO DEMOCRATICO,44535
Concejo,HUILA,PITALITO,ARGEMIRO  SAMBONI ROJAS,PARTIDO CONSERVADOR COLOMBIANO,44581
Concejo,HUILA,PITALITO,ARMANDO  AGUILAR TRUJILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44634
Concejo,HUILA,PITALITO,BENEDICTO  BURBANO FERNANDEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,44524
Concejo,HUILA,PITALITO,CAMILO ANDRES CABRERA MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44664
Concejo,HUILA,PITALITO,CARLOS ANDRES CORAL DAVILA,PARTIDO CENTRO DEMOCRATICO,44531
Concejo,HUILA,PITALITO,CARLOS ARTURO MORENO MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44657
Concejo,HUILA,PITALITO,CELMIRA  RAMON QUIROGA,PARTIDO POLITICO MIRA,44651
Concejo,HUILA,PITALITO,CESAR AUGUSTO BOLAÑOS LOSADA,PARTIDO CENTRO DEMOCRATICO,44539
Concejo,HUILA,PITALITO,CESAR MAURICIO SIERRA VALENCIA,PARTIDO CENTRO DEMOCRATICO,44540
Concejo,HUILA,PITALITO,CLARA PATRICIA MORENO ,PARTIDO COLOMBIA JUSTA LIBRES,44572
Concejo,HUILA,PITALITO,CLARENA  MORA MENDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44662
Concejo,HUILA,PITALITO,CLAUDIA MARCELA ORTIZ TOVAR,PARTIDO CENTRO DEMOCRATICO,44533
Concejo,HUILA,PITALITO,CLAUDIA PATRICIA GOMEZ TORRES,PARTIDO ALIANZA VERDE,44620
Concejo,HUILA,PITALITO,CRISTIAN JOSE QUIÑONES ,PARTIDO CAMBIO RADICAL,44599
Concejo,HUILA,PITALITO,CRUZ EMILIO CABALLERO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44660
Concejo,HUILA,PITALITO,DANIER RICHARZON TRUJILLO PAZ,PARTIDO COLOMBIA JUSTA LIBRES,44569
Concejo,HUILA,PITALITO,DARLY YOHENY LOPEZ GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44625
Concejo,HUILA,PITALITO,DAVID  MELO ESGUERRA,PARTIDO CONSERVADOR COLOMBIANO,44584
Concejo,HUILA,PITALITO,DAYANY  AMEZQUITA HERRERA,PARTIDO CENTRO DEMOCRATICO,44530
Concejo,HUILA,PITALITO,DEICY LORENA MUÑOZ CABRERA,PARTIDO CONSERVADOR COLOMBIANO,44588
Concejo,HUILA,PITALITO,DIEGO ALEJANDRO RODRIGUEZ CAVIEDES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44543
