corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,SALADOBLANCO,ADRIANA MARIA GOMEZ BAHOS,PARTIDO LIBERAL COLOMBIANO,44773
Concejo,HUILA,SALADOBLANCO,ALBERTO  CALDERON RUIZ,PARTIDO CENTRO DEMOCRATICO,44779
Concejo,HUILA,SALADOBLANCO,ALEJANDRO  PALECHOR SIERRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44832
Concejo,HUILA,SALADOBLANCO,ALEJANDRO  PEÑA PARRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44826
Concejo,HUILA,SALADOBLANCO,ALVARO  MEDINA BECERRA,PARTIDO CONSERVADOR COLOMBIANO,44800
Concejo,HUILA,SALADOBLANCO,ANDRES  ARCOS BARRERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117875
Concejo,HUILA,SALADOBLANCO,ANGELA MARIA ANACONA CERON,PARTIDO ALIANZA VERDE,44812
Concejo,HUILA,SALADOBLANCO,ARMANDO  CUELLAR BURGOS,PARTIDO CONSERVADOR COLOMBIANO,44794
Concejo,HUILA,SALADOBLANCO,ARNOVIS  PLAZAS ARTUNDUAGA,PARTIDO CAMBIO RADICAL,44805
Concejo,HUILA,SALADOBLANCO,DIEGO JAVIER VELA ORTIZ,PARTIDO LIBERAL COLOMBIANO,44769
Concejo,HUILA,SALADOBLANCO,DOLY COSTANZA ALVAREZ GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117871
Concejo,HUILA,SALADOBLANCO,DUVAN FELIPE BOLAÑOZ CADENA,PARTIDO ALIANZA VERDE,44815
Concejo,HUILA,SALADOBLANCO,EFIGENIA  RENGIFO ACOSTA,PARTIDO LIBERAL COLOMBIANO,44776
Concejo,HUILA,SALADOBLANCO,ERMIDES  TRUJILLO YASNO,PARTIDO CENTRO DEMOCRATICO,44780
Concejo,HUILA,SALADOBLANCO,GERARDO  PALECHOR SALAMANCA,PARTIDO CENTRO DEMOCRATICO,44781
Concejo,HUILA,SALADOBLANCO,GERMAN CAMILO CUELLAR VARGAS,PARTIDO LIBERAL COLOMBIANO,44774
Concejo,HUILA,SALADOBLANCO,HENRY  CAICEDO GUAÑARITA,PARTIDO ALIANZA VERDE,44822
Concejo,HUILA,SALADOBLANCO,HERNAN DARIO HERNANDEZ HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,44782
Concejo,HUILA,SALADOBLANCO,IVAN DARIO CORREA PALADINES,PARTIDO CAMBIO RADICAL,44809
Concejo,HUILA,SALADOBLANCO,JAIDER ANDRES PARRA NOMELIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117874
Concejo,HUILA,SALADOBLANCO,JAIRO  GOMEZ ,PARTIDO LIBERAL COLOMBIANO,44771
Concejo,HUILA,SALADOBLANCO,JAIVER  JIMENEZ MUÑOZ,PARTIDO CAMBIO RADICAL,44811
Concejo,HUILA,SALADOBLANCO,JENNY JULIETH SCARPETTA PARRA,PARTIDO CAMBIO RADICAL,44804
Concejo,HUILA,SALADOBLANCO,JESUS  DAZA GAVIRIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44833
Concejo,HUILA,SALADOBLANCO,JHON ALEXANDER ORTEGA LASSO,PARTIDO CAMBIO RADICAL,44807
Concejo,HUILA,SALADOBLANCO,JOSE ALDALIVAR JAMIOY GUENIS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44789
Concejo,HUILA,SALADOBLANCO,JOSE ARNULFO CABRERA MAZABEL,PARTIDO ALIANZA VERDE,44820
Concejo,HUILA,SALADOBLANCO,JOSE LEONARDO MUÑOZ GAVILANES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44841
Concejo,HUILA,SALADOBLANCO,JOSE NORBEY CABRERA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,44770
Concejo,HUILA,SALADOBLANCO,JOSE OBER BARRAGAN ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44838
Concejo,HUILA,SALADOBLANCO,JOSE ORLANDO BOLAÑOS BURBANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44836
Concejo,HUILA,SALADOBLANCO,JOSE WILMER QUINAYAS PALADINES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44842
Concejo,HUILA,SALADOBLANCO,JUAN CARLOS RODRIGUEZ VARGAS,PARTIDO CENTRO DEMOCRATICO,44783
Concejo,HUILA,SALADOBLANCO,LEIDY JOHANNA ORTIZ CHAVARRO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44825
Concejo,HUILA,SALADOBLANCO,LEONARDO  PEÑA CORDOBA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44824
Concejo,HUILA,SALADOBLANCO,LIBARDO MARIA PEREZ RUIZ,PARTIDO CONSERVADOR COLOMBIANO,44802
Concejo,HUILA,SALADOBLANCO,LORENZO  PEÑA CASTRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44830
Concejo,HUILA,SALADOBLANCO,LUIS ALEJANDRO MELLIZO MEDINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44788
Concejo,HUILA,SALADOBLANCO,LUIS ANIBAL BERMUDEZ ICO,PARTIDO CONSERVADOR COLOMBIANO,44801
Concejo,HUILA,SALADOBLANCO,LUIS EDUARDO ROJAS SILVA,PARTIDO ALIANZA VERDE,44819
Concejo,HUILA,SALADOBLANCO,LUISA FERNANDA MORALES COLLAZOS,PARTIDO LIBERAL COLOMBIANO,44778
Concejo,HUILA,SALADOBLANCO,LUZ MILA DELGADO GUACA,PARTIDO ALIANZA VERDE,44813
Concejo,HUILA,SALADOBLANCO,LUZ MIRIAM MENESES VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44829
Concejo,HUILA,SALADOBLANCO,MANUEL ESTEBAN GUENIS ,PARTIDO ALIANZA VERDE,44821
Concejo,HUILA,SALADOBLANCO,MARIA DILIA ESTERLIN NEUTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44828
Concejo,HUILA,SALADOBLANCO,MARIA DIVER LOPEZ MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,44797
Concejo,HUILA,SALADOBLANCO,MARIA ELIZABETH ROJAS PERDOMO,PARTIDO CONSERVADOR COLOMBIANO,44796
Concejo,HUILA,SALADOBLANCO,MARIA SANDRA GOMEZ BUITRAGO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44840
Concejo,HUILA,SALADOBLANCO,MARISOL  VALENZUELA PEREZ,PARTIDO CENTRO DEMOCRATICO,44784
Concejo,HUILA,SALADOBLANCO,MARNOLY YUVENNA ARTUNDUAGA CALDERON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,44831
Concejo,HUILA,SALADOBLANCO,MARTHA MILENA CLAROS ,PARTIDO CONSERVADOR COLOMBIANO,44795
Concejo,HUILA,SALADOBLANCO,MIRRAIN  DIAZ HOYOS,PARTIDO CONSERVADOR COLOMBIANO,44798
Concejo,HUILA,SALADOBLANCO,MISAEL  CASTILLO ,PARTIDO LIBERAL COLOMBIANO,44775
Concejo,HUILA,SALADOBLANCO,NELCY DURLEY CALDERON ESPAÑA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,44791
Concejo,HUILA,SALADOBLANCO,NELSON  SANZA MONTEALEGRE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,44843
Concejo,HUILA,SALADOBLANCO,NIDIA MAGDA BELTRAN ARTUNDUAGA,PARTIDO ALIANZA VERDE,44817
Concejo,HUILA,SALADOBLANCO,NOELIA  PEREZ LAGUNA,PARTIDO CONSERVADOR COLOMBIANO,44793
Concejo,HUILA,SALADOBLANCO,OLIVER  VIVEROS MENESES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,44823
Concejo,HUILA,SALADOBLANCO,ONOFRE  AGUDELO CHANCHI,PARTIDO ALIANZA VERDE,44818
Concejo,HUILA,SALADOBLANCO,PAOLA  SCARPETTA ARTUNDUAGA,PARTIDO CAMBIO RADICAL,44808
