corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,TELLO,ALBA LUZ MORA ,PARTIDO ALIANZA VERDE,45263
Concejo,HUILA,TELLO,ANDREA JOHANA TIJARO DIAZ,PARTIDO LIBERAL COLOMBIANO,45236
Concejo,HUILA,TELLO,ANGIE KATHERINE CORTES YARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45277
Concejo,HUILA,TELLO,ARGENSO  SALAZAR CORTES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45256
Concejo,HUILA,TELLO,ARMANDO  BAUTISTA MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45274
Concejo,HUILA,TELLO,BALTAZAR  GOMEZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,45238
Concejo,HUILA,TELLO,BELISARIO  RAMIREZ OLAYA,PARTIDO LIBERAL COLOMBIANO,45234
Concejo,HUILA,TELLO,BRIGIT CATALINA CAMARGO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45278
Concejo,HUILA,TELLO,CARLOS ALBERTO SOLANO BARRERA,PARTIDO ALIANZA VERDE,45267
Concejo,HUILA,TELLO,CARLOS ANDRES MUÑOZ YUSUNGUAIRA,PARTIDO ALIANZA VERDE,45268
Concejo,HUILA,TELLO,CESAR JULIAN ZAMBRANO ORTIZ,PARTIDO ALIANZA VERDE,45260
Concejo,HUILA,TELLO,CLAUDIA MILENA DIAZ MOYA,PARTIDO CENTRO DEMOCRATICO,45246
Concejo,HUILA,TELLO,DANIEL ROBERTO PUENTES ESCOBAR,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45286
Concejo,HUILA,TELLO,DEICY  VALDERRAMA POLANCO,PARTIDO LIBERAL COLOMBIANO,45233
Concejo,HUILA,TELLO,DIEGO EDINSON CALDERON ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45288
Concejo,HUILA,TELLO,DUBER  GARZON MENDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45252
Concejo,HUILA,TELLO,DUVAN ARLEY HEREDIA AGUILAR,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45287
Concejo,HUILA,TELLO,EDGAR EDUARDO CALDERON QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45271
Concejo,HUILA,TELLO,EDWIN ARBEY DIAZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,45242
Concejo,HUILA,TELLO,FLOR DELY MOSQUERA GALINDO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45285
Concejo,HUILA,TELLO,GERSEN  DIAZ SEGURA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45273
Concejo,HUILA,TELLO,HECTOR EDUARDO HERNANDEZ ,PARTIDO CENTRO DEMOCRATICO,45245
Concejo,HUILA,TELLO,HERMINZO  TRUJILLO ROJAS,PARTIDO ALIANZA VERDE,45261
Concejo,HUILA,TELLO,JESUS ELIAS TAFUR CARDOSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45254
Concejo,HUILA,TELLO,JOSE FARID MOSQUERA PERDOMO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45257
Concejo,HUILA,TELLO,JOSE FRANCISCO SANCHEZ MOSQUERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45276
Concejo,HUILA,TELLO,JOSE JOAQUIN MARTINEZ ,PARTIDO CENTRO DEMOCRATICO,45249
Concejo,HUILA,TELLO,JOSUE  RIVERA QUEVEDO,PARTIDO LIBERAL COLOMBIANO,45243
Concejo,HUILA,TELLO,JUAN FELIPE TORRES MANRIQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45279
Concejo,HUILA,TELLO,LILIANA  RUBIANO SOTTO,PARTIDO CENTRO DEMOCRATICO,45247
Concejo,HUILA,TELLO,LUIS ANGEL MACIAS OLIVEROS,PARTIDO CAMBIO RADICAL,45259
Concejo,HUILA,TELLO,LUIS EDUARDO HERNANDEZ RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,45244
Concejo,HUILA,TELLO,LUZ FANNY LIZCANO NARVAEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45250
Concejo,HUILA,TELLO,MANUEL IGNACIO MARTINEZ ARCE,PARTIDO LIBERAL COLOMBIANO,45239
Concejo,HUILA,TELLO,MARI LUZ MARTINEZ VERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45258
Concejo,HUILA,TELLO,MARIA ADELA MOLINA YAGUE,PARTIDO ALIANZA VERDE,45269
Concejo,HUILA,TELLO,MARIA DEL  PILAR CUTIVA GUARNIZO,PARTIDO ALIANZA VERDE,45262
Concejo,HUILA,TELLO,MARIA JIMENA AVILES HERRERA,PARTIDO ALIANZA VERDE,45265
Concejo,HUILA,TELLO,MARIA SOCORRO MURCIA TOVAR,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45292
Concejo,HUILA,TELLO,MERCEDES  VANEGAS NAVARRO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45283
Concejo,HUILA,TELLO,OMAR  BRAVO VERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45272
Concejo,HUILA,TELLO,OSCAR FERNEY LOPEZ VEGA,PARTIDO ALIANZA VERDE,45266
Concejo,HUILA,TELLO,PABLO ENRIQUE RODRIGUEZ DIAZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45282
Concejo,HUILA,TELLO,PAULA ANDREA VERA MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45275
Concejo,HUILA,TELLO,RAUL  SOLANO SANTOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45251
Concejo,HUILA,TELLO,REINEL  ARCINIEGAS PERDOMO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45290
Concejo,HUILA,TELLO,ROBER EDINSON PERDOMO EZQUIVEL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45281
Concejo,HUILA,TELLO,ROMAN  GOMEZ MEDINA,PARTIDO CENTRO DEMOCRATICO,45248
Concejo,HUILA,TELLO,ROSABELH  RODRIGUEZ QUITORA,PARTIDO LIBERAL COLOMBIANO,45235
Concejo,HUILA,TELLO,RUBEN DAVID SOLANO VARGAS,PARTIDO ALIANZA VERDE,45264
Concejo,HUILA,TELLO,SANDRA MILENA RODRIGUEZ RODRIGUEZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45284
Concejo,HUILA,TELLO,SEGUNDO ABEL LOSADA MARTINEZ,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45289
Concejo,HUILA,TELLO,SILVIO  VANEGAS CAYCEDO,PARTIDO LIBERAL COLOMBIANO,45237
Concejo,HUILA,TELLO,TERESA  MONTENEGRO LEIVA,PARTIDO LIBERAL COLOMBIANO,45240
Concejo,HUILA,TELLO,WILINTON GREGORIO GARCIA ROCHA,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,45291
Concejo,HUILA,TELLO,YIMY FABIAN SILVA MACIAS,PARTIDO ALIANZA VERDE,45270
Concejo,HUILA,TELLO,YISELA  SANCHEZ BARRERA,PARTIDO LIBERAL COLOMBIANO,45241
Concejo,HUILA,TELLO,YURY DAIANA HERMOSA RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45253
Concejo,HUILA,TELLO,YURY MARLODY RUBIANO MALTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45280
