corp,dpto,mpio,name,party,wp_no
Concejo,HUILA,VILLAVIEJA,ABELARDO  SOTO ROJAS,PARTIDO CENTRO DEMOCRATICO,45496
Concejo,HUILA,VILLAVIEJA,ANA MARIA VANEGAS GIL,PARTIDO CAMBIO RADICAL,45514
Concejo,HUILA,VILLAVIEJA,ANDRES FELIPE BAHAMON SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,45534
Concejo,HUILA,VILLAVIEJA,ANDRES FELIPE ROJAS ALBARRAN,PARTIDO CONSERVADOR COLOMBIANO,45507
Concejo,HUILA,VILLAVIEJA,ANGELO  SANCHEZ CALLEJAS,PARTIDO LIBERAL COLOMBIANO,45478
Concejo,HUILA,VILLAVIEJA,ANGIE VANESA CHARRY HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45544
Concejo,HUILA,VILLAVIEJA,ANTONIO  GONZALEZ CORTES,PARTIDO CAMBIO RADICAL,45517
Concejo,HUILA,VILLAVIEJA,CAMILO ANDRES SEPULVEDA VASQUEZ,PARTIDO LIBERAL COLOMBIANO,45485
Concejo,HUILA,VILLAVIEJA,CARLOS ALBERTO CORTES HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,45503
Concejo,HUILA,VILLAVIEJA,CARLOS ANDRES ROJAS GONZALEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45542
Concejo,HUILA,VILLAVIEJA,CARLOS EDUARDO CASTILLO GUERRERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45538
Concejo,HUILA,VILLAVIEJA,CARLOS ENRIQUE CHARRY GARZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45547
Concejo,HUILA,VILLAVIEJA,CESAR FERNANDO MANIOS RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,45486
Concejo,HUILA,VILLAVIEJA,CIELO  PERDOMO PASCUAS,PARTIDO LIBERAL COLOMBIANO,45483
Concejo,HUILA,VILLAVIEJA,CRISTIAN ADOLFO GUTIERREZ PERDOMO,PARTIDO ALIANZA VERDE,45526
Concejo,HUILA,VILLAVIEJA,DANNA LIZETH SANDOVAL RIVERA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,45494
Concejo,HUILA,VILLAVIEJA,DENIS  VALDES PIEDRAHITA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,45488
Concejo,HUILA,VILLAVIEJA,DIANA CAROLINA VANEGAS ECHEVERRY,PARTIDO CONSERVADOR COLOMBIANO,45508
Concejo,HUILA,VILLAVIEJA,DORA LILIA GUTIERREZ CARRILLO,PARTIDO CAMBIO RADICAL,45515
Concejo,HUILA,VILLAVIEJA,DUNIA YOVANI PEÑAFIEL CHICUE,PARTIDO LIBERAL COLOMBIANO,45482
Concejo,HUILA,VILLAVIEJA,EDGAR  CORDOBA DUSSAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45543
Concejo,HUILA,VILLAVIEJA,EDGAR  PERDOMO QUEZADA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,45530
Concejo,HUILA,VILLAVIEJA,ELIZABETH  PAREDES CAPERA,PARTIDO CONSERVADOR COLOMBIANO,45505
Concejo,HUILA,VILLAVIEJA,ESNEIDER  CASTRO FALLA,PARTIDO CENTRO DEMOCRATICO,45497
Concejo,HUILA,VILLAVIEJA,ESPERANZA  DIAZ ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,45491
Concejo,HUILA,VILLAVIEJA,EVER  CASTRO MEDINA,PARTIDO CAMBIO RADICAL,45511
Concejo,HUILA,VILLAVIEJA,FAIBER  SANCHEZ SANDOVAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45541
