corp,dpto,mpio,name,party,wp_no
Concejo,LA GUAJIRA,BARRANCAS,ADAIL ALFONSO BOLIVAR PINTO,PARTIDO CONSERVADOR COLOMBIANO,84793
Concejo,LA GUAJIRA,BARRANCAS,ALBEIRO  AÑEZ DE ARMAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,84828
Concejo,LA GUAJIRA,BARRANCAS,ALVARO AQUILEO SOLANO CERCHAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84840
Concejo,LA GUAJIRA,BARRANCAS,ALVARO JOSE SALINA SALTAREN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84839
Concejo,LA GUAJIRA,BARRANCAS,AMPARO LUZ JULIO ROJAS,PARTIDO ALIANZA VERDE,84815
Concejo,LA GUAJIRA,BARRANCAS,ANDREA KAROLINA OJEDA BERMUDEZ,PARTIDO CONSERVADOR COLOMBIANO,84799
Concejo,LA GUAJIRA,BARRANCAS,ANGEL LUIS SUAREZ ORCASITA,PARTIDO LIBERAL COLOMBIANO,84749
Concejo,LA GUAJIRA,BARRANCAS,ANGELICA MARIA BRITO URIANA,PARTIDO LIBERAL COLOMBIANO,84747
Concejo,LA GUAJIRA,BARRANCAS,ANYI JASIVIS PINTO PINTO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,84830
Concejo,LA GUAJIRA,BARRANCAS,AURA MARIA UCROS PEREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,84855
Concejo,LA GUAJIRA,BARRANCAS,BRISSEL MADELEIN FONSECA REDONDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,84827
Concejo,LA GUAJIRA,BARRANCAS,CARLOS ANDRES CARRILLO OÑATE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84772
Concejo,LA GUAJIRA,BARRANCAS,CARLOS LEONARDO RONDON GOMEZ,PARTIDO LIBERAL COLOMBIANO,84745
Concejo,LA GUAJIRA,BARRANCAS,CARLOS MARIO SOTO GOMEZ,PARTIDO ALIANZA VERDE,84817
Concejo,LA GUAJIRA,BARRANCAS,CARMEN CECILIA PINTO DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,84833
Concejo,LA GUAJIRA,BARRANCAS,CINDY LORENA ARCINIEGAS VARGAS,PARTIDO CENTRO DEMOCRATICO,84759
Concejo,LA GUAJIRA,BARRANCAS,CIPRIANO SEGUNDO PINTO BRITO,PARTIDO ADA,84783
Concejo,LA GUAJIRA,BARRANCAS,CONSTANTINO  ARREGOCES VALENCIA,PARTIDO LIBERAL COLOMBIANO,84750
Concejo,LA GUAJIRA,BARRANCAS,CRISTIAN ALFONSO VIDAL PUSHAINA,PARTIDO ADA,84778
Concejo,LA GUAJIRA,BARRANCAS,DAISON DANIEL ORDOÑEZ DIAZ,PARTIDO ALIANZA VERDE,84820
Concejo,LA GUAJIRA,BARRANCAS,DAVID FRANCISCO PINTO LOPEZ,PARTIDO ADA,84785
Concejo,LA GUAJIRA,BARRANCAS,DIALA SUJEY PINTO VALDEBLANQUEZ,PARTIDO CONSERVADOR COLOMBIANO,84800
Concejo,LA GUAJIRA,BARRANCAS,DORALBA  VELASQUEZ PACHECO,PARTIDO LIBERAL COLOMBIANO,84746
Concejo,LA GUAJIRA,BARRANCAS,EDER AURELIO ARREGOCES PINTO,PARTIDO CONSERVADOR COLOMBIANO,84788
Concejo,LA GUAJIRA,BARRANCAS,EDINSON RAFAEL URIANA EPIEYU,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84769
Concejo,LA GUAJIRA,BARRANCAS,EIDER EMIRO GALVAN MEJIA,PARTIDO ALIANZA VERDE,84816
Concejo,LA GUAJIRA,BARRANCAS,ELIUT  PUELLO PEDROZO,PARTIDO ALIANZA VERDE,84818
Concejo,LA GUAJIRA,BARRANCAS,EMILIANO ENRIQUE URIANA URIANA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,84825
Concejo,LA GUAJIRA,BARRANCAS,ENRIQUE CARLOS BOLIVAR BOLIVAR,PARTIDO POLO DEMOCRATICO ALTERNATIVO,84850
Concejo,LA GUAJIRA,BARRANCAS,FLAVIO  EPIAYU EPIAYU,PARTIDO LIBERAL COLOMBIANO,84753
Concejo,LA GUAJIRA,BARRANCAS,GEANIE MERCEDES OSPINO COBO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84767
Concejo,LA GUAJIRA,BARRANCAS,GERALDINE VANESSA BRITO PINTO,PARTIDO CAMBIO RADICAL,84803
Concejo,LA GUAJIRA,BARRANCAS,GONZALO JAVIER MORALES DE LA ROSA,PARTIDO CAMBIO RADICAL,84807
Concejo,LA GUAJIRA,BARRANCAS,HEIDI COROMOTO SIERRA ESTRADA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,84854
Concejo,LA GUAJIRA,BARRANCAS,HIDANORA ESTHER PEREZ CAMPUZANO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,84849
Concejo,LA GUAJIRA,BARRANCAS,INGRIS LICETH SOLANO TUIRAN,PARTIDO ALIANZA VERDE,84819
Concejo,LA GUAJIRA,BARRANCAS,IVAN JOSE QUINTERO MUNEVAR,PARTIDO ADA,84784
Concejo,LA GUAJIRA,BARRANCAS,JAMEL ENRIQUE UCROS URIANA,PARTIDO CONSERVADOR COLOMBIANO,84790
