corp,dpto,mpio,name,party,wp_no
Concejo,LA GUAJIRA,DIBULLA,ALDEMAR ENRIQUE MINDIOLA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,84896
Concejo,LA GUAJIRA,DIBULLA,ALEXANDER  CERPA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,84901
Concejo,LA GUAJIRA,DIBULLA,ALEXIS DAVID FREYLE ALVAREZ,TODOS POR EL CAMBIO,84938
Concejo,LA GUAJIRA,DIBULLA,ALVIO JOSE GUZMAN PINTO,PARTIDO LIBERAL COLOMBIANO,84866
Concejo,LA GUAJIRA,DIBULLA,AMARILIS SENITH LINDO PIMIENTA,PARTIDO CONSERVADOR COLOMBIANO,84895
Concejo,LA GUAJIRA,DIBULLA,ANA AMINTA JAIMES GUEVARA,PARTIDO ALIANZA VERDE,84920
Concejo,LA GUAJIRA,DIBULLA,ANGEL GUILLERMO CEBALLOS LOPEZ,TODOS POR EL CAMBIO,84939
Concejo,LA GUAJIRA,DIBULLA,ANGEL MARIA DAZA RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,84899
Concejo,LA GUAJIRA,DIBULLA,ARGEMIRO ARTURO CABALLERO SINITAVE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84930
Concejo,LA GUAJIRA,DIBULLA,ASTRID LORENA REDONDO ESTRADA,PARTIDO LIBERAL COLOMBIANO,84856
Concejo,LA GUAJIRA,DIBULLA,BLANCA ISABEL TAPIAS MERCADO,PARTIDO CENTRO DEMOCRATICO,84869
Concejo,LA GUAJIRA,DIBULLA,CARLOS CALIXTO CAMPO REDONDO,PARTIDO ALIANZA VERDE,84916
Concejo,LA GUAJIRA,DIBULLA,CARLOS JULIO MORENO GARCIA,TODOS POR EL CAMBIO,84937
Concejo,LA GUAJIRA,DIBULLA,CESAR AUGUSTO PERTUZ TORREGROZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84890
Concejo,LA GUAJIRA,DIBULLA,CINDY PAOLA SANCHEZ FONTALVO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84924
Concejo,LA GUAJIRA,DIBULLA,CLARA AURORA BARRIOS CABRERA,PARTIDO CONSERVADOR COLOMBIANO,84903
Concejo,LA GUAJIRA,DIBULLA,DAINER DE JESUS BALLESTEROS MENA,PARTIDO ALIANZA VERDE,84918
Concejo,LA GUAJIRA,DIBULLA,EDILBERT NICOLAS MOSCOTE FREILE,PARTIDO LIBERAL COLOMBIANO,84860
Concejo,LA GUAJIRA,DIBULLA,EDWIN ENRIQUE SERPA TORRES,TODOS POR EL CAMBIO,84943
Concejo,LA GUAJIRA,DIBULLA,EFREN MANUEL CHOLES DE LUQUE,PARTIDO CONSERVADOR COLOMBIANO,84894
Concejo,LA GUAJIRA,DIBULLA,EIRON JOSE QUINTERO ALVARADO,PARTIDO ALIANZA VERDE,84914
Concejo,LA GUAJIRA,DIBULLA,ENEDINA PAULINA FONSECA MOSCOTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84929
Concejo,LA GUAJIRA,DIBULLA,ENOLIS EDUARDO MOVIL CURIEL,TODOS POR EL CAMBIO,84946
Concejo,LA GUAJIRA,DIBULLA,ERVIN ESNEIDER GONZALEZ PAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84932
Concejo,LA GUAJIRA,DIBULLA,ESMERALDA LEOPOLDINA CHOLES PACHECO,PARTIDO CAMBIO RADICAL,84912
Concejo,LA GUAJIRA,DIBULLA,ESTHER MARIA TAPIA BLANCO,PARTIDO CAMBIO RADICAL,84910
Concejo,LA GUAJIRA,DIBULLA,ESTIVENSON RAFAEL DELPRADO RAMIREZ,PARTIDO LIBERAL COLOMBIANO,84864
Concejo,LA GUAJIRA,DIBULLA,EUSTAQUIO  ZURITA MENDOZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84887
Concejo,LA GUAJIRA,DIBULLA,EVER ADOLFO POLO ALMAZO,PARTIDO CAMBIO RADICAL,84911
Concejo,LA GUAJIRA,DIBULLA,EXTUAR DEIVAN BARROS AREVALO,PARTIDO LIBERAL COLOMBIANO,84867
Concejo,LA GUAJIRA,DIBULLA,FELIPE  CLAVIJO DIAZ GRANADOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84927
Concejo,LA GUAJIRA,DIBULLA,FENRIS FREDI FREILE MALDONADO,PARTIDO LIBERAL COLOMBIANO,84861
