corp,dpto,mpio,name,party,wp_no
Concejo,LA GUAJIRA,HATONUEVO,ADOLFO ENRIQUE ORTIZ BOURIYU,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,85254
Concejo,LA GUAJIRA,HATONUEVO,AGUEDA ABIGAIL FONSECA GRANADILLO,PARTIDO CONSERVADOR COLOMBIANO,85225
Concejo,LA GUAJIRA,HATONUEVO,ALBERT RAFAEL HERNANDEZ BRITO,PARTIDO CAMBIO RADICAL,85235
Concejo,LA GUAJIRA,HATONUEVO,ANA MILENA GONZALEZ RUIZ,PARTIDO CAMBIO RADICAL,85236
Concejo,LA GUAJIRA,HATONUEVO,ANDRES EDUARDO RONDON OJEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,85261
Concejo,LA GUAJIRA,HATONUEVO,ARNOBIS AUGUSTO PEREIRA ARGEL,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,85186
Concejo,LA GUAJIRA,HATONUEVO,BLEIDIS CAROLINA DUARTE GONZALEZ,PARTIDO ALIANZA VERDE,85253
Concejo,LA GUAJIRA,HATONUEVO,BRENDA YOLEDIS MENDOZA HERRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,85258
Concejo,LA GUAJIRA,HATONUEVO,CALIXTO JAVIER FONSECA RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,85210
Concejo,LA GUAJIRA,HATONUEVO,CARMEN PATRICIA ORTIZ DUARTE,PARTIDO CONSERVADOR COLOMBIANO,85227
Concejo,LA GUAJIRA,HATONUEVO,CELSO JOAQUIN MENDOZA PERALTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,85266
Concejo,LA GUAJIRA,HATONUEVO,CESAR ANDRES CAMARGO IGUARAN,PARTIDO ADA,85221
Concejo,LA GUAJIRA,HATONUEVO,CRISTIAN DUVAN LINARES BRITO,PARTIDO CENTRO DEMOCRATICO,85194
Concejo,LA GUAJIRA,HATONUEVO,CRISTIAN JEOBANI CUELLO ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,85260
Concejo,LA GUAJIRA,HATONUEVO,DAGOBERTO  CANTILLO ORTIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,85212
Concejo,LA GUAJIRA,HATONUEVO,DALIS ELOISA MEDRANO RODRIGUEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,85187
Concejo,LA GUAJIRA,HATONUEVO,DELLIS LORENA RODRIGUEZ BENJUMEA,PARTIDO CAMBIO RADICAL,85237
Concejo,LA GUAJIRA,HATONUEVO,DENIRIS ESTER TORRES PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,85203
Concejo,LA GUAJIRA,HATONUEVO,EBER ENRIQUE RODRIGUEZ DE AGUAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,85204
Concejo,LA GUAJIRA,HATONUEVO,EDWIN ENRIQUE RUEDA PACHECO,PARTIDO CENTRO DEMOCRATICO,85198
Concejo,LA GUAJIRA,HATONUEVO,EFRAIN  GARCIA AVILA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,85191
Concejo,LA GUAJIRA,HATONUEVO,ELADIO DE JESUS RUEDA MIELES,PARTIDO CAMBIO RADICAL,85234
Concejo,LA GUAJIRA,HATONUEVO,ELDA ROSA VALLE RESTREPO,PARTIDO CONSERVADOR COLOMBIANO,85228
Concejo,LA GUAJIRA,HATONUEVO,EUDILVIDES  ORTIZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,85233
Concejo,LA GUAJIRA,HATONUEVO,FABIAN ANDRES LOPEZ PINTO,PARTIDO ALIANZA VERDE,85246
Concejo,LA GUAJIRA,HATONUEVO,FELIPE  IPUANA PUSHAINA,PARTIDO CONSERVADOR COLOMBIANO,85230
Concejo,LA GUAJIRA,HATONUEVO,FELIPE SEGUNDO FONSECA AMAYA,PARTIDO ALIANZA VERDE,85249
Concejo,LA GUAJIRA,HATONUEVO,GIOVANNI  GALLO HERRERA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,85190
Concejo,LA GUAJIRA,HATONUEVO,HAROLD JESUS MARCELES RAMOS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,85185
