corp,dpto,mpio,name,party,wp_no
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ABADIAS  CORDOBA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84244
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ADINA  ARIZA DE URBINA,PARTIDO CENTRO DEMOCRATICO,84131
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ADOLFO ENRIQUE PITRE ,PARTIDO LIBERAL COLOMBIANO,84122
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ADRIAN JAVIER VEGA MONTAÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84139
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ADRIANA CRISTINA ESTRADA GUTIERREZ,PARTIDO COLOMBIA RENACIENTE,84171
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ALDEMAR JOSE BONILLA MANJARREZ,PARTIDO COLOMBIA RENACIENTE,84162
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ALEIDA BEATRIZ ORTEGA ,PARTIDO ADA,84174
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ALEXANDRY  MEJIA DAZA,PARTIDO CONSERVADOR COLOMBIANO,84191
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,AMADO DE JESUS SANABRIA GIL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84144
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANA BEATRIZ MOLINA DIAZ,PARTIDO COLOMBIA RENACIENTE,84167
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANA JULIA GUERRA CORTES,PARTIDO LIBERAL COLOMBIANO,84116
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANA SILENIS GUTIERREZ MONTAÑO,PARTIDO CAMBIO RADICAL,84205
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANDRES RAFAEL MENDOZA OÑATES,PARTIDO COLOMBIA RENACIENTE,84170
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANDRES SEGUNDO BUSTOS CORONEL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84142
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ANDRIS NINIBETH MENDOZA AÑEZ,PARTIDO ADA,84175
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ARCESIO  GARCIA GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84237
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ARIEL ENRIQUE OTERO ORTEGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84233
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,ARNALDO JOSE OROZCO MOLINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84141
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,BEATRIZ ELENA CASALINS HINOJOSA,PARTIDO ALIANZA VERDE,84219
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,BLANCA ESTELA DAZA PABON,PARTIDO CENTRO DEMOCRATICO,84133
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CARLOS ALBERTO FUENTES GONZALEZ,PARTIDO CAMBIO RADICAL,84196
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CARLOS EDUARDO ROMERO VERGARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,84234
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CARLOS JESUS GIRALDO MANJARREZ,CONVERGENCIA SAN JUAN,84253
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CARLOS MARIO SOLANO CUELLO,PARTIDO CENTRO DEMOCRATICO,84130
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CARMEN IBETH MARTINEZ SARCO,PARTIDO CONSERVADOR COLOMBIANO,84186
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CENIA LICCETH DAZA OLIVER,PARTIDO LIBERAL COLOMBIANO,84123
Concejo,LA GUAJIRA,SAN JUAN DEL CESAR,CHERLIS JOHANA GAMEZ CUADROS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,84145
