corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,ALGARROBO,ALEX  ROMERO URINA,PARTIDO LIBERAL COLOMBIANO,48572
Concejo,MAGDALENA,ALGARROBO,ALEXANDER  MARTINEZ MENECES,PARTIDO LIBERAL COLOMBIANO,48573
Concejo,MAGDALENA,ALGARROBO,ALEXANDRA ISABEL ARCINIEGAS VIDES,PARTIDO CAMBIO RADICAL,48631
Concejo,MAGDALENA,ALGARROBO,ANA LIDA PIÑA MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,48616
Concejo,MAGDALENA,ALGARROBO,ANDRES FRANCISCO ESCANDON ALTAMAR,PARTIDO POLO DEMOCRATICO ALTERNATIVO,48672
Concejo,MAGDALENA,ALGARROBO,ANGEL  PEDROZA GUERRERO,PARTIDO COLOMBIA RENACIENTE,48598
Concejo,MAGDALENA,ALGARROBO,ANGEY PAOLA CALIZ RODRIGUEZ,PARTIDO ALIANZA VERDE,48643
Concejo,MAGDALENA,ALGARROBO,ANTONIO LUIS TAMARA LEGUIA,PARTIDO COLOMBIA RENACIENTE,48596
Concejo,MAGDALENA,ALGARROBO,ARTURO ANTONIO JARAMILLO AYALA,PARTIDO ALIANZA VERDE,48640
Concejo,MAGDALENA,ALGARROBO,AYDA ESTHER PERTUZ ROCHA,PARTIDO ADA,48610
Concejo,MAGDALENA,ALGARROBO,BEATRIZ ELENA MEZA GARCIA,PARTIDO COLOMBIA RENACIENTE,48601
Concejo,MAGDALENA,ALGARROBO,BEATRIZ EUGENIA MUÑOZ PORTILLO,PARTIDO CAMBIO RADICAL,48627
Concejo,MAGDALENA,ALGARROBO,CARDENIO JOSE ANDRADE GUTIERREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48654
Concejo,MAGDALENA,ALGARROBO,CARLOS ALBERTO PADILLA LUNA,PARTIDO CONSERVADOR COLOMBIANO,48621
Concejo,MAGDALENA,ALGARROBO,CARLOS LUIS VILORIA MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48650
Concejo,MAGDALENA,ALGARROBO,CLARA MERCEDES VERGARA CAMARGO,PARTIDO ADA,48604
Concejo,MAGDALENA,ALGARROBO,CLAUDIA ESTHER ACOSTA GUTIERREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48647
Concejo,MAGDALENA,ALGARROBO,DAGOBERTO  CERA DE AVILA,PARTIDO CONSERVADOR COLOMBIANO,48618
Concejo,MAGDALENA,ALGARROBO,DAIRO ENRIQUE MONTERROSA PEREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,48667
Concejo,MAGDALENA,ALGARROBO,DARIO JOSE RIOS AREVALO,PARTIDO CONSERVADOR COLOMBIANO,48615
Concejo,MAGDALENA,ALGARROBO,DAVID JOSE RODRIGUEZ MONSALVO,PARTIDO ADA,48606
Concejo,MAGDALENA,ALGARROBO,DEIVIS DE JESUS VIZCAINO PADILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48651
Concejo,MAGDALENA,ALGARROBO,DIANA LISETH NUÑEZ JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,48589
