corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),AGUSTIN ALFONSO CARO BATISTA,PARTIDO CAMBIO RADICAL,46118
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ALBA SOFIA PAZO SUAREZ,PARTIDO CENTRO DEMOCRATICO,46071
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ALEJANDRO DE JESUS CUDRIS TORRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46085
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ALEXANDER DARIO CUELLO ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46080
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ANA MILENA BATISTA ALFARO,PARTIDO COLOMBIA JUSTA LIBRES,46095
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ANGEL DAVID MOLINA MOLINA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46091
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ANGIE MARCELA JARABA RODRIGUEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,46058
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ANIBAL RAUL MAESTRE MEZA,PARTIDO LIBERAL COLOMBIANO,46048
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ARMANDO JAVIER ZAPATA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,46074
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ARTURO RAFAEL OSPINO PACHECO,PARTIDO CAMBIO RADICAL,46119
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),ASTRID ESTHER OSPINO ANDRADE,PARTIDO CONSERVADOR COLOMBIANO,46116
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),CARLOS YESID MONTAÑO OSPINO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46084
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),CARMEN DEL ROSARIO NUÑEZ GUZMAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,46160
Concejo,MAGDALENA,ARIGUANI (EL DIFICIL),CARMEN MARIA RIOS PALENCIA,PARTIDO ALIANZA VERDE,46136
