corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,ALVARO ANTONIO VERDOOREN LLANOS,PARTIDO CONSERVADOR COLOMBIANO,46187
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,ANA IRIS GARCIA DE LA HOZ,PARTIDO CENTRO DEMOCRATICO,46178
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,ANGELICA MARIA PEÑARANDA MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46186
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,ARIEL ENRIQUE FONTALVO TORRES,PARTIDO CAMBIO RADICAL,46196
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,AYDA LUZ ALVAREZ MUÑOZ,PARTIDO LIBERAL COLOMBIANO,46164
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,BETZY LILIANA ORTIZ MEZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46185
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,BREIDYS ESTHER MUÑOZ ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46208
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,CESAR ANTONIO MEZA CERVANTES,PARTIDO CONSERVADOR COLOMBIANO,46192
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,DIVIER JOSE QUIROZ OSPINO,PARTIDO CAMBIO RADICAL,46200
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,DOMINGO ANTONIO GONZALEZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,46179
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,ERLYS ESTHER SUAREZ OROZCO,PARTIDO CONSERVADOR COLOMBIANO,46190
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,FERNEIDER RAFAEL PEREZ URINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46213
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,GENESIS PATRICIA LOZANO ALARCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46212
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,GINA MARCELA CRESPO PEÑA,PARTIDO CAMBIO RADICAL,46202
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,GREYS MILAGRO DE LEON PALMERA,PARTIDO LIBERAL COLOMBIANO,46166
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,IBETH CECILIA LAFAURIE HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,46168
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JAZMIN MARIANA CRESPO VELEZ,PARTIDO LIBERAL COLOMBIANO,46171
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JESUS DAVID RIVERA FONSECA,PARTIDO LIBERAL COLOMBIANO,46165
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JHON FREDY MARIN MOYA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46206
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JORGE ANDRES LAFAURIE RIQUETT,PARTIDO CAMBIO RADICAL,46197
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JORGE IVAN PINO ZUÑIGA,PARTIDO LIBERAL COLOMBIANO,46167
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JORGE LUIS MERIÑO AYOLA,PARTIDO CONSERVADOR COLOMBIANO,46194
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOSE FRANCISCO RIQUETT RAMBAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46211
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOSE LUIS DE LEON ALTAHONA,PARTIDO CAMBIO RADICAL,46198
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOSE MARTIN RAMOS DE LEON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46205
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOSE RICARDO PEREZ HERNANDEZ,PARTIDO CAMBIO RADICAL,46204
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOSEPH JAAIR PALMERA POLO,PARTIDO CENTRO DEMOCRATICO,46177
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JOVANNIS ALFONSO SANTANA POLO,PARTIDO CONSERVADOR COLOMBIANO,46193
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,JULIAN ANTONIO VALENCIA LLANOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,46183
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,KEISY PAOLA GIRALDO LAFAURIE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46207
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,KENIA MARGARITA VALENCIA AYOLA,PARTIDO CONSERVADOR COLOMBIANO,46189
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,LAUREANO RAFAEL MAESTRE VILORIA,PARTIDO CENTRO DEMOCRATICO,46176
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,LORAINE DEL CARMEN PALMERA ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,46188
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,LUZ DARIS ARIZA BOLAÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,46209
Concejo,MAGDALENA,CERRO DE SAN ANTONIO,MARGGIE LORENA ARIZA ALVAREZ,PARTIDO CENTRO DEMOCRATICO,46180
