corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,GUAMAL,ADRIAN JESUS YEPES RUIDIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47268
Concejo,MAGDALENA,GUAMAL,ALBANIA  SAUCEDO YEPES,PARTIDO CONSERVADOR COLOMBIANO,47220
Concejo,MAGDALENA,GUAMAL,ALEXANDER  BARROS PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47267
Concejo,MAGDALENA,GUAMAL,ALEXY  MARTINEZ QUINTANA,PARTIDO LIBERAL COLOMBIANO,47189
Concejo,MAGDALENA,GUAMAL,ALONSO  RANGEL ZAMBRANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47260
Concejo,MAGDALENA,GUAMAL,AMANDA IRINA VANEGAS OSPINO,PARTIDO LIBERAL COLOMBIANO,47185
Concejo,MAGDALENA,GUAMAL,ANA ELENA YEPEZ ORTIZ,PARTIDO ALIANZA VERDE,47252
Concejo,MAGDALENA,GUAMAL,ANA MILENA CADENA PABA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47277
Concejo,MAGDALENA,GUAMAL,ANDREA CAMILA PEREZ FUENTES,PARTIDO CENTRO DEMOCRATICO,47198
Concejo,MAGDALENA,GUAMAL,ANIBAL JOSE MEJIA VILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47271
Concejo,MAGDALENA,GUAMAL,ARMANDO  ANGARITA HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,47187
Concejo,MAGDALENA,GUAMAL,CARLOS ANDRES GUERRA YEPEZ,PARTIDO ALIANZA VERDE,47251
Concejo,MAGDALENA,GUAMAL,CARMELO  MUÑOZ RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,47204
Concejo,MAGDALENA,GUAMAL,CARMEN ELISA MORA PEREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47261
Concejo,MAGDALENA,GUAMAL,CARMEN ROSA RUIDIAZ PEDROZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47209
Concejo,MAGDALENA,GUAMAL,CECILIA DEL CARMEN BELEÑO NIETO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47278
Concejo,MAGDALENA,GUAMAL,CYNTHIA  MARTINEZ PEDROZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47211
Concejo,MAGDALENA,GUAMAL,DAGOBERTO  ROCHA NOVA,PARTIDO CAMBIO RADICAL,47239
Concejo,MAGDALENA,GUAMAL,DANIELA PAOLA CAMPO RUIDIAZ,PARTIDO CAMBIO RADICAL,47241
Concejo,MAGDALENA,GUAMAL,DAVID  CAMARGO DIAZ,PARTIDO LIBERAL COLOMBIANO,47192
Concejo,MAGDALENA,GUAMAL,DIOMEDES  MARTINEZ RANGEL,PARTIDO CENTRO DEMOCRATICO,47207
Concejo,MAGDALENA,GUAMAL,DUVIS LEONOR INFANTE AGUILAR,PARTIDO ALIANZA VERDE,47243
Concejo,MAGDALENA,GUAMAL,EDWIN  NARVAEZ PEREZ,PARTIDO ALIANZA VERDE,47250
Concejo,MAGDALENA,GUAMAL,ELI JOHANA DIAZ OROZCO,PARTIDO CAMBIO RADICAL,47240
Concejo,MAGDALENA,GUAMAL,ELIZABETH  YEPEZ ARVELAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47276
Concejo,MAGDALENA,GUAMAL,ELMER JAVIER PAVA WILCHES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47263
Concejo,MAGDALENA,GUAMAL,ENMER EDUARDO OLIVEROS SAUCEDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47212
Concejo,MAGDALENA,GUAMAL,ERIKSEN JESUS RAMOS ALFARO,PARTIDO CENTRO DEMOCRATICO,47202
Concejo,MAGDALENA,GUAMAL,ESNEL  HERNANDEZ CASTRO,PARTIDO CAMBIO RADICAL,47242
Concejo,MAGDALENA,GUAMAL,ESPERANZA  MARTINEZ FLORIAN,PARTIDO CONSERVADOR COLOMBIANO,47229
Concejo,MAGDALENA,GUAMAL,EXIFREDO  PALOMINO FLORIAN,PARTIDO CAMBIO RADICAL,47236
Concejo,MAGDALENA,GUAMAL,FAUSTINO  RANGEL RUIDIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47269
Concejo,MAGDALENA,GUAMAL,FRANCISCO  LAGUNA MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,47222
Concejo,MAGDALENA,GUAMAL,GREGORIO  LOBO BUELVAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47266
Concejo,MAGDALENA,GUAMAL,GUIDO  BARROS PADILLA,PARTIDO CENTRO DEMOCRATICO,47196
Concejo,MAGDALENA,GUAMAL,GUILLERMO  GONZALEZ RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47255
Concejo,MAGDALENA,GUAMAL,HERNANDO  FLOREZ RUIDIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47270
Concejo,MAGDALENA,GUAMAL,HUMBERTO  VILLARREAL OVIEDO,PARTIDO CAMBIO RADICAL,47238
Concejo,MAGDALENA,GUAMAL,ISABEL  FLOREZ SANCHEZ,PARTIDO CAMBIO RADICAL,47231
Concejo,MAGDALENA,GUAMAL,ISMAEL  ARCINIEGAS VARGAS,PARTIDO CENTRO DEMOCRATICO,47199
Concejo,MAGDALENA,GUAMAL,IVAR MANUEL RODRIGUEZ MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,47227
Concejo,MAGDALENA,GUAMAL,IVES  MORENO FLORIAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47272
Concejo,MAGDALENA,GUAMAL,JACINTA  AREVALO BLANCO,PARTIDO COLOMBIA JUSTA LIBRES,47216
Concejo,MAGDALENA,GUAMAL,JADITH  LERMA OSPINO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47213
Concejo,MAGDALENA,GUAMAL,JAVIER  PONCE ANGARITA,PARTIDO LIBERAL COLOMBIANO,47191
Concejo,MAGDALENA,GUAMAL,JHON  HERNANDEZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,47226
Concejo,MAGDALENA,GUAMAL,JHON FREDY MARTINEZ OLIVEROS,PARTIDO CONSERVADOR COLOMBIANO,47225
Concejo,MAGDALENA,GUAMAL,JHONNY  WILCHEZ AGUILERA,PARTIDO LIBERAL COLOMBIANO,47195
Concejo,MAGDALENA,GUAMAL,JOSE AMBROSIO RUIDIAZ CONTRERAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47256
Concejo,MAGDALENA,GUAMAL,JOSE DE JESUS GARCIA ACOSTA,PARTIDO CONSERVADOR COLOMBIANO,47218
Concejo,MAGDALENA,GUAMAL,JUAN DE DIOS GUERRA BORJA,PARTIDO LIBERAL COLOMBIANO,47184
Concejo,MAGDALENA,GUAMAL,LEIDYS  NARVAEZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,47228
Concejo,MAGDALENA,GUAMAL,LINA ELVIRA DIAZ SANDOVAL,PARTIDO CAMBIO RADICAL,47233
Concejo,MAGDALENA,GUAMAL,LUDWING  BARRAZA RAMOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47254
Concejo,MAGDALENA,GUAMAL,LUIS ALBERTO GARCIAS FLORIAN,PARTIDO ALIANZA VERDE,47245
Concejo,MAGDALENA,GUAMAL,LUIS CARLOS TORRES NARVAEZ,PARTIDO CAMBIO RADICAL,47234
Concejo,MAGDALENA,GUAMAL,LUIS DAVID PEREZ HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,47188
Concejo,MAGDALENA,GUAMAL,LUIS EDUARDO CARVAJAL SAUCEDO,PARTIDO CENTRO DEMOCRATICO,47200
Concejo,MAGDALENA,GUAMAL,LUIS FERNANDO RIVAS CRESPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47208
Concejo,MAGDALENA,GUAMAL,LUIS GABRIEL FERNANDEZ CASTRO,PARTIDO ALIANZA VERDE,47244
Concejo,MAGDALENA,GUAMAL,LUIS RICARDO BANDERA YEPES,PARTIDO ALIANZA VERDE,47253
Concejo,MAGDALENA,GUAMAL,LUIS SEGUNDO PEDROZO PUPO,PARTIDO CONSERVADOR COLOMBIANO,47223
Concejo,MAGDALENA,GUAMAL,MANSDY MANUEL MANSBACH FUENTES,PARTIDO CENTRO DEMOCRATICO,47197
Concejo,MAGDALENA,GUAMAL,MARIEN  ZAMBRANO FLOREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47262
Concejo,MAGDALENA,GUAMAL,MARIO  MORENO VILLALOBOS,PARTIDO CENTRO DEMOCRATICO,47205
Concejo,MAGDALENA,GUAMAL,MARYORIS  MACHADO NAVARRO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47257
Concejo,MAGDALENA,GUAMAL,NILSON  DIAZ GUILLEN,PARTIDO CAMBIO RADICAL,47232
Concejo,MAGDALENA,GUAMAL,NOHRA ROSA RICO GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47214
Concejo,MAGDALENA,GUAMAL,OLGA LUCIA MARTINEZ VILLALOBOS,PARTIDO LIBERAL COLOMBIANO,47193
Concejo,MAGDALENA,GUAMAL,OSCAR RAFAEL FLOREZ RANGEL,PARTIDO LIBERAL COLOMBIANO,47183
Concejo,MAGDALENA,GUAMAL,PEDRO NEL ALCENDRA GARCIA,PARTIDO ALIANZA VERDE,47248
Concejo,MAGDALENA,GUAMAL,RAFAEL MARIA GONZALEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,47235
Concejo,MAGDALENA,GUAMAL,RAFAEL VICENTE CHIQUILLO RANGEL,PARTIDO CONSERVADOR COLOMBIANO,47224
Concejo,MAGDALENA,GUAMAL,RAMIRO  OSPINO FLORIAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47275
Concejo,MAGDALENA,GUAMAL,REINALDO  RANGEL AGUILAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47259
Concejo,MAGDALENA,GUAMAL,ROBINSON  FLORIAN CHAVEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47273
Concejo,MAGDALENA,GUAMAL,RONAL  RANGEL RUIDIAZ,PARTIDO CAMBIO RADICAL,47237
Concejo,MAGDALENA,GUAMAL,ROSARIO  VILLARREAL GARRIDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47274
Concejo,MAGDALENA,GUAMAL,RUBEN DARIO LEMUS BELLO,PARTIDO ALIANZA VERDE,47249
Concejo,MAGDALENA,GUAMAL,SAMIRA  ALFARO RIBON,PARTIDO LIBERAL COLOMBIANO,47194
Concejo,MAGDALENA,GUAMAL,SANDRA MILEYDIS RIVERA FLORIAN,PARTIDO ALIANZA VERDE,47247
Concejo,MAGDALENA,GUAMAL,VALENTINA  HERNANDEZ SAUCEDO,PARTIDO LIBERAL COLOMBIANO,47186
Concejo,MAGDALENA,GUAMAL,VANESA JUDITH BOLAÑOS GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47265
Concejo,MAGDALENA,GUAMAL,VERENA  RUIDIAZ PEREZ,PARTIDO CONSERVADOR COLOMBIANO,47217
Concejo,MAGDALENA,GUAMAL,WILFRAN  BARROS LOPEZ,PARTIDO CAMBIO RADICAL,47230
Concejo,MAGDALENA,GUAMAL,WILLIAM MAURICIO PARRA YEPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47210
Concejo,MAGDALENA,GUAMAL,WILLIAN  GALINDO GALINDO,PARTIDO LIBERAL COLOMBIANO,47190
Concejo,MAGDALENA,GUAMAL,WILLINTHON  TINOCO ANGARITA,PARTIDO CONSERVADOR COLOMBIANO,47221
Concejo,MAGDALENA,GUAMAL,YASMIN  CAPATAZ ABELLO,PARTIDO CENTRO DEMOCRATICO,47201
Concejo,MAGDALENA,GUAMAL,YIBIS YUDIT BARRAZA VILLARRUEL,PARTIDO CENTRO DEMOCRATICO,47206
Concejo,MAGDALENA,GUAMAL,YOANA MARCELA BAENA ARNACHE,PARTIDO ALIANZA VERDE,47246
Concejo,MAGDALENA,GUAMAL,YOVANIS  ZAMBRANO FLOREZ,PARTIDO COLOMBIA JUSTA LIBRES,47215
Concejo,MAGDALENA,GUAMAL,YURLEY PAHOLA PALOMINO DURAN,PARTIDO CENTRO DEMOCRATICO,47203
