corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,PLATO,ADALBERTO GREGORIO RAMOS OLAYA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47748
Concejo,MAGDALENA,PLATO,ALBERTO JOSE LEMON DONADO,PARTIDO CONSERVADOR COLOMBIANO,47685
Concejo,MAGDALENA,PLATO,ALBERTO MANUEL ALMENDRALES TORRES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,47760
Concejo,MAGDALENA,PLATO,ALEJANDRO CELESTINO OSPINO NUÑEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47744
Concejo,MAGDALENA,PLATO,ALEJANDRO JOSE BATISTA ALMENDRALES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47753
Concejo,MAGDALENA,PLATO,ALETIS KATERINE GONZALEZ VEGA,PARTIDO ALIANZA VERDE,47716
Concejo,MAGDALENA,PLATO,ALEXANDER  MORA GUDIÑO,PARTIDO CAMBIO RADICAL,47699
Concejo,MAGDALENA,PLATO,ALFONSO DE JESUS RAMOS CAÑAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,47718
Concejo,MAGDALENA,PLATO,ALFREDO MANUEL PULGAR ALMENDRALES,PARTIDO CENTRO DEMOCRATICO,47650
Concejo,MAGDALENA,PLATO,ALIRIO JOSE MORA VENERA,PARTIDO LIBERAL COLOMBIANO,47634
Concejo,MAGDALENA,PLATO,ALVARO JOSE SAUMETH LAMBOGLIA,PARTIDO ALIANZA VERDE,47714
Concejo,MAGDALENA,PLATO,ALVARO LUIS CASTRO CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,47752
Concejo,MAGDALENA,PLATO,ANA MILDRED SANTANA TORRES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,47730
Concejo,MAGDALENA,PLATO,ANA OSIRIS DIAZ CABARCAS,PARTIDO CENTRO DEMOCRATICO,47655
Concejo,MAGDALENA,PLATO,ANDREA CAROLINA DE LA CRUZ ESCOBAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,47734
