corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ALBA LEONOR LORA MERCHAN,PARTIDO LIBERAL COLOMBIANO,47976
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ANA CECILIA CARMONA SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47996
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ANDRES  LINDADO ARAGON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48025
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ANTONIO MANUEL PARODYS CARMONA,PARTIDO CAMBIO RADICAL,48010
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,BORIS ALBERTO ESCORCIA SOTO,PARTIDO ALIANZA VERDE,48021
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,CARLOS RAFAEL JARABA GARCIA,PARTIDO CENTRO DEMOCRATICO,47990
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,CARMEN CECILIA BERMUDEZ OROZCO,PARTIDO ALIANZA VERDE,48022
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,CARMEN ROCIO PEZZANO BORNACELLY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48032
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,CESAR AUGUSTO SIMANCA MENDINUETA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48035
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,CESAR GRIMALDO JIMENEZ DUQUE,PARTIDO LIBERAL COLOMBIANO,47975
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,DANIEL ANTONIO DE ORO BARRIOS,PARTIDO LIBERAL COLOMBIANO,47972
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,DINA LUZ PIMIENTA MARRIAGA,PARTIDO CAMBIO RADICAL,48016
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,DULIS DAVID GARCIA GAMARRA,PARTIDO CENTRO DEMOCRATICO,47988
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,EDGARDO LUIS RODRIGUEZ MARTINEZ,PARTIDO ALIANZA VERDE,48018
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,EDUARDO LUIS CHAMORRO MEZA,PARTIDO LIBERAL COLOMBIANO,47980
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ELIAS  CARRANZA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,47979
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ELIECER JOSE ESCOBAR ARRIETA,PARTIDO CENTRO DEMOCRATICO,47989
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,EMARLITH  SALCEDO MARRIAGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48030
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,EMERITO JOSE MEZA RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,48000
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,EUCARIS ESTHER MARTINEZ BOLAÑO,PARTIDO LIBERAL COLOMBIANO,47973
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,FERNANDO ANTONIO CABALLERO SUAREZ,PARTIDO CONSERVADOR COLOMBIANO,48005
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,FIDEL ANTONIO SALCEDO OROZCO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48031
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,FILIBERTO MANUEL MERCADO OSPINO,PARTIDO ALIANZA VERDE,48020
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,GENITO  SALCEDO OROZCO,PARTIDO CENTRO DEMOCRATICO,47986
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,HILARIO JOSE DE AVILA BARRIOS,PARTIDO CAMBIO RADICAL,48012
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,ISMAEL  MOSQUERA VIZCAINO,PARTIDO LIBERAL COLOMBIANO,47974
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,IVAN RENE PANIZA PERAZZO,PARTIDO CONSERVADOR COLOMBIANO,48004
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JHON FREDY JIMENEZ GAMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48024
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOHN JAIRO CARMONA MENDOZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47997
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JORGE MANUEL GAMEZ ORTEGA,PARTIDO CAMBIO RADICAL,48014
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOSE CASIMIRO MEZA DE LA CRUZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48026
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOSE DAVID MENDOZA DE LA HOZ,PARTIDO ALIANZA VERDE,48017
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOSE EDUARDO SERPA JARABA,PARTIDO CENTRO DEMOCRATICO,47984
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOSE FRANCISCO SOSA ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48033
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JOSE LUIS GARCIA POLO,PARTIDO CENTRO DEMOCRATICO,47981
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JULIO CESAR REGALAO MAESTRE,PARTIDO CENTRO DEMOCRATICO,47982
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,JULIO RAFAEL DE AGUAS SERPA,PARTIDO CONSERVADOR COLOMBIANO,48003
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,KAREN ASTRID OQUENDO PEREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47998
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,KAREN MARGARITA ESPAÑA ACUÑA,PARTIDO CENTRO DEMOCRATICO,47983
Concejo,MAGDALENA,SABANAS DE SAN ANGEL,KELLI YOHANA GAMARRA JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,47994
