corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,AIDEE PAOLA SINNING HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48402
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ALEXANDER  AGUILAR DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48395
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ALVARO ENRIQUE SAUMETH SANES,PARTIDO LIBERAL COLOMBIANO,48319
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ALVEIRO ANTONIO MARTINEZ ATUESTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48388
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,AMINTA CATALINA PADILLA AGUILAR,PARTIDO CONSERVADOR COLOMBIANO,48340
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ANA ELVIRA RODRIGUEZ VILLALOBOS,PARTIDO ALIANZA VERDE,48367
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ANA FEDERITH RAMIREZ PACHECO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48393
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ANADIR  RAMOS GUTIERREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48374
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ANDRES EDUARDO OSORIO CABALLERO,PARTIDO ALIANZA VERDE,48363
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ANGEL GUILLERMO LARIOS COCK,PARTIDO CAMBIO RADICAL,48352
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ARGEMIRO JUNIOR ROYERO MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48387
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ARMANDO FEDERICO RADA GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48371
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,BERSELIO  FLOREZ LUNA,PARTIDO CAMBIO RADICAL,48360
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,BLANCA MARINA RAMIREZ GARCIA,PARTIDO COLOMBIA RENACIENTE,48332
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CAMILO ALFONSO NAVARRO ANDRADE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48386
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CAMILO ANDRES ORTIZ ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48392
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CANDELARIA  LOBO DIAZ,PARTIDO COLOMBIA RENACIENTE,48338
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARELIS PATRICIA PEREZ FONTALVO,PARTIDO COLOMBIA RENACIENTE,48330
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARLOS ALONSO BARCO LIBERNAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48377
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARLOS AURELIO PEÑALOZA CAPERA,PARTIDO CAMBIO RADICAL,48351
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARLOS ENRIQUE HERRERA SAMIA,PARTIDO CONSERVADOR COLOMBIANO,48344
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARMEN  PAJARO PEDROZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48401
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CARMEN CECILIA ANGULO RAMIREZ,PARTIDO CAMBIO RADICAL,48359
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CESAR AUGUSTO MEZA OSORIO,PARTIDO COLOMBIA RENACIENTE,48329
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,CESAR HERNANDO MONTES CAMPO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48373
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,DAGOBERTO  BENITES ANDRADE,PARTIDO COLOMBIA RENACIENTE,48334
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,DEIBI  DEL CASTILLO SINNING,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48396
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,DEIMER DE JESUS MOLINA BAÑO,PARTIDO CAMBIO RADICAL,48356
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,EDUIN MANUEL FLOREZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,48320
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ELMYS LORENZO CENTENO MACIAS,PARTIDO CONSERVADOR COLOMBIANO,48349
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ELVIRA  AVENDAÑO MEDINA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48379
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,EMEL  MARTINEZ BLANCO,PARTIDO ALIANZA VERDE,48361
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ENRIQUE LUIS CHACON LARIOS,PARTIDO LIBERAL COLOMBIANO,48325
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,ESTEBAN MARCIAL OROZCO GOMEZ,PARTIDO ALIANZA VERDE,48366
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,EUSTORGIO RAMON MEZA FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,48321
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,EVELIO  RADA LOPEZ,PARTIDO COLOMBIA RENACIENTE,48331
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,FANOR  QUINTERO RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48394
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,FERNANDO SAUL RUIZ ARCIA,PARTIDO CONSERVADOR COLOMBIANO,48342
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,GUSTAVO RAFAEL DOMINGUEZ GUERRA,PARTIDO CAMBIO RADICAL,48350
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,HAIR ANDRES GARCIA PAYARES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,48370
Concejo,MAGDALENA,SANTA BARBARA DE PINTO,HECTOR ENRIQUE SIERRA MARTINEZ,PARTIDO CAMBIO RADICAL,48353
