corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,SANTA MARTA,ADALBERTO DE JESUS PINEDO DELGHAM,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,45774
Concejo,MAGDALENA,SANTA MARTA,ADELAIDA  MARTINEZ RAMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45807
Concejo,MAGDALENA,SANTA MARTA,ADOLFO JAVIER DEMOYA MEJIA,PARTIDO COLOMBIA RENACIENTE,45705
Concejo,MAGDALENA,SANTA MARTA,ADRIANA SOFIA RODRIGUEZ MOJICA,PARTIDO COLOMBIA RENACIENTE,45692
Concejo,MAGDALENA,SANTA MARTA,ALANA HEIDI SOTO CELIS,PARTIDO CAMBIO RADICAL,45744
Concejo,MAGDALENA,SANTA MARTA,ALBERTO ELIAS DE LA ROSA ESTRADA,TODOS POR SANTA MARTA,45844
Concejo,MAGDALENA,SANTA MARTA,ALCIBIADES GUILLERMO LIÑAN ARRIETA,PARTIDO CENTRO DEMOCRATICO,45653
Concejo,MAGDALENA,SANTA MARTA,ALCIDES JESUS PALACIO FREYLE,PENSANDO EN GRANDE POR SANTA MARTA,45830
Concejo,MAGDALENA,SANTA MARTA,ALEJANDRO ABELARDO LIZCANO RIVAS,PARTIDO LIBERAL COLOMBIANO,45628
Concejo,MAGDALENA,SANTA MARTA,ALEXANDER JOSE ORTIZ JIMENEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,45665
Concejo,MAGDALENA,SANTA MARTA,ALEXANDER YUSEN DIAZ DURAN,CONVERGENCIA DEMOCRATICA SANTA MARTA,118117
Concejo,MAGDALENA,SANTA MARTA,ALEXANDRA ESTHER POLO GAMERO,PARTIDO COLOMBIA JUSTA LIBRES,45681
Concejo,MAGDALENA,SANTA MARTA,ALFONSO ANTONIO NUÑEZ MACIAS,PARTIDO CAMBIO RADICAL,45736
Concejo,MAGDALENA,SANTA MARTA,ALFREDO ALEJANDRO MARTINEZ NAVA,PARTIDO LIBERAL COLOMBIANO,45634
Concejo,MAGDALENA,SANTA MARTA,ALVARO ALBERTO FLECHER TORO,PARTIDO LIBERAL COLOMBIANO,45631
Concejo,MAGDALENA,SANTA MARTA,ALVARO GUSTAVO LINERO MONTES,INDEPENDIENTE,45868
Concejo,MAGDALENA,SANTA MARTA,ALVARO HERNANDO DUARTE MANTILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45802
Concejo,MAGDALENA,SANTA MARTA,AMARILYS DE JESUS DE LUQUE YEPES,PARTIDO ALIANZA VERDE,45752
Concejo,MAGDALENA,SANTA MARTA,ANA MARIA TEJEDA BALLESTAS,PENSANDO EN GRANDE POR SANTA MARTA,45826
Concejo,MAGDALENA,SANTA MARTA,ANA SILVIA FORERO GUERRERO,EL MONO,45823
Concejo,MAGDALENA,SANTA MARTA,ANGEL MARTIN BOVEA GARCIA,TODOS POR SANTA MARTA,45848
Concejo,MAGDALENA,SANTA MARTA,ANGEL TERUEL SOLANO CANTILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,45806
Concejo,MAGDALENA,SANTA MARTA,ANIBAL JOSE PEREZ PARRA,CONVERGENCIA DEMOCRATICA SANTA MARTA,118125
Concejo,MAGDALENA,SANTA MARTA,ANIBAL RAFAEL CHARRIS PIZARRO,PARTIDO CENTRO DEMOCRATICO,45652
Concejo,MAGDALENA,SANTA MARTA,ARMANDO EMILIO COLON ROJAS,TODOS POR SANTA MARTA,45857
Concejo,MAGDALENA,SANTA MARTA,ARNOLD ELIAS LAJUD OSPINO,PENSANDO EN GRANDE POR SANTA MARTA,45842
Concejo,MAGDALENA,SANTA MARTA,ARTURO ENRIQUE CALLE ACEVEDO,PARTIDO ADA,45713
Concejo,MAGDALENA,SANTA MARTA,ASDRUBAL ENRIQUE POMARES CORREDOR,INDEPENDIENTE,45877
Concejo,MAGDALENA,SANTA MARTA,AURA SOFIA TAUSA MOSCOTE,INDEPENDIENTE,45869
Concejo,MAGDALENA,SANTA MARTA,AYDA ROSA FERREIRA SALAMANCA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,45795
