corp,dpto,mpio,name,party,wp_no
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ADOLFO ENRIQUE FUENTES LOZANO,PARTIDO ADA,48843
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALBA ROSA ARIZA MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,48882
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALBERTO YUNIOR AGUIRRE LARA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,48812
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALEXANDER ENRIQUE GUZMAN GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48949
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALEXANDER MANUEL CERVANTES JIMENEZ,PARTIDO LIBERAL COLOMBIANO,48771
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALEXI RAFAEL JULIO VELEZ,PARTIDO CONSERVADOR COLOMBIANO,48869
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALFREDO ANTONIO FRANCO NIEBLES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48947
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALGIS MARIA ORTEGA GARCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,48940
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALVARO JAVIER OSSIO PEREZ,PARTIDO ADA,48842
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ALVARO JOSE CANTILLO ROMERO,PARTIDO COLOMBIA RENACIENTE,48827
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ANA FIDELA CABANA FERRER,PARTIDO ALIANZA VERDE,48911
Concejo,MAGDALENA,ZONA BANANERA (SEVILLA),ANDERSON DE JESUS OROZCO CUENTAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,48955
