corp,dpto,mpio,name,party,wp_no
Concejo,META,EL CALVARIO,ADRIAN JAIR LOPEZ PARRADO,PARTIDO CONSERVADOR COLOMBIANO,90046
Concejo,META,EL CALVARIO,ALEIDA YAXIBE SANTIAGO HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90058
Concejo,META,EL CALVARIO,ALVARO AUGUSTO GARCIA RAMOS,PARTIDO CONSERVADOR COLOMBIANO,90045
Concejo,META,EL CALVARIO,ALVARO KENEDY VELASQUEZ SUTA,PARTIDO LIBERAL COLOMBIANO,90032
Concejo,META,EL CALVARIO,ANA BEATRIZ RAMOS LOPEZ,PARTIDO LIBERAL COLOMBIANO,90035
Concejo,META,EL CALVARIO,ARLEY ALBEIRO ROMERO OLMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90052
Concejo,META,EL CALVARIO,BRAYAN RICARDO GUALDRON HERRERA,PARTIDO LIBERAL COLOMBIANO,90036
Concejo,META,EL CALVARIO,DEIVER ORLANDO DAZA ALFEREZ,PARTIDO ALIANZA VERDE,90048
Concejo,META,EL CALVARIO,DIANA MAYERLY GUEVARA GUIZA,PARTIDO LIBERAL COLOMBIANO,90034
Concejo,META,EL CALVARIO,DILSON FERNEY VELASQUEZ GARCIA,PARTIDO LIBERAL COLOMBIANO,90033
Concejo,META,EL CALVARIO,EDWIN DISNEY ROMERO MORALES,PARTIDO ALIANZA VERDE,90051
Concejo,META,EL CALVARIO,HENRRY ALIRIO PARRADO PARRADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90054
Concejo,META,EL CALVARIO,JAVIER HERNANDO VELASQUEZ ALFEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90057
Concejo,META,EL CALVARIO,JENNIFER ZORAYA CAMACHO OLAYA,PARTIDO ALIANZA VERDE,90049
Concejo,META,EL CALVARIO,JOLMAN YECID VELASQUEZ CANTOR,PARTIDO CENTRO DEMOCRATICO,90041
Concejo,META,EL CALVARIO,JOSE EDINSON DIAZ BELTRAN,PARTIDO CENTRO DEMOCRATICO,90039
Concejo,META,EL CALVARIO,LUIS AUDEL HERNANDEZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,90042
Concejo,META,EL CALVARIO,LUIS MARIA HERRERA VELASQUEZ,PARTIDO LIBERAL COLOMBIANO,90031
Concejo,META,EL CALVARIO,LUZ MERY RAMOS LOPEZ,PARTIDO CENTRO DEMOCRATICO,90037
Concejo,META,EL CALVARIO,LUZ NIDIA NOVOA VELASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,90044
Concejo,META,EL CALVARIO,MARIA INES MARTINEZ PARRADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90056
Concejo,META,EL CALVARIO,MYRIAM LUCERO LEON ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90055
Concejo,META,EL CALVARIO,NAIDUTH FABIOLA MUÑOZ TORRES,PARTIDO ALIANZA VERDE,90050
Concejo,META,EL CALVARIO,NESTOR EDILSON MOLANO BAQUERO,PARTIDO CENTRO DEMOCRATICO,90038
Concejo,META,EL CALVARIO,NIXON ALEXIS VELASQUEZ MOLANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90053
Concejo,META,EL CALVARIO,RUBY YANETH OÑATE FUENTES,PARTIDO CENTRO DEMOCRATICO,90040
Concejo,META,EL CALVARIO,SANDRA PATRICIA PARDO VELASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,90043
Concejo,META,EL CALVARIO,YECID  AGUDELO JIMENEZ,PARTIDO ALIANZA VERDE,90047
