corp,dpto,mpio,name,party,wp_no
Concejo,META,EL CASTILLO,ADRIAN  LOAIZA RODRIGUEZ,PARTIDO ADA,90093
Concejo,META,EL CASTILLO,AIDA NUBIA MEDINA CUCHIMBA,PARTIDO ALIANZA VERDE,90110
Concejo,META,EL CASTILLO,ALBEIRO  SILVESTRE CORRALES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,90125
Concejo,META,EL CASTILLO,ARACELY  VALLEJO RINCON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90137
Concejo,META,EL CASTILLO,ARELIS  LEON MONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90140
Concejo,META,EL CASTILLO,ARLEY  GARZON RUEDA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90078
Concejo,META,EL CASTILLO,BILLY JOHAN ROA SOTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90133
Concejo,META,EL CASTILLO,BRYAN STEE ROCHA LEAL,PARTIDO ALIANZA VERDE,90112
Concejo,META,EL CASTILLO,CARLOS ALBERTO RODRIGUEZ LOAIZA,PARTIDO CAMBIO RADICAL,90096
Concejo,META,EL CASTILLO,CAROLINA  GONGORA RONCANCIO,PARTIDO CAMBIO RADICAL,90099
Concejo,META,EL CASTILLO,CLAUDIO  GUATAQUIRA CASTRO,PARTIDO COLOMBIA RENACIENTE,90083
Concejo,META,EL CASTILLO,CRISTIAN GUILLERMO PULIDO MARIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90117
Concejo,META,EL CASTILLO,DEISY PAOLA ACHURY BAQUERO,PARTIDO ADA,90088
Concejo,META,EL CASTILLO,DIANA CAROLINA PINEDA CRUZ,PARTIDO ADA,90090
Concejo,META,EL CASTILLO,DIANA PATRICIA PALOMA GUEVARA,PARTIDO CAMBIO RADICAL,90100
Concejo,META,EL CASTILLO,DIEGO ALEJANDRO REINA GARZON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90114
Concejo,META,EL CASTILLO,DIUFANY  FORERO RAMIREZ,PARTIDO ALIANZA VERDE,90105
Concejo,META,EL CASTILLO,EDILBERTO  PAMO MOLINA,PARTIDO COLOMBIA RENACIENTE,90082
Concejo,META,EL CASTILLO,EDUIN YESID BARRERA RAMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90132
Concejo,META,EL CASTILLO,ELVIA MARIA HOLGUIN MORENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90134
Concejo,META,EL CASTILLO,ENERIET  LEIVA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90139
Concejo,META,EL CASTILLO,ERICK DAYAN OSORIO RESTREPO,PARTIDO COLOMBIA RENACIENTE,90085
Concejo,META,EL CASTILLO,ESNEIDER  SALAZAR RIVERA,PARTIDO ALIANZA VERDE,90113
Concejo,META,EL CASTILLO,EVER  GALVIZ ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90122
Concejo,META,EL CASTILLO,FELIX  LIS CHAGUALA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90079
Concejo,META,EL CASTILLO,HAYDEN EDUARDO HERNANDEZ MOLINA,PARTIDO COLOMBIA RENACIENTE,90081
Concejo,META,EL CASTILLO,HERNEY  ONOVA PEREZ,PARTIDO LIBERAL COLOMBIANO,90059
Concejo,META,EL CASTILLO,HILMER  BERNAL DELGADO,PARTIDO LIBERAL COLOMBIANO,90063
Concejo,META,EL CASTILLO,JAIBER HERNAN GUZMAN VERGARA,PARTIDO CAMBIO RADICAL,90101
Concejo,META,EL CASTILLO,JAIME  GONZALEZ ,PARTIDO ADA,90095
Concejo,META,EL CASTILLO,JAIME ANTONIO SOLORZANO MERCHAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90073
Concejo,META,EL CASTILLO,JAVIER  MORA ,PARTIDO LIBERAL COLOMBIANO,90062
Concejo,META,EL CASTILLO,JENNY PAOLA ESPINEL NIETO,PARTIDO COLOMBIA RENACIENTE,90084
Concejo,META,EL CASTILLO,JHON FERNANDO ROJAS ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90074
Concejo,META,EL CASTILLO,JOHN FREDY AVILA BAQUERO,PARTIDO LIBERAL COLOMBIANO,90065
Concejo,META,EL CASTILLO,JORGE ELIECER RODRIGUEZ MEDINA,PARTIDO ADA,90091
Concejo,META,EL CASTILLO,JOSE EWDUINSON LASSO MORENO,PARTIDO ALIANZA VERDE,90111
Concejo,META,EL CASTILLO,JOSE NEFER GONZALEZ RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,90131
Concejo,META,EL CASTILLO,JOSE URIEL CARVAJAL BERNAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90135
Concejo,META,EL CASTILLO,JOSUE  MUNAR VILLANUEVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90138
Concejo,META,EL CASTILLO,JUAN ERASMO CRUZ BARRAGAN,PARTIDO CAMBIO RADICAL,90104
Concejo,META,EL CASTILLO,JULIO ALFONSO PRIETO PEREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,90123
Concejo,META,EL CASTILLO,LEIDY JOHANA GIRON GARZON,PARTIDO CENTRO DEMOCRATICO,90071
Concejo,META,EL CASTILLO,LISBE SURELI OSORIO AGUIRRE,PARTIDO CENTRO DEMOCRATICO,90068
Concejo,META,EL CASTILLO,LUIS ALEJANDRO MARTINEZ ZULBARA,PARTIDO ADA,90089
Concejo,META,EL CASTILLO,LUIS ANDRES FORERO RODRIGUEZ,PARTIDO ADA,90092
Concejo,META,EL CASTILLO,LUIS DAINER CRUZ CARDOZO,PARTIDO ALIANZA VERDE,90106
Concejo,META,EL CASTILLO,LUZ NEUDI BARON MARIN,PARTIDO LIBERAL COLOMBIANO,90066
Concejo,META,EL CASTILLO,MARCO TULIO HUERTAS ARIAS,PARTIDO CAMBIO RADICAL,90098
Concejo,META,EL CASTILLO,MARGIE MILEIDY PARDO RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90075
Concejo,META,EL CASTILLO,MARIA AURORA SANTIAGO ROMERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90077
Concejo,META,EL CASTILLO,MARIA CONSUELO CALLE GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,90127
Concejo,META,EL CASTILLO,MARIA DE LAS MERCEDES PEDROSA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90118
Concejo,META,EL CASTILLO,MARIA INELDA SABOGAL LOPEZ,PARTIDO ALIANZA VERDE,90107
Concejo,META,EL CASTILLO,MARIA SOLEIDY ENCISO CAPERA,PARTIDO COLOMBIA RENACIENTE,90086
Concejo,META,EL CASTILLO,MARILYN  WALTEROS LESMES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90072
Concejo,META,EL CASTILLO,MARTA YULIETH ORJUELA GONZALEZ,PARTIDO LIBERAL COLOMBIANO,90067
