corp,dpto,mpio,name,party,wp_no
Concejo,META,GRANADA,ALEX FERNANDO CUBIDES PARRA,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,90417
Concejo,META,GRANADA,ALEXANDER  HERNANDEZ PENAGOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90314
Concejo,META,GRANADA,ALFREDO  RODRIGUEZ ,PARTIDO ADA,90338
Concejo,META,GRANADA,ALVARO ENRIQUE BORRERO MARTINEZ,PARTIDO ADA,90339
Concejo,META,GRANADA,ALVARO JAVIER BOJACA PRADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90304
Concejo,META,GRANADA,ANA YISELA NEIRA PARRA,PARTIDO LIBERAL COLOMBIANO,90294
Concejo,META,GRANADA,ANDRES FELIPE CORREA ORJUELA,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,90424
Concejo,META,GRANADA,ARIEL  VIUCHE TIQUE,PARTIDO LIBERAL COLOMBIANO,90289
Concejo,META,GRANADA,ARMANDO  PIZARRO TOVAR,PARTIDO ADA,90330
Concejo,META,GRANADA,ARMANDO DE JESUS VELANDIA RIOS,PARTIDO CAMBIO RADICAL,90358
Concejo,META,GRANADA,ASAEL ANDREY GARZON FIERRO,PARTIDO COLOMBIA JUSTA LIBRES,90326
Concejo,META,GRANADA,ASMED  RIVEROS BORJA,PARTIDO LIBERAL COLOMBIANO,90283
Concejo,META,GRANADA,BIANNEY  GARZON ROA,PARTIDO CAMBIO RADICAL,90366
Concejo,META,GRANADA,BRAYAN  HERNANDEZ ALBA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90398
Concejo,META,GRANADA,CARLOS  LEON ROJAS,PARTIDO ADA,90333
Concejo,META,GRANADA,CARLOS ANDRES MUTIZ ANGULO,PARTIDO CAMBIO RADICAL,90368
Concejo,META,GRANADA,CARLOS ANDRES SANABRIA RODRIGUEZ,PARTIDO ALIANZA VERDE,90380
Concejo,META,GRANADA,CARLOS GONZALO LEMOS ,POR EL PROGRESO DE GRANADA SOMOS EL CAMBIO,90437
Concejo,META,GRANADA,CARLOS JULIO GARCIA CRIOLLO,PARTIDO LIBERAL COLOMBIANO,90287
Concejo,META,GRANADA,CARLOS JULIO TURRIAGO LEMUS,PARTIDO CENTRO DEMOCRATICO,90301
Concejo,META,GRANADA,CLARA INES VILLARRUEL ZABALA,PARTIDO LIBERAL COLOMBIANO,90284
Concejo,META,GRANADA,CLAUDIA ELENA RINCON CUPAJITA,PARTIDO ADA,90342
Concejo,META,GRANADA,CRISTIAN ANDRES RIVERA LOZANO,POR EL PROGRESO DE GRANADA SOMOS EL CAMBIO,90435
Concejo,META,GRANADA,CRISTIAN CAMILO GOMEZ GOMEZ,PARTIDO ALIANZA VERDE,90381
Concejo,META,GRANADA,DANIEL ENRIQUE SANCHEZ PERALTA,PARTIDO ADA,90336
Concejo,META,GRANADA,DANIELA  TAFUR DURAN,POR EL PROGRESO DE GRANADA SOMOS EL CAMBIO,90443
Concejo,META,GRANADA,DARNEY  SANDOVAL GAITAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90409
Concejo,META,GRANADA,DAYANA LUCIA MUÑOZ GARCIA,PARTIDO COLOMBIA JUSTA LIBRES,90321
Concejo,META,GRANADA,DIANA MILED CRUZ HERNANDEZ,PARTIDO CAMBIO RADICAL,90364
Concejo,META,GRANADA,DIANA MILENA OROZCO ANGARITA,PARTIDO ALIANZA VERDE,90382
Concejo,META,GRANADA,DIDIER  ZAPATA VELASQUEZ,PARTIDO ADA,90341
Concejo,META,GRANADA,DIXON EDUARDO RAMIREZ GUARNIZO,PARTIDO LIBERAL COLOMBIANO,90282
Concejo,META,GRANADA,DOLFY  HERNANDEZ SILVA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90411
Concejo,META,GRANADA,DORIS  RAMIREZ SALAMANCA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90305
Concejo,META,GRANADA,DOUGLAS ROBERT PRECIADO ZULUAGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90397
Concejo,META,GRANADA,DUVAN MAURICIO ROA CRUZ,PARTIDO LIBERAL COLOMBIANO,90292
Concejo,META,GRANADA,EDGAR ALBERTO CAGUA CARRILLO,PARTIDO CENTRO DEMOCRATICO,90297
Concejo,META,GRANADA,EDGAR FERNANDO CACERES OSORIO,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,90423
Concejo,META,GRANADA,EDGAR YOBANI LEON ANGEL,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,90421
Concejo,META,GRANADA,EDILBERTO  MARTINEZ MIRANDA,PARTIDO COLOMBIA JUSTA LIBRES,90325
Concejo,META,GRANADA,EDINSON  OSORIO GAITAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,90391
Concejo,META,GRANADA,EDWAR  RESTREPO SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,90310
Concejo,META,GRANADA,EDWIN HUMBERTO ROSAS REYES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,90412
Concejo,META,GRANADA,EFRAIN  CORREDOR BAQUERO,PARTIDO CAMBIO RADICAL,90360
Concejo,META,GRANADA,ELIAZAR  HURTADO BOLAÑOS,PARTIDO ADA,90337
Concejo,META,GRANADA,ELKIN HERNANDO ROJAS CRUZ,PARTIDO CENTRO DEMOCRATICO,90298
