corp,dpto,mpio,name,party,wp_no
Concejo,META,MAPIRIPAN,ABRAHAN  MELO LEON,PARTIDO CONSERVADOR COLOMBIANO,91164
Concejo,META,MAPIRIPAN,ADONIS  PEREZ GOMEZ,PARTIDO ADA,91162
Concejo,META,MAPIRIPAN,ADRIANA PATRICIA CARVAJAL ORTIZ,PARTIDO LIBERAL COLOMBIANO,91129
Concejo,META,MAPIRIPAN,ALDEMAR  PATIÑO GONZALEZ,PARTIDO CAMBIO RADICAL,91175
Concejo,META,MAPIRIPAN,ALFONSO  CASTRO RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91143
Concejo,META,MAPIRIPAN,ALFREDO MANUEL CASTAÑEDA LONDOÑO,PARTIDO CENTRO DEMOCRATICO,91135
Concejo,META,MAPIRIPAN,ANDRES  SILVA OSPITIA,PARTIDO CONSERVADOR COLOMBIANO,91166
Concejo,META,MAPIRIPAN,ARON DE JESUS OSPINA MORALES,PARTIDO COLOMBIA JUSTA LIBRES,91150
Concejo,META,MAPIRIPAN,BALDOMERO  VEGA LUGO,PARTIDO COLOMBIA JUSTA LIBRES,91151
Concejo,META,MAPIRIPAN,BLANCA  SALAS CACERES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91208
Concejo,META,MAPIRIPAN,BLANCA NELLY ALFONSO CHIVATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91218
Concejo,META,MAPIRIPAN,CARLOS JULIO SIERRA LONDOÑO,PARTIDO LIBERAL COLOMBIANO,91130
Concejo,META,MAPIRIPAN,CESAR TULIO GONZALEZ PEREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91201
Concejo,META,MAPIRIPAN,DAGOBERTO  RODRIGUEZ CHIPIAJE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91206
Concejo,META,MAPIRIPAN,DANNY ALEXANDER REY ROMERO,PARTIDO ADA,91163
Concejo,META,MAPIRIPAN,DARIO  BERMUDEZ MURILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91207
Concejo,META,MAPIRIPAN,DEYANIRA  HERNANDEZ GAITAN,PARTIDO ALIANZA VERDE,91192
Concejo,META,MAPIRIPAN,DIANA LUCY MARIN GRAJALES,PARTIDO COLOMBIA JUSTA LIBRES,91148
Concejo,META,MAPIRIPAN,EDUAR  GONZALEZ CARRILLO,PARTIDO CAMBIO RADICAL,91181
