corp,dpto,mpio,name,party,wp_no
Concejo,META,PUERTO CONCORDIA,ALBA RUTH RODRIGUEZ GAITAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,91302
Concejo,META,PUERTO CONCORDIA,ALBEIRO  OBANDO OSSA,PARTIDO CENTRO DEMOCRATICO,91236
Concejo,META,PUERTO CONCORDIA,ALEXANDER  SILVA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,91229
Concejo,META,PUERTO CONCORDIA,ANA YULI PARRA LEON,PARTIDO CENTRO DEMOCRATICO,91231
Concejo,META,PUERTO CONCORDIA,ANGELA  CORTES MIRQUEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,91330
Concejo,META,PUERTO CONCORDIA,ANGELICA  JURADO ARCE,PARTIDO ADA,91259
Concejo,META,PUERTO CONCORDIA,ANGY SHIRLEY SIERRA VALDERRAMA,PARTIDO CENTRO DEMOCRATICO,91233
Concejo,META,PUERTO CONCORDIA,ARMANDO  CASTAÑO ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91240
Concejo,META,PUERTO CONCORDIA,BENILDA  BLANCO TORRES,PARTIDO CONSERVADOR COLOMBIANO,91267
Concejo,META,PUERTO CONCORDIA,BLANCA TERESA RAMIREZ MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91317
Concejo,META,PUERTO CONCORDIA,CARLOS ALBERTO FORERO ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,91301
Concejo,META,PUERTO CONCORDIA,CARLOS ALBERTO SANTOS PEÑALOSA,PARTIDO ADA,91257
Concejo,META,PUERTO CONCORDIA,CARLOS ANDRES MAYORCA TRUJILLO,PARTIDO LIBERAL COLOMBIANO,91222
Concejo,META,PUERTO CONCORDIA,CARMEN ROSA ORTIZ GALINDO,PARTIDO CONSERVADOR COLOMBIANO,91268
Concejo,META,PUERTO CONCORDIA,CLAUDIA  ROMERO BELTRAN,PARTIDO COLOMBIA RENACIENTE,91252
Concejo,META,PUERTO CONCORDIA,CLAUDIA CECILIA MUÑOZ MARTINEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91239
Concejo,META,PUERTO CONCORDIA,CLAUDIA YOLIMA CONTRERAS SANCHEZ,PARTIDO ALIANZA VERDE,91297
Concejo,META,PUERTO CONCORDIA,DIEGO JORDY GUZMAN RODRIGUEZ,PARTIDO CAMBIO RADICAL,91278
Concejo,META,PUERTO CONCORDIA,EDGAR ANTONIO HIDALGO HIDALGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91307
Concejo,META,PUERTO CONCORDIA,EDILBERTO  CASTRO GUTIERREZ,PARTIDO CONSERVADOR COLOMBIANO,91270
Concejo,META,PUERTO CONCORDIA,EDNA MARGARITA SANCHEZ GARZON,PARTIDO CAMBIO RADICAL,91284
Concejo,META,PUERTO CONCORDIA,EDUARDO  CONTRERAS MELO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91309
Concejo,META,PUERTO CONCORDIA,ELMER MILLAN DIAZ HERRERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,91304
Concejo,META,PUERTO CONCORDIA,EMMA  OVIEDO CAMACHO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91310
Concejo,META,PUERTO CONCORDIA,ENFREDY  MONDRAGON ,PARTIDO ALIANZA VERDE,91293
Concejo,META,PUERTO CONCORDIA,ERIKA JULIETH JIMENEZ GARCIA,PARTIDO CONSERVADOR COLOMBIANO,91269
