corp,dpto,mpio,name,party,wp_no
Concejo,META,PUERTO LLERAS,ALQUIMEDIS  GALVIS CARREÑO,PARTIDO CENTRO DEMOCRATICO,91355
Concejo,META,PUERTO LLERAS,ANDERSON  CUELLAR MORALES,PARTIDO LIBERAL COLOMBIANO,91342
Concejo,META,PUERTO LLERAS,ARGENIS  ESTRADA ,PARTIDO CENTRO DEMOCRATICO,91352
Concejo,META,PUERTO LLERAS,ARLENSON  COLORADO AGUDELO,PARTIDO CAMBIO RADICAL,91387
Concejo,META,PUERTO LLERAS,ARMANDO  HERNANDEZ ZAMBRANO,PARTIDO LIBERAL COLOMBIANO,91346
Concejo,META,PUERTO LLERAS,ARMANDO  RAMIREZ MONTAÑA,PARTIDO CENTRO DEMOCRATICO,91348
Concejo,META,PUERTO LLERAS,ARTEMIO  CASTELLANOS RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91364
Concejo,META,PUERTO LLERAS,BIBIANA  MALDONADO DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91362
Concejo,META,PUERTO LLERAS,BLANCA MARGARITA ROA RUIZ,PARTIDO COLOMBIA JUSTA LIBRES,91368
Concejo,META,PUERTO LLERAS,CARLOS  ALFONSO MINU,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91423
Concejo,META,PUERTO LLERAS,CARLOS ANDRES BUITRAGO FUENTES,PARTIDO CAMBIO RADICAL,91385
Concejo,META,PUERTO LLERAS,CARMEN ROSA VIVAS MATEUS,PARTIDO ALIANZA VERDE,91400
Concejo,META,PUERTO LLERAS,CLAUDIA PATRICIA ESPITIA BENAVIDES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91419
Concejo,META,PUERTO LLERAS,DAMARIS  RAMIREZ REYES,PARTIDO LIBERAL COLOMBIANO,91337
Concejo,META,PUERTO LLERAS,DANIELA ANDREA OSPINA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91425
Concejo,META,PUERTO LLERAS,DAVID  DURAN TRIANA,PARTIDO CENTRO DEMOCRATICO,91358
Concejo,META,PUERTO LLERAS,DENNYS ALBERTO GARZON MARTIN,PARTIDO POLO DEMOCRATICO ALTERNATIVO,91437
Concejo,META,PUERTO LLERAS,DERLIS  GONZALEZ PINILLO,PARTIDO COLOMBIA RENACIENTE,91373
Concejo,META,PUERTO LLERAS,DIEGO ENRIQUE DIOSA BECERRA,PARTIDO COLOMBIA RENACIENTE,91375
Concejo,META,PUERTO LLERAS,DORA MARIA VARGAS MOLINA,PARTIDO CENTRO DEMOCRATICO,91353
Concejo,META,PUERTO LLERAS,DORALBA  MARULANDA CASTRILLON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,91410
Concejo,META,PUERTO LLERAS,EDGAR ORLANDO PINILLA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91416
Concejo,META,PUERTO LLERAS,EDUAR ALEXIS PEREZ HIDALGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91415
Concejo,META,PUERTO LLERAS,EDWIN ALEXANDER CASTAÑEDA GARAY,PARTIDO POLO DEMOCRATICO ALTERNATIVO,91440
Concejo,META,PUERTO LLERAS,ELIZABETH  MARTINEZ LINARES,PARTIDO CENTRO DEMOCRATICO,91350
