corp,dpto,mpio,name,party,wp_no
Concejo,META,PUERTO LOPEZ,ADALBERTO  VELASCO DAZA,PARTIDO CAMBIO RADICAL,91038
Concejo,META,PUERTO LOPEZ,AGUSTIN  BARBOSA LOPEZ,PARTIDO LIBERAL COLOMBIANO,90954
Concejo,META,PUERTO LOPEZ,ALBEIRO  MORENO JARAMILLO,PARTIDO ADA,91012
Concejo,META,PUERTO LOPEZ,ALBERTO  MONROY HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,91021
Concejo,META,PUERTO LOPEZ,ALEXANDER  GOMEZ CASALLAS,PARTIDO LIBERAL COLOMBIANO,90955
Concejo,META,PUERTO LOPEZ,ANA ELSY URREA ,PARTIDO ADA,91014
Concejo,META,PUERTO LOPEZ,ANCIZAR  GUZMAN TORRES,PARTIDO CENTRO DEMOCRATICO,90969
Concejo,META,PUERTO LOPEZ,ANDERSON  BUSTOS BECERRA,MOVIMIENTO RENOVACION MUNICIPAL,91089
Concejo,META,PUERTO LOPEZ,ANGELA ROSA OROZCO SUAREZ,PARTIDO COLOMBIA JUSTA LIBRES,90995
Concejo,META,PUERTO LOPEZ,ANGELA SOLANYI AVILA CESPEDES,MOVIMIENTO RENOVACION MUNICIPAL,91090
Concejo,META,PUERTO LOPEZ,ANGELICA MARIA SANCHEZ ROMERO,PARTIDO CAMBIO RADICAL,91043
Concejo,META,PUERTO LOPEZ,APOLINAR  BELTRAN VILLAZON,COALICION ALTERNATIVA POR PUERTO LOPEZ,91110
Concejo,META,PUERTO LOPEZ,AUDELINA  JASPE ,COALICION ALTERNATIVA POR PUERTO LOPEZ,91114
Concejo,META,PUERTO LOPEZ,AUDY VIVIANA PARRA TOLEDO,PARTIDO LIBERAL COLOMBIANO,90952
Concejo,META,PUERTO LOPEZ,BERNARDO  PEÑA TORRES,COALICION PARTIDO DE LA U - PARTIDO MIRA,91097
Concejo,META,PUERTO LOPEZ,BLANCA LUCIA RODRIGUEZ RAMIREZ,PARTIDO CAMBIO RADICAL,91046
Concejo,META,PUERTO LOPEZ,BRAYAN ALEJANDRO GUTIERREZ ARANGO,PARTIDO ALIANZA VERDE,91058
