corp,dpto,mpio,name,party,wp_no
Concejo,META,RESTREPO,ADRIANA LIZETH JIMENEZ HERRERA,PARTIDO ADA,91792
Concejo,META,RESTREPO,ADRIANA PAOLA PEÑA GUEVARA,PARTIDO CONSERVADOR COLOMBIANO,91796
Concejo,META,RESTREPO,ALEXANDRA  TAUTIVA ALVARADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91837
Concejo,META,RESTREPO,ALICIA  REAPIRA ,PARTIDO COLOMBIA JUSTA LIBRES,91776
Concejo,META,RESTREPO,ANA DORIS LADINO CASTRO,PARTIDO ALIANZA VERDE,91811
Concejo,META,RESTREPO,ANA PASTORA CONTRERAS DE MARTINEZ,PARTIDO ALIANZA VERDE,91809
Concejo,META,RESTREPO,ANGELA YICELA SABOGAL VELASQUEZ,PARTIDO CENTRO DEMOCRATICO,91763
Concejo,META,RESTREPO,ARSOLI LORENA PLAZAS GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91771
Concejo,META,RESTREPO,BETSY FARLEY LABRADOR GOYENECHE,PARTIDO COLOMBIA JUSTA LIBRES,91778
Concejo,META,RESTREPO,CESAR OMAR DUARTE PASTRANA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91825
Concejo,META,RESTREPO,CIELO MILENA ULLOA GARZON,PARTIDO COLOMBIA JUSTA LIBRES,91777
Concejo,META,RESTREPO,CLAUDIA MILENA LOMBANA GONZALEZ,PARTIDO CENTRO DEMOCRATICO,91761
Concejo,META,RESTREPO,DAGOBERTO  MOGOLLON CORTES,PARTIDO CAMBIO RADICAL,91805
Concejo,META,RESTREPO,DANI FERNEY LINARES OSPINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91834
Concejo,META,RESTREPO,DAYRA ALEXANDRA GIRON ,PARTIDO ADA,91790
Concejo,META,RESTREPO,DIANA PATRICIA LOMBANA GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91833
Concejo,META,RESTREPO,DIEGO ALEJANDRO NIETO ROBAYO,PARTIDO CONSERVADOR COLOMBIANO,91798
Concejo,META,RESTREPO,DIEGO ANTONIO GUTIERREZ MENDEZ,PARTIDO CAMBIO RADICAL,91803
Concejo,META,RESTREPO,DORA ISABEL ALFONSO NIÑO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91767
Concejo,META,RESTREPO,ELSY YOMARA OLARTE BOBADILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91819
Concejo,META,RESTREPO,ERWIN JOHAN TORRES CARRION,PARTIDO ALIANZA VERDE,91815
Concejo,META,RESTREPO,ESTIC  SANCHEZ RINCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91824
Concejo,META,RESTREPO,FABER EDUARDO VILLALOBOS SIERRA,PARTIDO ALIANZA VERDE,91817
Concejo,META,RESTREPO,FEIBER AUGUSTO GUEVARA CARDENAS,PARTIDO ALIANZA VERDE,91812
Concejo,META,RESTREPO,FLAVIO ALBERTO MALAGON RUIZ,PARTIDO ALIANZA VERDE,91818
Concejo,META,RESTREPO,GERMAN  JIMENEZ LOZANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91831
Concejo,META,RESTREPO,HAROLD FERNANDO HERRERA CONTRERAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91769
Concejo,META,RESTREPO,HAROLD HUMBERTO RAMOS ORTIS,PARTIDO ADA,91794
Concejo,META,RESTREPO,HENRY  RUIZ MANCERA,PARTIDO ADA,91789
Concejo,META,RESTREPO,IVAN  MARTINEZ VARGAS,PARTIDO COLOMBIA JUSTA LIBRES,91783
Concejo,META,RESTREPO,JAIME NORBERTO ARCE MONROY,PARTIDO ALIANZA VERDE,91808
Concejo,META,RESTREPO,JAVIER ANDRES CAICEDO SEGURA,PARTIDO CENTRO DEMOCRATICO,91764
Concejo,META,RESTREPO,JHONNY XAVIER RAMOS GUTIERREZ,PARTIDO ADA,91785
Concejo,META,RESTREPO,JOHANA MARCELA MARTINEZ MARTINEZ,PARTIDO ALIANZA VERDE,91816
Concejo,META,RESTREPO,JOHN ALEJANDRO ROJAS VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91821
Concejo,META,RESTREPO,JOSE NOLBERTO RODRIGUEZ PEÑA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91772
Concejo,META,RESTREPO,JOSE ORLANDO BOBADILLA RODRIGUEZ,PARTIDO CAMBIO RADICAL,91801
Concejo,META,RESTREPO,JUAN DAVID MARTINEZ ROLDAN,PARTIDO ALIANZA VERDE,91814
Concejo,META,RESTREPO,KATHERINE YARDLEY VILLARRAGA COMBITA,PARTIDO ADA,91791
Concejo,META,RESTREPO,LAURA DANIELA RINCON MORENO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,91765
Concejo,META,RESTREPO,LAURA LILIANA MOLINA BAQUERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,91829
Concejo,META,RESTREPO,LEISDY JACQUELINE NIEVA GOMEZ,PARTIDO COLOMBIA JUSTA LIBRES,91780
Concejo,META,RESTREPO,LEONEL HOLBAWEN CESPEDES ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,91830
