corp,dpto,mpio,name,party,wp_no
Concejo,META,SAN MARTIN DE LOS LLANOS,ABELARDO  PRADO ,PARTIDO COLOMBIA JUSTA LIBRES,92096
Concejo,META,SAN MARTIN DE LOS LLANOS,ADRIAN  RODRIGUEZ ,PARTIDO CAMBIO RADICAL,92118
Concejo,META,SAN MARTIN DE LOS LLANOS,ADRIANA MILENA GONZALEZ GAITAN,PARTIDO CENTRO DEMOCRATICO,92076
Concejo,META,SAN MARTIN DE LOS LLANOS,ALFONSO  VAZQUEZ PRIETO,BARRIOS UNIDOS POR SAN MARTIN BUS POR UN CONCEJO NUEVO,92166
Concejo,META,SAN MARTIN DE LOS LLANOS,ALVEIRO  GONZALEZ FIERRO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,92080
Concejo,META,SAN MARTIN DE LOS LLANOS,ANA CRUZ BARRETO SERRADA,PARTIDO CAMBIO RADICAL,92117
Concejo,META,SAN MARTIN DE LOS LLANOS,ANDREA ALEXANDRA LOZANO URUEÑA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92137
Concejo,META,SAN MARTIN DE LOS LLANOS,ANDREA MARCELA GOMEZ BECERRA,PARTIDO ADA,92106
Concejo,META,SAN MARTIN DE LOS LLANOS,ANGEL OCTAVIO RAMIREZ BONILLA,PARTIDO CENTRO DEMOCRATICO,92072
Concejo,META,SAN MARTIN DE LOS LLANOS,ANGELICA  BARBOSA BRAVO,COALICION ALIANZA SOCIAL INDEPENDIENTE - PARTIDO MIRA,92178
Concejo,META,SAN MARTIN DE LOS LLANOS,ARGEMIRO  ESPEJO CIFUENTES,PARTIDO CAMBIO RADICAL,92116
Concejo,META,SAN MARTIN DE LOS LLANOS,ARLEY  RODRIGUEZ VARGAS,BARRIOS UNIDOS POR SAN MARTIN BUS POR UN CONCEJO NUEVO,92158
Concejo,META,SAN MARTIN DE LOS LLANOS,ARMANDO  ROMERO HERRERA,PARTIDO COLOMBIA JUSTA LIBRES,92097
Concejo,META,SAN MARTIN DE LOS LLANOS,BRIYID KATERYNE ORTIZ AREVALO,PARTIDO COLOMBIA RENACIENTE,92101
Concejo,META,SAN MARTIN DE LOS LLANOS,CARLOS HUMBERTO ALONSO GUZMAN,PARTIDO ALIANZA VERDE,92131
Concejo,META,SAN MARTIN DE LOS LLANOS,CILIA  MORA REY,PARTIDO CENTRO DEMOCRATICO,92068
