corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,ALDANA,ALEXANDRA AMPARO BENAVIDES ZAMBRANO,PARTIDO CONSERVADOR COLOMBIANO,52165
Concejo,NARIÑO,ALDANA,ALVEIRO ALEJANDRO ACOSTA TUMBAQUI,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52168
Concejo,NARIÑO,ALDANA,ANA ISABEL CANCHALA CEBALLOS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52174
Concejo,NARIÑO,ALDANA,ANDERSON JUVENAL MONCAYO ERIRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52157
Concejo,NARIÑO,ALDANA,BETTY CRISTINA MUÑOZ CORAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52169
Concejo,NARIÑO,ALDANA,CARLOS ALBERTO REVELO ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52166
Concejo,NARIÑO,ALDANA,DANIEL RICARDO VALENCIA CHILANGUAD,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52171
Concejo,NARIÑO,ALDANA,DAYRA DEL CARMEN CHALPARTAR CUASES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52155
Concejo,NARIÑO,ALDANA,EDUIN JOBANY ERIRA PASTAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52158
Concejo,NARIÑO,ALDANA,ELIXER ARMANDO MONTENEGRO SALAZAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52153
Concejo,NARIÑO,ALDANA,FRANCISCO EDUARDO LOPEZ BURBANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52173
Concejo,NARIÑO,ALDANA,JESUS DAVID ERIRA AZA,PARTIDO LIBERAL COLOMBIANO,52151
Concejo,NARIÑO,ALDANA,JOSE ANIBAL TELPIZ TUTAL,PARTIDO CONSERVADOR COLOMBIANO,52163
Concejo,NARIÑO,ALDANA,JOSE GUILLERMO MOROCHO MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52175
Concejo,NARIÑO,ALDANA,KAREN DANIELA CUASQUER PAGUAY,PARTIDO LIBERAL COLOMBIANO,52148
Concejo,NARIÑO,ALDANA,LUIS ALBERTO BRAVO CADENA,PARTIDO CONSERVADOR COLOMBIANO,52164
Concejo,NARIÑO,ALDANA,LUIS ALBERTO VELASCO ALVARES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52170
Concejo,NARIÑO,ALDANA,MARIO FERNANDO PASTAS ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52154
Concejo,NARIÑO,ALDANA,ONESIMO RUFINO QUITIAQUEZ ,PARTIDO CONSERVADOR COLOMBIANO,52162
Concejo,NARIÑO,ALDANA,OSCAR JULIAN CHAUCANES ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52172
Concejo,NARIÑO,ALDANA,PAOLA ANDREA MUESES ANDRADE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52167
Concejo,NARIÑO,ALDANA,PEDRO ANTONIO CAGUAZANGO DERAZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52159
Concejo,NARIÑO,ALDANA,PIEDAD DEL PILAR ROSERO ALOMIA,PARTIDO CONSERVADOR COLOMBIANO,52161
Concejo,NARIÑO,ALDANA,ROSA ELENA ALDAS ROSERO,PARTIDO LIBERAL COLOMBIANO,52149
Concejo,NARIÑO,ALDANA,VERONICA ALEXANDRA ACOSTA AREVALO,PARTIDO LIBERAL COLOMBIANO,52147
Concejo,NARIÑO,ALDANA,YADIRA TATIANA ACOSTA ANRANGO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52156
Concejo,NARIÑO,ALDANA,YAMID HERNAN PIARPUZAN PISMAG,PARTIDO LIBERAL COLOMBIANO,52152
Concejo,NARIÑO,ALDANA,YIMY ALEXANDER AREVALO MUÑOZ,PARTIDO LIBERAL COLOMBIANO,52150
Concejo,NARIÑO,ALDANA,ZAIRA MAYERLY DAZA LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52160
