corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,BUESACO,ALVARO FREDY PAZ BURBANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50842
Concejo,NARIÑO,BUESACO,ANA DORIS CHAVES CHAVES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50891
Concejo,NARIÑO,BUESACO,ANA RUBIELA PAZ CABRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50905
Concejo,NARIÑO,BUESACO,ANGEL JESUS LOPEZ LOAIZA,PARTIDO CAMBIO RADICAL,50879
Concejo,NARIÑO,BUESACO,ANGELA GISSELLE ROSERO BURBANO,PARTIDO CONSERVADOR COLOMBIANO,50868
Concejo,NARIÑO,BUESACO,ARTURO ALEJANDRO CABRERA ALVAREZ,PARTIDO CAMBIO RADICAL,50874
Concejo,NARIÑO,BUESACO,BAYRON ASDRUBAL ARGOTTY MONCAYO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50884
Concejo,NARIÑO,BUESACO,BERNARDO  CADENA ERAZO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50904
Concejo,NARIÑO,BUESACO,BETO LEON GOMEZ VILLOTA,PARTIDO COLOMBIA RENACIENTE,50850
Concejo,NARIÑO,BUESACO,BRAYAN EDISSON GELPUD GELPUD,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50897
Concejo,NARIÑO,BUESACO,CARLOS ARTURO ORDOÑEZ ALARCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50892
Concejo,NARIÑO,BUESACO,CARLOS EDUARDO BENAVIDES LOPEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,50839
Concejo,NARIÑO,BUESACO,CARMEN CECILIA ROSAS ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50889
Concejo,NARIÑO,BUESACO,CARMEN LILIANA MONCAYO GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50899
Concejo,NARIÑO,BUESACO,CLAUDIA PATRICIA HIGIDIO ARGOTY,PARTIDO CONSERVADOR COLOMBIANO,50870
Concejo,NARIÑO,BUESACO,DANIEL DAVID CHACUA ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,50841
Concejo,NARIÑO,BUESACO,DANIELA DEL ROCIO JURADO CORDOBA,PARTIDO CONSERVADOR COLOMBIANO,50866
Concejo,NARIÑO,BUESACO,DARWIN  RODRIGUEZ GAVIRIA,PARTIDO COLOMBIA RENACIENTE,50853
Concejo,NARIÑO,BUESACO,DEISY YAMILE ORDOÑEZ PIALEJO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50903
Concejo,NARIÑO,BUESACO,DILSON IGNACIO ADARME CERON,PARTIDO COLOMBIA RENACIENTE,50852
Concejo,NARIÑO,BUESACO,DOMINGO EVER VIVEROS GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,50869
Concejo,NARIÑO,BUESACO,EDISON HEYBER BURBANO HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,50862
Concejo,NARIÑO,BUESACO,EDWARD MIGUEL CORDOBA BOTINA,PARTIDO COLOMBIA RENACIENTE,50858
Concejo,NARIÑO,BUESACO,EDWIN HAIR BURBANO CHAVES,PARTIDO CONSERVADOR COLOMBIANO,50867
Concejo,NARIÑO,BUESACO,EDWIN ORLANDO BENAVIDES PATIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50890
Concejo,NARIÑO,BUESACO,ENRIQUE ALEJANDRO PORTILLA ENRIQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50888
Concejo,NARIÑO,BUESACO,ESPERANZA ELIZABETH VILLOTA LOPEZ,PARTIDO CAMBIO RADICAL,50877
Concejo,NARIÑO,BUESACO,FABIAN  URBANO CHICAIZA,PARTIDO CONSERVADOR COLOMBIANO,50873
Concejo,NARIÑO,BUESACO,FELICITAS SALOME GARCIA DE GUERRERO,PARTIDO CAMBIO RADICAL,50883
Concejo,NARIÑO,BUESACO,FERNANDA YASMIN OBANDO ANDRADE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50847
Concejo,NARIÑO,BUESACO,FREDERMAN  MONTOYA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,50871
Concejo,NARIÑO,BUESACO,GIRALDO JAVIER ORDOÑEZ MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50844
Concejo,NARIÑO,BUESACO,GLORIA INES ÑAÑEZ BOLAÑOS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,50840
Concejo,NARIÑO,BUESACO,HUGO ANDRES PATIÑO ROSERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50896
Concejo,NARIÑO,BUESACO,HUMBERTO EVERARDO ORTIZ GOMEZ,PARTIDO COLOMBIA RENACIENTE,50855
Concejo,NARIÑO,BUESACO,JAIRO LEONARDO ROMERO LAZO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50907
Concejo,NARIÑO,BUESACO,JAIRO MILTON ERASO SANCHEZ,PARTIDO COLOMBIA RENACIENTE,50860
Concejo,NARIÑO,BUESACO,JESUS EDUARDO VILLADA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50848
Concejo,NARIÑO,BUESACO,JESUS HERNANDO JOJOA CHAVES,PARTIDO CAMBIO RADICAL,50876
Concejo,NARIÑO,BUESACO,JORGE ENRIQUE MARTINEZ ZAMBRANO,PARTIDO CAMBIO RADICAL,50882
Concejo,NARIÑO,BUESACO,JORGE GIRALDO MUÑOZ URBANO,PARTIDO CONSERVADOR COLOMBIANO,50863
Concejo,NARIÑO,BUESACO,JOSE EDUARDO RIVERA HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50893
Concejo,NARIÑO,BUESACO,JOSE MARIA CORDOBA CORDOBA,PARTIDO CAMBIO RADICAL,50881
Concejo,NARIÑO,BUESACO,JOSE SEGUNDO GABRIEL PEREZ CHAVES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50901
Concejo,NARIÑO,BUESACO,JUAN CARLOS AGUIRRE JARAMILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50894
Concejo,NARIÑO,BUESACO,JULIO HOMERO CHAVES TUTISTAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50895
Concejo,NARIÑO,BUESACO,LAUREANO ALBERTO GOMEZ ADARME,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50906
Concejo,NARIÑO,BUESACO,LEONOR DEL SOCORRO ORTIZ LASSO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50845
Concejo,NARIÑO,BUESACO,LIBIA ESMERALDA BOTINA ,PARTIDO CAMBIO RADICAL,50878
Concejo,NARIÑO,BUESACO,LUIS ALBERTO ORTIZ MONCAYO,PARTIDO COLOMBIA RENACIENTE,50849
Concejo,NARIÑO,BUESACO,LUIS ALFONSO MELENDEZ ,PARTIDO CAMBIO RADICAL,50875
Concejo,NARIÑO,BUESACO,LUIS ANTONIO BOLAÑOS RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50900
Concejo,NARIÑO,BUESACO,MARIA ANGELITA ORTEGA AGREDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50885
Concejo,NARIÑO,BUESACO,MARIA CAMILA JOJOA CABRERA,PARTIDO COLOMBIA RENACIENTE,50851
Concejo,NARIÑO,BUESACO,MARIA DEL PILAR ALBAN ESPAÑA,PARTIDO COLOMBIA RENACIENTE,50856
Concejo,NARIÑO,BUESACO,MARIA FERNANDA BOTINA DIAZ,PARTIDO CONSERVADOR COLOMBIANO,50865
Concejo,NARIÑO,BUESACO,MARIO FERNANDO CARVAJAL MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,50872
Concejo,NARIÑO,BUESACO,MIGUEL ANGEL SACANAMBUY ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50902
Concejo,NARIÑO,BUESACO,MONICA VIVIANA RIVERA BASANTE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50846
Concejo,NARIÑO,BUESACO,NIDIA SULENI ADARME ARAUJO,PARTIDO COLOMBIA RENACIENTE,50857
Concejo,NARIÑO,BUESACO,OLGA ESPERANZA SANTACRUZ TREJO,PARTIDO COLOMBIA RENACIENTE,50859
Concejo,NARIÑO,BUESACO,SANDRA MILENA MARTINEZ NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50898
Concejo,NARIÑO,BUESACO,SEGUNDO  VIVEROS SANTACRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50843
Concejo,NARIÑO,BUESACO,SEGUNDO AGUSTIN ARCOS SOLARTE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,50908
Concejo,NARIÑO,BUESACO,SERVIO TULIO MONCAYO ROSERO,PARTIDO CAMBIO RADICAL,50880
Concejo,NARIÑO,BUESACO,TEOFILO ANCELMO ENRIQUEZ DOMINGUEZ,PARTIDO COLOMBIA RENACIENTE,50854
Concejo,NARIÑO,BUESACO,TERESA EUGENIA MONCAYO MONCAYO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50887
Concejo,NARIÑO,BUESACO,VICENTE HELI BASTIDAS ACOSTA,PARTIDO COLOMBIA RENACIENTE,50861
Concejo,NARIÑO,BUESACO,WILSON ENRIQUE CHAVES CABRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50886
Concejo,NARIÑO,BUESACO,WILSON IVAN LOPEZ DIAZ,PARTIDO CONSERVADOR COLOMBIANO,50864
