corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,CONSACA,ADRIANA JANNETH VALLEJO MONTALVO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50995
Concejo,NARIÑO,CONSACA,ALVARO ANSELMO JURADO CABRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,50999
Concejo,NARIÑO,CONSACA,BRAYAN DANIEL TRUJILLO BOLAÑOS,PARTIDO COLOMBIA RENACIENTE,50958
Concejo,NARIÑO,CONSACA,CESAR ALVARO ORTIZ TORRES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51009
Concejo,NARIÑO,CONSACA,CRISTINA MERCEDES MARTINEZ PUCHANA,PARTIDO ALIANZA VERDE,50985
Concejo,NARIÑO,CONSACA,DANNA EVELYN ARMERO ROSERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,50991
Concejo,NARIÑO,CONSACA,DEYSSY MARICELA PORTILLA MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51005
Concejo,NARIÑO,CONSACA,DIANA MILENA LOPEZ CALVACHE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,51002
Concejo,NARIÑO,CONSACA,DIGNA LIGIA ZAMBRANO ,PARTIDO CAMBIO RADICAL,50982
Concejo,NARIÑO,CONSACA,EDISSON FABIAN ARMERO ESTRADA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,50990
Concejo,NARIÑO,CONSACA,ERASMO SIGIFREDO CUMBAL BASANTE,PARTIDO CONSERVADOR COLOMBIANO,50968
Concejo,NARIÑO,CONSACA,EUSEBIO EDUARDO PABON ,PARTIDO CAMBIO RADICAL,50976
Concejo,NARIÑO,CONSACA,GERINALDO MAURO ESTRELLA RIASCOS,PARTIDO CONSERVADOR COLOMBIANO,50971
Concejo,NARIÑO,CONSACA,GUIDO FERNANDO ERAZO MORALES,PARTIDO COLOMBIA RENACIENTE,50959
Concejo,NARIÑO,CONSACA,HECTOR MIGUEL PANTOJA ,PARTIDO COLOMBIA RENACIENTE,50964
Concejo,NARIÑO,CONSACA,HERMES EDUARDO CHAMORRO LUCERO,PARTIDO COLOMBIA RENACIENTE,50961
Concejo,NARIÑO,CONSACA,HERMES GIRALDO ALMEIDA RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50956
Concejo,NARIÑO,CONSACA,IGNACIO ANGEL ROSERO MONTILLA,PARTIDO CAMBIO RADICAL,50979
Concejo,NARIÑO,CONSACA,ILBIA NUBIA CHICAIZA ROSERO,PARTIDO ALIANZA VERDE,50989
Concejo,NARIÑO,CONSACA,ISAIAS FILIMON BENAVIDES BETANCOURT,PARTIDO LIBERAL COLOMBIANO,50946
Concejo,NARIÑO,CONSACA,JAIME ALVARO CAEZ ARTEAGA,PARTIDO CAMBIO RADICAL,50978
Concejo,NARIÑO,CONSACA,JAIME RAMIRO MARTINEZ NAVARRO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,50954
