corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,GUACHUCAL,ANA LUCIA CUASTUMAL GUAITARILLA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,51803
Concejo,NARIÑO,GUACHUCAL,AURA STELLA LOPEZ TIPANLUISA,PARTIDO CONSERVADOR COLOMBIANO,51764
Concejo,NARIÑO,GUACHUCAL,BERNARDO ALEXANDER TUTALCHA REINA,PARTIDO CONSERVADOR COLOMBIANO,51769
Concejo,NARIÑO,GUACHUCAL,BIENVENIDO MANUEL LIBARDO ALEXANDER INAMPUES GALINDRES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51788
Concejo,NARIÑO,GUACHUCAL,CAMILA NATALY NOVOA REINA,PARTIDO LIBERAL COLOMBIANO,51754
Concejo,NARIÑO,GUACHUCAL,CARLOS ALBERTO IPAZ ENRIQUEZ,PARTIDO CENTRO DEMOCRATICO,51758
Concejo,NARIÑO,GUACHUCAL,CARLOS ALIRIO CUATIN CUATIN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,51795
Concejo,NARIÑO,GUACHUCAL,CHRISTIAN CAMILO PASMIÑO ROSERO,PARTIDO LIBERAL COLOMBIANO,51756
Concejo,NARIÑO,GUACHUCAL,CRISTOBAL  CUASTUMAL MALTE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,51801
Concejo,NARIÑO,GUACHUCAL,DANIEL RICARDO PEREZ CHALEAL,PARTIDO LIBERAL COLOMBIANO,51755
Concejo,NARIÑO,GUACHUCAL,DIANA  RODRIGUEZ FUELANTALA,PARTIDO CONSERVADOR COLOMBIANO,51765
Concejo,NARIÑO,GUACHUCAL,EDGAR WILFREDO GUANCHA CUASTUMAL,PARTIDO LIBERAL COLOMBIANO,51753
Concejo,NARIÑO,GUACHUCAL,EDWIN LEONIDAS REVELO CHASOY,PARTIDO POLO DEMOCRATICO ALTERNATIVO,51802
Concejo,NARIÑO,GUACHUCAL,FRANCISCO JAVIER SAYALPUD CAIPE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51787
Concejo,NARIÑO,GUACHUCAL,GLORIA MARCELA ORTEGA BRAVO,PARTIDO ALIANZA VERDE,51782
Concejo,NARIÑO,GUACHUCAL,JESUS ALIRIO GALINDRES ESCOBAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,51799
Concejo,NARIÑO,GUACHUCAL,JESUS ARMANDO CUESTA ,PARTIDO LIBERAL COLOMBIANO,51749
Concejo,NARIÑO,GUACHUCAL,JESUS EMIRO CALPA CUATIN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51793
Concejo,NARIÑO,GUACHUCAL,JOHN JAIRO CUASTUMAL QUISTIAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,51800
Concejo,NARIÑO,GUACHUCAL,JORGE YOVANNY CALPA TOBAR,PARTIDO CONSERVADOR COLOMBIANO,51767
Concejo,NARIÑO,GUACHUCAL,JOSE ARMANDO CASTRO PISCAL,PARTIDO CAMBIO RADICAL,51779
Concejo,NARIÑO,GUACHUCAL,JOSE DANIEL COLIMBA CUASPUD,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,51797
Concejo,NARIÑO,GUACHUCAL,JOSE DARIO TUTALCHA TUTALCHA,PARTIDO CAMBIO RADICAL,51777
Concejo,NARIÑO,GUACHUCAL,JOSE EFREN SAYALPUD FUELANTALA,PARTIDO LIBERAL COLOMBIANO,51752
