corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,IMUES,ANTONIO OSCAR DE JESUS ROSERO CORTES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51962
Concejo,NARIÑO,IMUES,CLAUDIA VIVIANA DELGADO BURBANO,PARTIDO CONSERVADOR COLOMBIANO,51951
Concejo,NARIÑO,IMUES,DANNY CESAR MORA MORA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51967
Concejo,NARIÑO,IMUES,DARLIN NATALIA ORDOÑEZ BERNAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51965
Concejo,NARIÑO,IMUES,ELIZABETH  DELGADO NANDAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51972
Concejo,NARIÑO,IMUES,ESTEBAN BENJAMIN BASTIDAS TELLO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51960
Concejo,NARIÑO,IMUES,FRANCISCO LEONARDO BURBANO BASTIDAS,PARTIDO CAMBIO RADICAL,51953
Concejo,NARIÑO,IMUES,FRANCO ALIRIO CAICEDO ,PARTIDO CONSERVADOR COLOMBIANO,51949
Concejo,NARIÑO,IMUES,GUIDO OMANCIO VALLEJOS PANTOJA,PARTIDO CAMBIO RADICAL,51954
Concejo,NARIÑO,IMUES,JESUS ERADIO MORA PANTOJA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51961
Concejo,NARIÑO,IMUES,JIRALDO JAVIER CORTEZ ORDOÑEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51963
Concejo,NARIÑO,IMUES,JOSE EUSTORGIO TOBAR TOBAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51971
Concejo,NARIÑO,IMUES,JOSE GILBERTO LAGOS BASTIDAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51969
Concejo,NARIÑO,IMUES,LUIS ENRIQUE FLOREZ MORA,PARTIDO CONSERVADOR COLOMBIANO,51948
Concejo,NARIÑO,IMUES,LUIS MEDARDO ARCINIEGAS ,PARTIDO CONSERVADOR COLOMBIANO,51950
Concejo,NARIÑO,IMUES,LUIS OMAR ESPAÑA SANTACRUZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51968
Concejo,NARIÑO,IMUES,LUZ MARINA SANTACRUZ ERASO,PARTIDO CAMBIO RADICAL,51956
Concejo,NARIÑO,IMUES,MILLER FRANSIS LUCANO TOBAR,PARTIDO CAMBIO RADICAL,51955
Concejo,NARIÑO,IMUES,NELCY ROVIRA ERAZO TITISTAR,PARTIDO CAMBIO RADICAL,51959
Concejo,NARIÑO,IMUES,ORLANDO ALFREDO TOBAR NATEZ,PARTIDO CAMBIO RADICAL,51958
Concejo,NARIÑO,IMUES,ROCIO DAYANA TORO MORA,PARTIDO CAMBIO RADICAL,51957
Concejo,NARIÑO,IMUES,SANTIAGO ISIDRO LUCANO PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51974
Concejo,NARIÑO,IMUES,SILVIO EVERARDO PANTOJA CORTEZ,PARTIDO CONSERVADOR COLOMBIANO,51947
Concejo,NARIÑO,IMUES,TRANSITO MARICELA CERON ROSERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51970
Concejo,NARIÑO,IMUES,VICTORIA CECILIA TOBAR ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51966
Concejo,NARIÑO,IMUES,VIVIANA ALEXANDRA NANDAR RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,51952
Concejo,NARIÑO,IMUES,YAMILY CONCEPCION SANCHEZ SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,51964
Concejo,NARIÑO,IMUES,YURY INES TELLO LOTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,51973
