corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,LEIVA,ALBEIRO  LOPEZ OTERO,PARTIDO LIBERAL COLOMBIANO,52472
Concejo,NARIÑO,LEIVA,ALBEIRO  MUÑOZ LUNA,PARTIDO COLOMBIA RENACIENTE,52496
Concejo,NARIÑO,LEIVA,ANA LUCY MUÑOZ GUERRERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52532
Concejo,NARIÑO,LEIVA,ANA YURANY CONTA MADROÑERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52490
Concejo,NARIÑO,LEIVA,ANDREA  ORTEGA NOGUERA,PARTIDO COLOMBIA RENACIENTE,52492
Concejo,NARIÑO,LEIVA,ARLEY  ANDRADE DELGADO,PARTIDO ALIANZA VERDE,52519
Concejo,NARIÑO,LEIVA,ARMANDO  RODRIGUEZ ,PARTIDO CONSERVADOR COLOMBIANO,52502
Concejo,NARIÑO,LEIVA,ARVEY  PEREZ OBANDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52483
Concejo,NARIÑO,LEIVA,AURELIO  PALACIOS ,PARTIDO CAMBIO RADICAL,52514
Concejo,NARIÑO,LEIVA,AURO SIXTO ILVIRA CASTRO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,52542
Concejo,NARIÑO,LEIVA,BARBARA DANIELA GUERRERO GARZON,PARTIDO ALIANZA VERDE,52522
Concejo,NARIÑO,LEIVA,BAUDILIO  CERON NARVAEZ,PARTIDO ALIANZA VERDE,52521
Concejo,NARIÑO,LEIVA,BELISARIO  FANDIÑO GALINDEZ,PARTIDO CAMBIO RADICAL,52508
Concejo,NARIÑO,LEIVA,CAMPO EMILIO ORTEGA ADRADA,PARTIDO LIBERAL COLOMBIANO,52473
Concejo,NARIÑO,LEIVA,CARLOS  SANCHEZ MELENDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52484
Concejo,NARIÑO,LEIVA,CAROLINA ALEXANDRA OJEDA MELENDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52491
Concejo,NARIÑO,LEIVA,CLAUDIA PATRICIA ERAZO MUÑOZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,52546
Concejo,NARIÑO,LEIVA,CLEMENTE  NAVIA GRIJALBA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52488
Concejo,NARIÑO,LEIVA,DAIRO WIRLEY NOGUERA PATIÑO,PARTIDO LIBERAL COLOMBIANO,52479
Concejo,NARIÑO,LEIVA,DAYANA STEFANY GUERRERO ORTEGA,PARTIDO CONSERVADOR COLOMBIANO,52506
Concejo,NARIÑO,LEIVA,DEIRY LILIANA BRAVO LEITON,PARTIDO CAMBIO RADICAL,52510
Concejo,NARIÑO,LEIVA,DIBIER  BOLAÑOS OJEDA,PARTIDO COLOMBIA RENACIENTE,52495
Concejo,NARIÑO,LEIVA,DIOGENES  ENRIQUEZ DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52489
Concejo,NARIÑO,LEIVA,EDGAR  DAZA DAZA,PARTIDO CONSERVADOR COLOMBIANO,52499
Concejo,NARIÑO,LEIVA,EDILSON  PALACIOS PALACIOS,PARTIDO CAMBIO RADICAL,52515
Concejo,NARIÑO,LEIVA,EDUARD FABIAN MELENDEZ OJEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52537
Concejo,NARIÑO,LEIVA,EIDER  GOMEZ DOMINGUEZ,PARTIDO CONSERVADOR COLOMBIANO,52500
