corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,MAGUI (PAYAN),ALBA MAYI ORDOÑEZ PALACIOS,PARTIDO LIBERAL COLOMBIANO,52671
Concejo,NARIÑO,MAGUI (PAYAN),ALBA ODDULIA TENORIO QUIÑONES,PARTIDO LIBERAL COLOMBIANO,52675
Concejo,NARIÑO,MAGUI (PAYAN),ALICIA CRUZ ANTONIA ANGULO TENORIO,PARTIDO CONSERVADOR COLOMBIANO,52684
Concejo,NARIÑO,MAGUI (PAYAN),ANA MILENA LARAS QUIÑONES,PARTIDO CONSERVADOR COLOMBIANO,52679
Concejo,NARIÑO,MAGUI (PAYAN),ANA YANSI QUIÑONES ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52714
Concejo,NARIÑO,MAGUI (PAYAN),ANDRES WILFRIDO MARINEZ ,PARTIDO LIBERAL COLOMBIANO,52677
Concejo,NARIÑO,MAGUI (PAYAN),AURA ELISA QUIÑONES QUIÑONES,PARTIDO LIBERAL COLOMBIANO,52672
Concejo,NARIÑO,MAGUI (PAYAN),BERTHA SORAIDA CAICEDO TENORIO,PARTIDO CONSERVADOR COLOMBIANO,52685
Concejo,NARIÑO,MAGUI (PAYAN),CARMELO ESTEBAN VARGAS FABRA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,52724
Concejo,NARIÑO,MAGUI (PAYAN),CECILIA TEODORA TENORIO QUIÑONES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,52725
Concejo,NARIÑO,MAGUI (PAYAN),CLAUDIA PATRICIA TIRADO CARREÑO,PARTIDO ALIANZA VERDE,52696
Concejo,NARIÑO,MAGUI (PAYAN),CLAUDIA ROCIO LEON VALENCIA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,52720
Concejo,NARIÑO,MAGUI (PAYAN),CORINA QUITERIA QUIÑONES BATALLA,PARTIDO ALIANZA VERDE,52703
Concejo,NARIÑO,MAGUI (PAYAN),CRISTIAN ALADINO ORDOÑEZ ANGULO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52712
Concejo,NARIÑO,MAGUI (PAYAN),DAMACENO  GODOY ,PARTIDO CAMBIO RADICAL,52691
Concejo,NARIÑO,MAGUI (PAYAN),DIANA CAROLINA TENORIO QUIÑONES,PARTIDO CAMBIO RADICAL,52692
Concejo,NARIÑO,MAGUI (PAYAN),DIANA FABIOLA ANGULO CABEZAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52705
Concejo,NARIÑO,MAGUI (PAYAN),DIEGO ARMANDO MEJIA HURTADO,PARTIDO LIBERAL COLOMBIANO,52669
Concejo,NARIÑO,MAGUI (PAYAN),EDGAR LEONIDAS PRADO QUIÑONES,PARTIDO LIBERAL COLOMBIANO,52670
Concejo,NARIÑO,MAGUI (PAYAN),EDGAR PARMENIDES QUIÑONES QUIÑONES,PARTIDO LIBERAL COLOMBIANO,52676
Concejo,NARIÑO,MAGUI (PAYAN),EDILIO FEDERICO MARQUINEZ ANGULO,PARTIDO CONSERVADOR COLOMBIANO,52682
Concejo,NARIÑO,MAGUI (PAYAN),EDINSON ARISTIDES CAICEDO CARVAJAL,PARTIDO LIBERAL COLOMBIANO,52674
Concejo,NARIÑO,MAGUI (PAYAN),EDWIN DAVID QUIÑONES MARINEZ,PARTIDO LIBERAL COLOMBIANO,52673
Concejo,NARIÑO,MAGUI (PAYAN),ERNE DAVID QUIÑONES ITURRE,PARTIDO ALIANZA VERDE,52701
