corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),ALEXANDER  RIASCOS LAGOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52776
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),AMPARO EUFEMIA LOPEZ PRADO,PARTIDO CENTRO DEMOCRATICO,52734
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),ANA PASTORA BELALCAZAR ARTEAGA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52743
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),ANA YIBE ESCOBAR ERASO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52775
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),AURELIA  DORADO ,PARTIDO CENTRO DEMOCRATICO,52735
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),CARLOS ADALBERTO SALCEDO ALAVA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52773
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),CARLOS EDUARDO LOPEZ FLOREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52742
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),CARMEN ALICIA ROSERO TOVAR,PARTIDO CONSERVADOR COLOMBIANO,52754
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),DECNIS MARIBEL BASTIDAS GUERRERO,PARTIDO CENTRO DEMOCRATICO,52733
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),DUBAN SIGIFREDO CUATIN TAIMAL,PARTIDO CAMBIO RADICAL,52760
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),DUVAN STIVEN CHAMORRO CORDOBA,PARTIDO CENTRO DEMOCRATICO,52740
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),EDIE PATRICIA CHARFUELAN DE LA CRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,52746
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),EDUARD LEXTER BENAVIDES CORDOBA,PARTIDO COLOMBIA RENACIENTE,52747
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),GERMAN RICARDO OLIVA BENAVIDES,PARTIDO CENTRO DEMOCRATICO,52738
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),GLORIA DEL CARMEN PRADO PRADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52779
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),GUSTAVO JAVIER PAI ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,52770
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),HECTOR ELIAZAR GALARRAGA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,52753
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),IVAN DARIO CALPA OLIVA,PARTIDO CONSERVADOR COLOMBIANO,52755
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),JAIRO ANTONIO GUERRERO VILLOTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52777
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),JESSICA NATALIA CHIRAN GARRIDO,PARTIDO ALIANZA VERDE,52768
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),JESSIKA KATHERINE ROSERO ATAPUMA,PARTIDO CENTRO DEMOCRATICO,52736
Concejo,NARIÑO,MALLAMA (PIEDRANCHA),JESUS ANDRES ANAMA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,52778
