corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,POLICARPA,ALEXANDRA  ROSERO MELENDEZ,PARTIDO CAMBIO RADICAL,52996
Concejo,NARIÑO,POLICARPA,AMILCAR AMADEO NEHEMIAS RODRIGUEZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53009
Concejo,NARIÑO,POLICARPA,ANDRES MAURICIO MENDOZA MATACEA,PARTIDO CAMBIO RADICAL,52992
Concejo,NARIÑO,POLICARPA,ANGELA CRISTINA ANCHICA ,PARTIDO CONSERVADOR COLOMBIANO,52990
Concejo,NARIÑO,POLICARPA,BEATRIZ ELENA BORRERO JURADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53010
Concejo,NARIÑO,POLICARPA,CARLOS LEONEL BASANTE PARREÑO,PARTIDO CONSERVADOR COLOMBIANO,52988
Concejo,NARIÑO,POLICARPA,CARMEN ODILA SEGURA TONGUINO,PARTIDO CONSERVADOR COLOMBIANO,52987
Concejo,NARIÑO,POLICARPA,CAROL ESTEFANY CARDENAS ERAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53001
Concejo,NARIÑO,POLICARPA,CLAUDIA MARCELA BENAVIDES CAICEDO,PARTIDO CONSERVADOR COLOMBIANO,52981
Concejo,NARIÑO,POLICARPA,CLAUDIA PATRICIA ORTEGON LEITON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53017
Concejo,NARIÑO,POLICARPA,DAIMER FERNANDO MADROÑERO GUERRA,PARTIDO COLOMBIA JUSTA LIBRES,52980
Concejo,NARIÑO,POLICARPA,DEISY  NARVAEZ ,PARTIDO COLOMBIA JUSTA LIBRES,52979
Concejo,NARIÑO,POLICARPA,DIMAS  DIAZ MELENDEZ,PARTIDO CONSERVADOR COLOMBIANO,52983
Concejo,NARIÑO,POLICARPA,DIONEIDA  MELENDEZ MUÑOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53016
Concejo,NARIÑO,POLICARPA,EDER FAVIAN GUERRA DIAZ,PARTIDO CONSERVADOR COLOMBIANO,52986
Concejo,NARIÑO,POLICARPA,ELIANA LIDEY CABRERA MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,52989
Concejo,NARIÑO,POLICARPA,ELMER DAVID QUIROZ CABRERA,PARTIDO LIBERAL COLOMBIANO,52974
Concejo,NARIÑO,POLICARPA,ELVIA LILIANA CORDOBA ERASO,PARTIDO CAMBIO RADICAL,52994
Concejo,NARIÑO,POLICARPA,EMILSE ALEXANDRA RODRIGUEZ SOLARTE,PARTIDO LIBERAL COLOMBIANO,52972
Concejo,NARIÑO,POLICARPA,FERNANDO  ORTEGA DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53002
Concejo,NARIÑO,POLICARPA,HAROLD  MELENDEZ QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53020
Concejo,NARIÑO,POLICARPA,HOMERO GONZALO ORTEGA ,PARTIDO CAMBIO RADICAL,52993
Concejo,NARIÑO,POLICARPA,INGRYD NOHEMI ORTEGA PORTILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53007
Concejo,NARIÑO,POLICARPA,JESUS MAURICIO SOTELO CANAMEJOY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53000
Concejo,NARIÑO,POLICARPA,JOHN DAVISON LOAIZA LAGOS,PARTIDO LIBERAL COLOMBIANO,52975
Concejo,NARIÑO,POLICARPA,JOSE EIMER GUERRA ,PARTIDO CAMBIO RADICAL,52998
Concejo,NARIÑO,POLICARPA,JUAN BAUTISTA DIAZ RIASCOS,PARTIDO COLOMBIA JUSTA LIBRES,52977
Concejo,NARIÑO,POLICARPA,JUANITA ROSARIO NARVAEZ CARRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53021
Concejo,NARIÑO,POLICARPA,JULIAN  TAPIA BASANTE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53005
Concejo,NARIÑO,POLICARPA,LAUREANO ALBERTO VALENCIA ILVIRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53003
Concejo,NARIÑO,POLICARPA,LUIS ADRIANO MEZA CADENA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53004
