corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,RICAURTE,ALVARO VICENTE SANCHEZ ACOSTA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,49518
Concejo,NARIÑO,RICAURTE,ANGEL MARIA NASTACUAS NASTACUAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49475
Concejo,NARIÑO,RICAURTE,CAMILO  URBANO NASTACUAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,49511
Concejo,NARIÑO,RICAURTE,CAMILO ESTEBAN DIAZ ENRIQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49469
Concejo,NARIÑO,RICAURTE,CAMPOS  NASTACUAS GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49470
Concejo,NARIÑO,RICAURTE,CARLOS GERMAN MOLINA ROSERO,PARTIDO CONSERVADOR COLOMBIANO,49489
Concejo,NARIÑO,RICAURTE,CLAUDIA ESTELA ROSALES ROSERO,PARTIDO CAMBIO RADICAL,49493
Concejo,NARIÑO,RICAURTE,DEIVER EDISSON CANTICUS GUANGA,PARTIDO CAMBIO RADICAL,49492
Concejo,NARIÑO,RICAURTE,DIANA CAROLINA CORTES GARCIA,PARTIDO CONSERVADOR COLOMBIANO,49483
Concejo,NARIÑO,RICAURTE,EDISON ARMANDO ORTIZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,49482
Concejo,NARIÑO,RICAURTE,EDWIN HERNAN MONTENEGRO VALENCIA,PARTIDO CONSERVADOR COLOMBIANO,49488
Concejo,NARIÑO,RICAURTE,ELSA VERONICA CUASPUD CARLOSAMA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49517
Concejo,NARIÑO,RICAURTE,ESTEBAN ALEJANDRO MARTINEZ RAMIREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,49524
Concejo,NARIÑO,RICAURTE,EVERARDO  ORTIZ NASTACUAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49468
Concejo,NARIÑO,RICAURTE,FABIO  PASCAL TAICUS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49473
Concejo,NARIÑO,RICAURTE,FABIO MARTIN PANTOJA MORIANO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,49521
Concejo,NARIÑO,RICAURTE,FANNY YOLANDA MARTINEZ PANTOJA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49474
Concejo,NARIÑO,RICAURTE,FREDY ANTONIO GUANGA NASTACUAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,49506
Concejo,NARIÑO,RICAURTE,FREDY EDUARDO CARVAJAL GONZALEZ,PARTIDO CAMBIO RADICAL,49494
Concejo,NARIÑO,RICAURTE,GLORIA AMPARO AGUILAR ,PARTIDO CONSERVADOR COLOMBIANO,49486
Concejo,NARIÑO,RICAURTE,GRIMANEZA TRINIDAD MOREANO PAI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49466
Concejo,NARIÑO,RICAURTE,HANSER CAMILO SEVILLANO ROSERO,PARTIDO ALIANZA VERDE,49502
Concejo,NARIÑO,RICAURTE,HECTOR RENE ALVAREZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,49484
Concejo,NARIÑO,RICAURTE,HEIBER RENE OLIVA ROSERO,PARTIDO ALIANZA VERDE,49498
Concejo,NARIÑO,RICAURTE,HENRY RAUL VILLAREAL NASTACUAS,PARTIDO CONSERVADOR COLOMBIANO,49485
