corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,SAN BERNARDO,ALIRIO ERNERI CORONEL ORDOÑEZ,PARTIDO CAMBIO RADICAL,49797
Concejo,NARIÑO,SAN BERNARDO,AMADO  CHAVES CHAVES,PARTIDO CENTRO DEMOCRATICO,49764
Concejo,NARIÑO,SAN BERNARDO,ANA ELIA DELGADO BURGOS,PARTIDO COLOMBIA RENACIENTE,49778
Concejo,NARIÑO,SAN BERNARDO,ANGIE ANDREA GAVIRIA GAVIRIA,PARTIDO LIBERAL COLOMBIANO,49759
Concejo,NARIÑO,SAN BERNARDO,ANTONIO MIRALDO DELGADO RAMOS,PARTIDO CENTRO DEMOCRATICO,49767
Concejo,NARIÑO,SAN BERNARDO,BETTY  JURADO GOMEZ,PARTIDO COLOMBIA RENACIENTE,49777
Concejo,NARIÑO,SAN BERNARDO,BLANCA LILIANA MORENO MARTINEZ,PARTIDO COLOMBIA RENACIENTE,49771
Concejo,NARIÑO,SAN BERNARDO,CAMILO ANDRES MUÑOZ ORDOÑEZ,PARTIDO LIBERAL COLOMBIANO,49754
Concejo,NARIÑO,SAN BERNARDO,CRISTIAN CAMILO DIAZ RIPE,PARTIDO LIBERAL COLOMBIANO,49752
Concejo,NARIÑO,SAN BERNARDO,DEISI JOHANA JURADO PARDO,PARTIDO CENTRO DEMOCRATICO,49769
Concejo,NARIÑO,SAN BERNARDO,DIANA CARMEN ORDOÑEZ LASSO,PARTIDO LIBERAL COLOMBIANO,49758
Concejo,NARIÑO,SAN BERNARDO,EDGAR  LOPEZ CASTILLO,PARTIDO COLOMBIA RENACIENTE,49770
Concejo,NARIÑO,SAN BERNARDO,EDUIN ARLEY DELGADO ALVEAR,PARTIDO CONSERVADOR COLOMBIANO,49780
Concejo,NARIÑO,SAN BERNARDO,ELCY CECILIA PEREZ RAMOS,PARTIDO CENTRO DEMOCRATICO,49768
Concejo,NARIÑO,SAN BERNARDO,ELDER  SALAZAR ESTRELLA,PARTIDO CENTRO DEMOCRATICO,49765
Concejo,NARIÑO,SAN BERNARDO,FABER CAMILO CEBALLOS DELGADO,PARTIDO CAMBIO RADICAL,49790
Concejo,NARIÑO,SAN BERNARDO,FABIOLA  TREJOS JURADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49799
Concejo,NARIÑO,SAN BERNARDO,FAVIO  MOLINA CERON,PARTIDO CONSERVADOR COLOMBIANO,49781
Concejo,NARIÑO,SAN BERNARDO,FREDY MAURICIO ORDOÑEZ ORDOÑEZ,PARTIDO CAMBIO RADICAL,49789
Concejo,NARIÑO,SAN BERNARDO,HELEN BRIGITTE ORTIZ CASTILLO,PARTIDO CAMBIO RADICAL,49795
Concejo,NARIÑO,SAN BERNARDO,HERNAN BENITO LASSO DELGADO,PARTIDO CAMBIO RADICAL,49794
Concejo,NARIÑO,SAN BERNARDO,HUGO NORBEY MARTINEZ GUERRERO,PARTIDO CAMBIO RADICAL,49796
Concejo,NARIÑO,SAN BERNARDO,HUMBERTO  CUSI REALPE,PARTIDO CENTRO DEMOCRATICO,49762
Concejo,NARIÑO,SAN BERNARDO,IMELDA  ADARME ORDOÑEZ,PARTIDO CAMBIO RADICAL,49793
Concejo,NARIÑO,SAN BERNARDO,JAVIER  CASTILLO ,PARTIDO CONSERVADOR COLOMBIANO,49783
Concejo,NARIÑO,SAN BERNARDO,JENRI JAVIER MORENO MARTINEZ,PARTIDO CENTRO DEMOCRATICO,49761
Concejo,NARIÑO,SAN BERNARDO,JESUS ALBEIRO GUERRERO ALVEAR,PARTIDO COLOMBIA RENACIENTE,49775
Concejo,NARIÑO,SAN BERNARDO,JESUS ALIRIO MENESES MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49802
Concejo,NARIÑO,SAN BERNARDO,JESUS ALNEIDER CUSI GUTIERREZ,PARTIDO CAMBIO RADICAL,49787
Concejo,NARIÑO,SAN BERNARDO,JESUS GONZALO VIVEROS DELGADO,PARTIDO CENTRO DEMOCRATICO,49763
Concejo,NARIÑO,SAN BERNARDO,JHON FER DELGADO ALVEAR,PARTIDO CONSERVADOR COLOMBIANO,49785
Concejo,NARIÑO,SAN BERNARDO,JOSE EDUARDO ORDOÑEZ GIRON,PARTIDO LIBERAL COLOMBIANO,49756
Concejo,NARIÑO,SAN BERNARDO,JUAN CARLOS MATABAJOY INCHIMA,PARTIDO LIBERAL COLOMBIANO,49757
Concejo,NARIÑO,SAN BERNARDO,JUSTO  REALPE CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,49784
Concejo,NARIÑO,SAN BERNARDO,MARIA DEYANIRA ROSERO ,PARTIDO CONSERVADOR COLOMBIANO,49782
Concejo,NARIÑO,SAN BERNARDO,MARIA DIMELSA DELGADO ALVEAR,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49803
Concejo,NARIÑO,SAN BERNARDO,MARY LUZ BOLAÑOS TORO,PARTIDO CAMBIO RADICAL,49791
Concejo,NARIÑO,SAN BERNARDO,MIGUEL ANGEL MOLINA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49798
Concejo,NARIÑO,SAN BERNARDO,NELSON  PAYAN GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49801
Concejo,NARIÑO,SAN BERNARDO,NESTOR MAURICIO GAVIRIA FERNANDEZ,PARTIDO COLOMBIA RENACIENTE,49772
Concejo,NARIÑO,SAN BERNARDO,OCTAVIO  ERAZO CASTILLO,PARTIDO CAMBIO RADICAL,49788
Concejo,NARIÑO,SAN BERNARDO,OSCAR ARMANDO MARTINEZ CARLOSAMA,PARTIDO COLOMBIA RENACIENTE,49774
Concejo,NARIÑO,SAN BERNARDO,OSCAR WILLIAM CHAVES CASTILLO,PARTIDO COLOMBIA RENACIENTE,49773
Concejo,NARIÑO,SAN BERNARDO,OSWALDO DUVAN GUTIERREZ LASSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49800
Concejo,NARIÑO,SAN BERNARDO,REINALDO  CARLOSAMA CARLOSAMA,PARTIDO LIBERAL COLOMBIANO,49760
Concejo,NARIÑO,SAN BERNARDO,SANDRA MILENA CERON HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49805
Concejo,NARIÑO,SAN BERNARDO,SANDRA PATRICIA GARCIA BOLAÑOS,PARTIDO CONSERVADOR COLOMBIANO,49786
Concejo,NARIÑO,SAN BERNARDO,SEGUNDO DIOMIRO ORDOÑEZ TORO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,49804
Concejo,NARIÑO,SAN BERNARDO,VICTOR  JURADO TORO,PARTIDO COLOMBIA RENACIENTE,49776
Concejo,NARIÑO,SAN BERNARDO,VILLAN HERNAN MUÑOZ URBANO,PARTIDO LIBERAL COLOMBIANO,49753
Concejo,NARIÑO,SAN BERNARDO,YINA PAOLA VIVEROS GAVIRIA,PARTIDO LIBERAL COLOMBIANO,49751
Concejo,NARIÑO,SAN BERNARDO,YOLANDA  ARCOS SILVA,PARTIDO CONSERVADOR COLOMBIANO,49779
Concejo,NARIÑO,SAN BERNARDO,YUDY  GUZMAN DELGADO,PARTIDO LIBERAL COLOMBIANO,49755
Concejo,NARIÑO,SAN BERNARDO,YULY REBECA RIVERA MARTINEZ,PARTIDO CENTRO DEMOCRATICO,49766
Concejo,NARIÑO,SAN BERNARDO,ZORANY DIRLAY PARDO CUSI,PARTIDO CAMBIO RADICAL,49792
