corp,dpto,mpio,name,party,wp_no
Concejo,NARIÑO,SAN LORENZO,ADRIANA GIMENA VIVEROS OJEDA,PARTIDO ALIANZA VERDE,49848
Concejo,NARIÑO,SAN LORENZO,ALEXANDER  ORTIZ ESTRELLA,PARTIDO ALIANZA VERDE,49856
Concejo,NARIÑO,SAN LORENZO,ANDREA MARISOL GOMEZ GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49867
Concejo,NARIÑO,SAN LORENZO,ANTIDIO  LOPEZ BENITEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49863
Concejo,NARIÑO,SAN LORENZO,ANYELA VIVIANA OJEDA FERNANDEZ,PARTIDO LIBERAL COLOMBIANO,49807
Concejo,NARIÑO,SAN LORENZO,ARASELY  RODAS BENITES,PARTIDO ALIANZA VERDE,49855
Concejo,NARIÑO,SAN LORENZO,ATILIO KENNEDY BRAVO CASTILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49865
Concejo,NARIÑO,SAN LORENZO,AURELIO  MUÑOZ ERAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49858
Concejo,NARIÑO,SAN LORENZO,DENNIS DILFREDO RODRIGUEZ GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49864
Concejo,NARIÑO,SAN LORENZO,DERBY NICOMEDES GOMEZ URBANO,PARTIDO LIBERAL COLOMBIANO,49806
Concejo,NARIÑO,SAN LORENZO,DIANA MARCELA RODRIGUEZ MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,49834
Concejo,NARIÑO,SAN LORENZO,DOMICIANA  DELGADO ORDOÑEZ,PARTIDO CONSERVADOR COLOMBIANO,49832
Concejo,NARIÑO,SAN LORENZO,EDILSON  CASTILLO SANCHEZ,PARTIDO ALIANZA VERDE,49852
Concejo,NARIÑO,SAN LORENZO,EDIN FRANCISCO MENESES HUACA,PARTIDO CONSERVADOR COLOMBIANO,49828
Concejo,NARIÑO,SAN LORENZO,EDWIN MAURICIO ORTIZ QUINTANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49817
Concejo,NARIÑO,SAN LORENZO,EDYL JAYR CASTILLO DELGADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49815
Concejo,NARIÑO,SAN LORENZO,EIDER SIXTO CARLOSAMA DELGADO,PARTIDO LIBERAL COLOMBIANO,49812
Concejo,NARIÑO,SAN LORENZO,ERI SOLEYMA GAVIRIA MUÑOZ,PARTIDO ALIANZA VERDE,49853
Concejo,NARIÑO,SAN LORENZO,ERLY YOJANA SANCHEZ MUÑOZ,PARTIDO CAMBIO RADICAL,49842
Concejo,NARIÑO,SAN LORENZO,EXENOVER ARMANDO OBANDO MENESES,PARTIDO ALIANZA VERDE,49850
Concejo,NARIÑO,SAN LORENZO,FABIO NIXON MONTOYA ESTRELLA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49820
Concejo,NARIÑO,SAN LORENZO,FERNANDO  GUERRERO MENESES,PARTIDO CONSERVADOR COLOMBIANO,49829
Concejo,NARIÑO,SAN LORENZO,FERNANDO MARINO LASSO DELGADO,PARTIDO CAMBIO RADICAL,49843
Concejo,NARIÑO,SAN LORENZO,GILMER DANILO MUÑOZ MORALES,PARTIDO CAMBIO RADICAL,49839
Concejo,NARIÑO,SAN LORENZO,HERMES FERNELI MONTERO ROSERO,PARTIDO CONSERVADOR COLOMBIANO,49830
Concejo,NARIÑO,SAN LORENZO,HERMES RODRIGO NARVAEZ MORENO,PARTIDO CONSERVADOR COLOMBIANO,49827
Concejo,NARIÑO,SAN LORENZO,HUBERT GIRALDO ERASO ALVAREZ,PARTIDO ALIANZA VERDE,49854
Concejo,NARIÑO,SAN LORENZO,HUGO ANDRES MUÑOZ CASTILLO,PARTIDO LIBERAL COLOMBIANO,49809
Concejo,NARIÑO,SAN LORENZO,JOSE LAUREANO GOMEZ VALDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49822
Concejo,NARIÑO,SAN LORENZO,JUAN  ORDOÑEZ ,PARTIDO CAMBIO RADICAL,49837
Concejo,NARIÑO,SAN LORENZO,JUAN MANUEL OBANDO LEDESMA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49859
Concejo,NARIÑO,SAN LORENZO,JUAN SEBASTIAN MUÑOZ ,PARTIDO COLOMBIA RENACIENTE,49826
Concejo,NARIÑO,SAN LORENZO,LEDIS YULIANA MENESES DELGADO,PARTIDO CAMBIO RADICAL,49840
Concejo,NARIÑO,SAN LORENZO,LEONEL ANTONIO BENAVIDES TENORIO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49818
Concejo,NARIÑO,SAN LORENZO,LILIANA  MARTINEZ MUÑOZ,PARTIDO ALIANZA VERDE,49857
Concejo,NARIÑO,SAN LORENZO,LUCIO  GUERRERO BOLAÑOS,PARTIDO CONSERVADOR COLOMBIANO,49831
Concejo,NARIÑO,SAN LORENZO,MARCO ANTONIO PAJAJOY CASTILLO,PARTIDO LIBERAL COLOMBIANO,49808
Concejo,NARIÑO,SAN LORENZO,MAURICIO  ORTIZ LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,49833
Concejo,NARIÑO,SAN LORENZO,MONICA JANNETH CORDOBA OJEDA,PARTIDO ALIANZA VERDE,49849
Concejo,NARIÑO,SAN LORENZO,NELSY JHOANA TORRES MUÑOZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49860
Concejo,NARIÑO,SAN LORENZO,NIVENTON DABEY FLOREZ GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49821
Concejo,NARIÑO,SAN LORENZO,OBEIMAR  ROSERO JURADO,PARTIDO CAMBIO RADICAL,49845
Concejo,NARIÑO,SAN LORENZO,ONIS FABIOLA OSPINA LUNA,PARTIDO LIBERAL COLOMBIANO,49813
Concejo,NARIÑO,SAN LORENZO,OSCAR FABIAN CARDENAS CORDOBA,PARTIDO LIBERAL COLOMBIANO,49810
Concejo,NARIÑO,SAN LORENZO,PAOLA FERNANDA RODRIGUEZ MARTINEZ,PARTIDO CAMBIO RADICAL,49846
Concejo,NARIÑO,SAN LORENZO,RICHAR ARBEY MENESES RODRIGUEZ,PARTIDO CAMBIO RADICAL,49838
Concejo,NARIÑO,SAN LORENZO,SEGUNDO RAFAEL VIVAS CARLOSAMA,PARTIDO LIBERAL COLOMBIANO,49811
Concejo,NARIÑO,SAN LORENZO,SIGIFREDO  CARLOSAMA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49861
Concejo,NARIÑO,SAN LORENZO,SILVIA DANIELA GOMEZ URBANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49823
Concejo,NARIÑO,SAN LORENZO,SULY ALEXANDRA PASAJE JOAQUI,PARTIDO LIBERAL COLOMBIANO,49814
Concejo,NARIÑO,SAN LORENZO,TANIA LISETH IDROBO ERAZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49819
Concejo,NARIÑO,SAN LORENZO,UBERNEY  GILON GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49862
Concejo,NARIÑO,SAN LORENZO,VICTOR HERNANDO FAJARDO MOLINA,PARTIDO CONSERVADOR COLOMBIANO,49836
Concejo,NARIÑO,SAN LORENZO,WILLAN ALFREDO RODRIGUEZ BECERRA,PARTIDO CAMBIO RADICAL,49841
Concejo,NARIÑO,SAN LORENZO,WILLIAM ARMANDO CASTILLO BOLAÑOS,PARTIDO ALIANZA VERDE,49851
Concejo,NARIÑO,SAN LORENZO,WILTON RICARDO MARTINEZ LASSO,PARTIDO ALIANZA VERDE,49847
Concejo,NARIÑO,SAN LORENZO,YEFERSON ALEXIS SANCHEZ MORENO,PARTIDO COLOMBIA RENACIENTE,49825
Concejo,NARIÑO,SAN LORENZO,YEIMY DANIELA MOLINA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,49866
Concejo,NARIÑO,SAN LORENZO,YENCI PAOLA RIVERA ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,49816
Concejo,NARIÑO,SAN LORENZO,YENY AMABELLY BRAVO CASTILLO,PARTIDO COLOMBIA RENACIENTE,49824
Concejo,NARIÑO,SAN LORENZO,YORVENY  MARTINEZ NOGUERA,PARTIDO CAMBIO RADICAL,49844
Concejo,NARIÑO,SAN LORENZO,YULI MARLEY VIVEROS DELGADO,PARTIDO CONSERVADOR COLOMBIANO,49835
