corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,CUCUTILLA,ALFONSO  ROZO ESPINEL,PARTIDO CENTRO DEMOCRATICO,55169
Concejo,NORTE DE SANTANDER,CUCUTILLA,ANA ROSA ESPINEL JAIMES,PARTIDO CONSERVADOR COLOMBIANO,55185
Concejo,NORTE DE SANTANDER,CUCUTILLA,ARGELINO  GELVES SIERRA,PARTIDO ALIANZA VERDE,55193
Concejo,NORTE DE SANTANDER,CUCUTILLA,CARLOS HUMBERTO RUBIO CONTRERAS,PARTIDO CENTRO DEMOCRATICO,55174
Concejo,NORTE DE SANTANDER,CUCUTILLA,CARMEN XIMENA ATUESTA GELVES,PARTIDO ALIANZA VERDE,55197
Concejo,NORTE DE SANTANDER,CUCUTILLA,DANIEL  GARCIA MONCADA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,55201
Concejo,NORTE DE SANTANDER,CUCUTILLA,DENYS ISMELDA PAEZ SILVA,PARTIDO CAMBIO RADICAL,55189
Concejo,NORTE DE SANTANDER,CUCUTILLA,EDGAR ENRIQUE RUIZ ,PARTIDO CENTRO DEMOCRATICO,55173
Concejo,NORTE DE SANTANDER,CUCUTILLA,EDGAR HERNAN SUAREZ GELVEZ,PARTIDO CONSERVADOR COLOMBIANO,55183
Concejo,NORTE DE SANTANDER,CUCUTILLA,EMILIANO  GOMEZ BUITRAGO,PARTIDO CENTRO DEMOCRATICO,55171
Concejo,NORTE DE SANTANDER,CUCUTILLA,FABIO  ARENAS ARENAS,PARTIDO CENTRO DEMOCRATICO,55170
Concejo,NORTE DE SANTANDER,CUCUTILLA,FERNEY VIDAL URBINA SANDOVAL,PARTIDO CONSERVADOR COLOMBIANO,55178
Concejo,NORTE DE SANTANDER,CUCUTILLA,GLADYS  ROZO ,PARTIDO ALIANZA VERDE,55194
Concejo,NORTE DE SANTANDER,CUCUTILLA,GLORIA  PEREZ ORTEGA,PARTIDO CAMBIO RADICAL,55190
Concejo,NORTE DE SANTANDER,CUCUTILLA,GUSTAVO  URBINA CAICEDO,PARTIDO CAMBIO RADICAL,55191
Concejo,NORTE DE SANTANDER,CUCUTILLA,JOHANY  HERNANDEZ PARADA,PARTIDO CONSERVADOR COLOMBIANO,55186
Concejo,NORTE DE SANTANDER,CUCUTILLA,JOHN RICARDO ARIAS ARIAS,PARTIDO CAMBIO RADICAL,55192
Concejo,NORTE DE SANTANDER,CUCUTILLA,JOSE ALVARO GELVEZ ALBARRACIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,55207
