corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,LOS PATIOS,ADRIANA  HERRERA CRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56286
Concejo,NORTE DE SANTANDER,LOS PATIOS,ALBA PATRICIA BARROS QUIÑONES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56359
Concejo,NORTE DE SANTANDER,LOS PATIOS,ALEXANDRA LISSET MENDOZA ROZO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56340
Concejo,NORTE DE SANTANDER,LOS PATIOS,ALEXIS  LANDINEZ SUAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56352
Concejo,NORTE DE SANTANDER,LOS PATIOS,ALFONSO  HERNANDEZ ACOSTA,PARTIDO CONSERVADOR COLOMBIANO,56296
Concejo,NORTE DE SANTANDER,LOS PATIOS,ANDREA YELISA ROJAS PINEDA,PARTIDO CENTRO DEMOCRATICO,56264
Concejo,NORTE DE SANTANDER,LOS PATIOS,ANGELICA EUGENIA RIVILLAS BRIÑEZ,PARTIDO CONSERVADOR COLOMBIANO,56308
Concejo,NORTE DE SANTANDER,LOS PATIOS,ANGELICA MARIA FLOREZ FLOREZ,PARTIDO LIBERAL COLOMBIANO,56255
Concejo,NORTE DE SANTANDER,LOS PATIOS,ANGIE YULIANA MARTINEZ VERA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56341
Concejo,NORTE DE SANTANDER,LOS PATIOS,ANSELMO  LOPEZ JAIMES,PARTIDO CAMBIO RADICAL,56320
Concejo,NORTE DE SANTANDER,LOS PATIOS,ASTRID HELENA RONDON CARVAJAL,PARTIDO CAMBIO RADICAL,56317
Concejo,NORTE DE SANTANDER,LOS PATIOS,AURA ZOLIMA ATENCIO CHACON,PARTIDO ALIANZA VERDE,56329
Concejo,NORTE DE SANTANDER,LOS PATIOS,BRIYIT FERNANDA LIZCANO RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56363
Concejo,NORTE DE SANTANDER,LOS PATIOS,CARLOS ALBERTO MALPICA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,56249
Concejo,NORTE DE SANTANDER,LOS PATIOS,CARMEN CECILIA MONSALVE RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56282
Concejo,NORTE DE SANTANDER,LOS PATIOS,CAROL DAYANA DOMINGUEZ MILLAN,PARTIDO ALIANZA VERDE,117895
Concejo,NORTE DE SANTANDER,LOS PATIOS,CECILIA MILENA MORENO RIVERA,PARTIDO CENTRO DEMOCRATICO,56271
Concejo,NORTE DE SANTANDER,LOS PATIOS,CESAR  RICO VILLAMIZAR,PARTIDO COLOMBIA JUSTA LIBRES,56292
Concejo,NORTE DE SANTANDER,LOS PATIOS,CINDY LIDSAY URIBE ROLON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56343
Concejo,NORTE DE SANTANDER,LOS PATIOS,CINDY YURLID RAMIREZ ARIZA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56357
Concejo,NORTE DE SANTANDER,LOS PATIOS,CIRO ANTONIO RANGEL QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56382
Concejo,NORTE DE SANTANDER,LOS PATIOS,CLAUDIA EUFEMIA PARRA MEAURY,PARTIDO CAMBIO RADICAL,56316
Concejo,NORTE DE SANTANDER,LOS PATIOS,CLAUDIA PATRICIA SILVA SUAREZ,PARTIDO CENTRO DEMOCRATICO,56263
Concejo,NORTE DE SANTANDER,LOS PATIOS,DENNYS PAOLA GODOY RAMOS,PARTIDO CONSERVADOR COLOMBIANO,56297
Concejo,NORTE DE SANTANDER,LOS PATIOS,DERLY LILIANA SOLER PARRA,PARTIDO CENTRO DEMOCRATICO,56266
Concejo,NORTE DE SANTANDER,LOS PATIOS,DIANA CAROLINA RIVERA HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,56261
Concejo,NORTE DE SANTANDER,LOS PATIOS,DIANA PATRICIA VALERO APONTE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56362
Concejo,NORTE DE SANTANDER,LOS PATIOS,DIEGO RAUL LIZCANO RODAS,PARTIDO CAMBIO RADICAL,56311
Concejo,NORTE DE SANTANDER,LOS PATIOS,EDER FABIAN ARIAS SABBAGH,PARTIDO CENTRO DEMOCRATICO,56267
Concejo,NORTE DE SANTANDER,LOS PATIOS,EDGAR ALFONSO MEDINA GUEVARA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56339
Concejo,NORTE DE SANTANDER,LOS PATIOS,EDGAR JAVIER CONTRERAS CACERES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56279
Concejo,NORTE DE SANTANDER,LOS PATIOS,EDWIN FERNANDO CRUZ VILLAMIZAR,PARTIDO CENTRO DEMOCRATICO,56273
Concejo,NORTE DE SANTANDER,LOS PATIOS,EFREN JOSE FRANCIA BARAJAS,PARTIDO ALIANZA VERDE,56328
Concejo,NORTE DE SANTANDER,LOS PATIOS,ELCKIN IVAN GALVIS GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56346
Concejo,NORTE DE SANTANDER,LOS PATIOS,ELSA MARIA ORTEGA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56372
Concejo,NORTE DE SANTANDER,LOS PATIOS,ELVA  MENDEZ GOMEZ,PARTIDO CAMBIO RADICAL,56322
Concejo,NORTE DE SANTANDER,LOS PATIOS,ELVIRA  ARIAS CARRILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56373
Concejo,NORTE DE SANTANDER,LOS PATIOS,ERIKA PAOLA MORA VEGA,PARTIDO CONSERVADOR COLOMBIANO,56300
Concejo,NORTE DE SANTANDER,LOS PATIOS,FAUNIER  BLANCO CASTRILLON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56354
Concejo,NORTE DE SANTANDER,LOS PATIOS,FLOR CECILIA ARENAS CASAS,PARTIDO CENTRO DEMOCRATICO,56275
Concejo,NORTE DE SANTANDER,LOS PATIOS,FREYMER ALBERTO VELASCO ACEVEDO,PARTIDO CAMBIO RADICAL,56324
Concejo,NORTE DE SANTANDER,LOS PATIOS,GABRIEL JEOVANY LOZANO BARRAGAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56365
Concejo,NORTE DE SANTANDER,LOS PATIOS,GERMAN  BLANCO PEREZ,PARTIDO COLOMBIA JUSTA LIBRES,56293
Concejo,NORTE DE SANTANDER,LOS PATIOS,GERMAN  PEÑA QUIÑONES,PARTIDO LIBERAL COLOMBIANO,56247
Concejo,NORTE DE SANTANDER,LOS PATIOS,GERMAN ALVERY BONILLA RINCON,PARTIDO CONSERVADOR COLOMBIANO,56307
Concejo,NORTE DE SANTANDER,LOS PATIOS,GERMAN DARIO CONTRERAS ARIAS,PARTIDO ALIANZA VERDE,56326
Concejo,NORTE DE SANTANDER,LOS PATIOS,GERSON EDUARDO FONSECA RANGEL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56376
Concejo,NORTE DE SANTANDER,LOS PATIOS,GILBERTO  PEÑALOZA PRATO,PARTIDO LIBERAL COLOMBIANO,56248
Concejo,NORTE DE SANTANDER,LOS PATIOS,GRACIELA  EUSE ASCANIO,PARTIDO ALIANZA VERDE,56331
Concejo,NORTE DE SANTANDER,LOS PATIOS,GUSTAVO  MOROS QUINTERO,PARTIDO CENTRO DEMOCRATICO,56270
Concejo,NORTE DE SANTANDER,LOS PATIOS,GUSTAVO ADOLFO GELVEZ MOJICA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56289
Concejo,NORTE DE SANTANDER,LOS PATIOS,HAIDY YANINNY PUERTO PARRA,PARTIDO ALIANZA VERDE,56330
Concejo,NORTE DE SANTANDER,LOS PATIOS,HEBER FERNANDO HINCAPIE BOTERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56290
Concejo,NORTE DE SANTANDER,LOS PATIOS,HELENA  PANQUEVA GOMEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56278
Concejo,NORTE DE SANTANDER,LOS PATIOS,HERNAN  BOADA GOYENECHE,PARTIDO CENTRO DEMOCRATICO,56274
Concejo,NORTE DE SANTANDER,LOS PATIOS,HUGO  NIÑO PRADA,PARTIDO CONSERVADOR COLOMBIANO,56303
Concejo,NORTE DE SANTANDER,LOS PATIOS,INGRID YANETH REALES OJEDA,PARTIDO CONSERVADOR COLOMBIANO,56306
Concejo,NORTE DE SANTANDER,LOS PATIOS,IVAN  MEJIA HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56370
Concejo,NORTE DE SANTANDER,LOS PATIOS,IVAN LEONARDO JAIMES MEDINA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56381
Concejo,NORTE DE SANTANDER,LOS PATIOS,JAIR ANTONIO LAMUS ORTIZ,PARTIDO LIBERAL COLOMBIANO,56256
Concejo,NORTE DE SANTANDER,LOS PATIOS,JAIRO JESUS TRIANA ROMERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56355
Concejo,NORTE DE SANTANDER,LOS PATIOS,JENNY LILIANA CONTRERAS RIVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56280
Concejo,NORTE DE SANTANDER,LOS PATIOS,JESSICA YULIETH GAMBOA ARIAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,56345
Concejo,NORTE DE SANTANDER,LOS PATIOS,JESUS MARIA ALVARADO CONTRERAS,PARTIDO CENTRO DEMOCRATICO,56276
Concejo,NORTE DE SANTANDER,LOS PATIOS,JHON HUMBERTO CELIS GALVIS,PARTIDO CAMBIO RADICAL,56313
Concejo,NORTE DE SANTANDER,LOS PATIOS,JOHANA FRANCISCA CHAUSTRE RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56378
Concejo,NORTE DE SANTANDER,LOS PATIOS,JONATHAN DANIEL SANCHEZ RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56284
Concejo,NORTE DE SANTANDER,LOS PATIOS,JORGE ALBERTO BARCO DURAN,PARTIDO CAMBIO RADICAL,56323
Concejo,NORTE DE SANTANDER,LOS PATIOS,JORGE ELIECER LEON ROJAS,PARTIDO ALIANZA VERDE,56325
Concejo,NORTE DE SANTANDER,LOS PATIOS,JORGE IVAN ARIAS ATENCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56371
