corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,PAMPLONA,ALDEMAR  GUALDRON MARTINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56791
Concejo,NORTE DE SANTANDER,PAMPLONA,ALEXANDER  GELVEZ PARADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56784
Concejo,NORTE DE SANTANDER,PAMPLONA,ALONSO  BAUTISTA VERA,PARTIDO CENTRO DEMOCRATICO,56664
Concejo,NORTE DE SANTANDER,PAMPLONA,AMELIA MARIA LIZCANO RINCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56774
Concejo,NORTE DE SANTANDER,PAMPLONA,ANA MARIA GARCIA ROZO,PARTIDO COLOMBIA RENACIENTE,56685
Concejo,NORTE DE SANTANDER,PAMPLONA,ANA NATALIA CASTELLANOS MONTAÑEZ,PARTIDO ALIANZA VERDE,56759
Concejo,NORTE DE SANTANDER,PAMPLONA,ANDERSON FABIAN RUBIO VILLAMIZAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56673
Concejo,NORTE DE SANTANDER,PAMPLONA,ANDREY RAMIRO CACUA ZUÑIGA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,56800
Concejo,NORTE DE SANTANDER,PAMPLONA,ANGEE CAROLINA DELGADO CARREÑO,PARTIDO CONSERVADOR COLOMBIANO,56729
Concejo,NORTE DE SANTANDER,PAMPLONA,ANTONIO  SUAREZ CARRILLO,PARTIDO CONSERVADOR COLOMBIANO,56731
Concejo,NORTE DE SANTANDER,PAMPLONA,ANYHULY THAYERLY RODRIGUEZ VESGA,PARTIDO CENTRO DEMOCRATICO,56660
Concejo,NORTE DE SANTANDER,PAMPLONA,ANYI KATERINE VILLAMIZAR MANTILLA,PARTIDO CENTRO DEMOCRATICO,56668
Concejo,NORTE DE SANTANDER,PAMPLONA,ARLEY JAVIER CARRILLO CARRILLO,PARTIDO ADA,56699
Concejo,NORTE DE SANTANDER,PAMPLONA,BLANCA BEATRIZ SANDOVAL VILLAMIZAR,PARTIDO CAMBIO RADICAL,56742
Concejo,NORTE DE SANTANDER,PAMPLONA,BLANCA NUBIA BAUTISTA OCHOA,PARTIDO CONSERVADOR COLOMBIANO,56726
Concejo,NORTE DE SANTANDER,PAMPLONA,BORMAN STEEWARD CABRALES SALAZAR,PARTIDO ADA,117899
Concejo,NORTE DE SANTANDER,PAMPLONA,BRIAN THOMAS RENTERIA SALAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56782
Concejo,NORTE DE SANTANDER,PAMPLONA,CAMPO ELIAS CAÑAS FLOREZ,PARTIDO ALIANZA VERDE,56761
Concejo,NORTE DE SANTANDER,PAMPLONA,CARLOS ARTURO CARVAJAL GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56786
Concejo,NORTE DE SANTANDER,PAMPLONA,CARLOS EDUARDO EUGENIO LOPEZ,PARTIDO COLOMBIA RENACIENTE,56694
Concejo,NORTE DE SANTANDER,PAMPLONA,CARLOS EDUARDO SANCHEZ MENDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56776
Concejo,NORTE DE SANTANDER,PAMPLONA,CARLOS WILFREDO CARVAJAL ,PARTIDO ADA,56702
Concejo,NORTE DE SANTANDER,PAMPLONA,CARMEN DELIA ORTIZ VILLAMIZAR,PARTIDO COLOMBIA RENACIENTE,56682
Concejo,NORTE DE SANTANDER,PAMPLONA,CESAR ALVEIRO MENESES ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56680
Concejo,NORTE DE SANTANDER,PAMPLONA,CHRISTIAN ANDRES SERRANO ORTIZ,PARTIDO CAMBIO RADICAL,56749
Concejo,NORTE DE SANTANDER,PAMPLONA,CLIMACO  ARDILA GARCIA,PARTIDO LIBERAL COLOMBIANO,56648
Concejo,NORTE DE SANTANDER,PAMPLONA,CRISTIAN JAVIER HERNANDEZ BAUTISTA,PARTIDO COLOMBIA RENACIENTE,56691
Concejo,NORTE DE SANTANDER,PAMPLONA,DARIO ANTONIO PARRA ,PARTIDO CAMBIO RADICAL,56740
Concejo,NORTE DE SANTANDER,PAMPLONA,DARLY YUDITH CONTRERAS ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56720
Concejo,NORTE DE SANTANDER,PAMPLONA,DIANA CAROLINA ROZO CALDERON,PARTIDO LIBERAL COLOMBIANO,56645
Concejo,NORTE DE SANTANDER,PAMPLONA,DIANA MILEY MONCADA CONTRERAS,PARTIDO CENTRO DEMOCRATICO,56658
Concejo,NORTE DE SANTANDER,PAMPLONA,DIANA PATRICIA ESCOBAR HERRERA,PARTIDO LIBERAL COLOMBIANO,56642
Concejo,NORTE DE SANTANDER,PAMPLONA,DIEGO  CASTILLO CARDONA,PARTIDO CENTRO DEMOCRATICO,56662
Concejo,NORTE DE SANTANDER,PAMPLONA,DOLLY PAOLA RINCON GAMBOA,PARTIDO CAMBIO RADICAL,56747
Concejo,NORTE DE SANTANDER,PAMPLONA,DORIS AMPARO CARRILLO QUINTANA,PARTIDO ALIANZA VERDE,56765
Concejo,NORTE DE SANTANDER,PAMPLONA,EDGAR FABIANY GUTIERREZ SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56778
Concejo,NORTE DE SANTANDER,PAMPLONA,EDGAR JAVIER TORRES PEREZ,PARTIDO CENTRO DEMOCRATICO,56663
Concejo,NORTE DE SANTANDER,PAMPLONA,EDINSON JESUS JAIMES HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56795
Concejo,NORTE DE SANTANDER,PAMPLONA,EDINSON MAURICIO DIAZ CABALLERO,PARTIDO ALIANZA VERDE,56762
Concejo,NORTE DE SANTANDER,PAMPLONA,EDUARD GONZALO ROZO RICO,PARTIDO COLOMBIA RENACIENTE,56695
Concejo,NORTE DE SANTANDER,PAMPLONA,EDUIN ANDELFO MENDOZA SANTAFE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56785
Concejo,NORTE DE SANTANDER,PAMPLONA,EDWAR ALEXIS BECERRA VILLAMIZAR,PARTIDO CAMBIO RADICAL,56743
Concejo,NORTE DE SANTANDER,PAMPLONA,EDWARD ALBERTO JAIMES ESPINEL,PARTIDO ADA,117901
Concejo,NORTE DE SANTANDER,PAMPLONA,ELIZABETH NATALIA AYALA JAIMES,PARTIDO LIBERAL COLOMBIANO,56651
Concejo,NORTE DE SANTANDER,PAMPLONA,EMERSON MITCHEL PARADA JAUREGUI,LIDERES PAMPLONA,56807
Concejo,NORTE DE SANTANDER,PAMPLONA,ERICK MAX MOSCOTE MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56770
Concejo,NORTE DE SANTANDER,PAMPLONA,ERIKA  DURAN NUÑEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56715
Concejo,NORTE DE SANTANDER,PAMPLONA,ERIKA LILIANA DURAN MANTILLA,PARTIDO ADA,56698
Concejo,NORTE DE SANTANDER,PAMPLONA,ESNEIDER JOSE MENDOZA FAJARDO,PARTIDO CAMBIO RADICAL,56753
Concejo,NORTE DE SANTANDER,PAMPLONA,FABIAN SANTIAGO ORTEGA LOPEZ,PARTIDO ADA,56701
Concejo,NORTE DE SANTANDER,PAMPLONA,FERNANDO EZEQUIEL OCHOA ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56714
Concejo,NORTE DE SANTANDER,PAMPLONA,FIDEL ANTONIO CARVAJAL SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56780
Concejo,NORTE DE SANTANDER,PAMPLONA,FRANKLIN RUBIEL CAPACHO MORENO,PARTIDO ALIANZA VERDE,56754
Concejo,NORTE DE SANTANDER,PAMPLONA,FREDI  CASTRO FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,56728
Concejo,NORTE DE SANTANDER,PAMPLONA,GERSON FERNEY MENESES SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56675
Concejo,NORTE DE SANTANDER,PAMPLONA,GERSON RICARDO FERNANDEZ JAIMES,PARTIDO CONSERVADOR COLOMBIANO,56734
Concejo,NORTE DE SANTANDER,PAMPLONA,GIOVANNY  HIGUERA FLOREZ,PARTIDO ALIANZA VERDE,56767
Concejo,NORTE DE SANTANDER,PAMPLONA,GLORIA ESPERANZA TORRES CAÑAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56771
Concejo,NORTE DE SANTANDER,PAMPLONA,GLORIA GISELLE JOHANA SANCHEZ CRUZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56674
Concejo,NORTE DE SANTANDER,PAMPLONA,HECTOR ENRIQUE ORTEGA CONTRERAS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56711
Concejo,NORTE DE SANTANDER,PAMPLONA,HELBER HEMILSON VILLAMIZAR VANEGAS,PARTIDO LIBERAL COLOMBIANO,56654
Concejo,NORTE DE SANTANDER,PAMPLONA,HUMBERTO  ACEVEDO CARRILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56677
Concejo,NORTE DE SANTANDER,PAMPLONA,INGRE MABEL PULIDO ANTELIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56798
Concejo,NORTE DE SANTANDER,PAMPLONA,INGRID DAYANA BAUTISTA SARMIENTO,PARTIDO ADA,56703
Concejo,NORTE DE SANTANDER,PAMPLONA,IVAN DARIO PEÑA GAFARO,PARTIDO ALIANZA VERDE,56763
Concejo,NORTE DE SANTANDER,PAMPLONA,JACINTO  SANTAFE CORREA,PARTIDO ALIANZA VERDE,56766
Concejo,NORTE DE SANTANDER,PAMPLONA,JAIME EDINSON VILLAMIZAR RICO,PARTIDO CENTRO DEMOCRATICO,56670
Concejo,NORTE DE SANTANDER,PAMPLONA,JAIRO ALBERTO SUAREZ COMESAÑA,PARTIDO CONSERVADOR COLOMBIANO,56730
Concejo,NORTE DE SANTANDER,PAMPLONA,JAISON LEONARDY AREVALO PRADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56672
Concejo,NORTE DE SANTANDER,PAMPLONA,JAVIER ALONSO HERNANDEZ VILLAMIZAR,PARTIDO CONSERVADOR COLOMBIANO,56725
Concejo,NORTE DE SANTANDER,PAMPLONA,JAVIER ORLANDO RICO FERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,56735
Concejo,NORTE DE SANTANDER,PAMPLONA,JAVIER RICARDO RUIZ DOMINGUEZ,PARTIDO LIBERAL COLOMBIANO,56646
Concejo,NORTE DE SANTANDER,PAMPLONA,JERSUN ALONSO GARCIA MALDONADO,PARTIDO LIBERAL COLOMBIANO,56655
Concejo,NORTE DE SANTANDER,PAMPLONA,JESUS ARISTIDES VILLAMIZAR MEJIA,PARTIDO CAMBIO RADICAL,56739
Concejo,NORTE DE SANTANDER,PAMPLONA,JOHN JAIRO ANAYA TOLOZA,PARTIDO CAMBIO RADICAL,56745
Concejo,NORTE DE SANTANDER,PAMPLONA,JORGE ANDRES MENDOZA RODRIGUEZ,PARTIDO CAMBIO RADICAL,56744
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE ALEXANDER TORRES CAÑAS,PARTIDO CENTRO DEMOCRATICO,56657
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE ANTONIO CABEZA MOGOLLON,PARTIDO LIBERAL COLOMBIANO,56647
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE ANTONIO VERA ,PARTIDO LIBERAL COLOMBIANO,56649
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE DISNARDO ACEVEDO PEÑA,PARTIDO LIBERAL COLOMBIANO,56644
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE FERNANDO SARMIENTO LOPEZ,PARTIDO POLITICO MIRA Y G.S.C. COLOMBIA JUSTA LIBRES,56810
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE GREGORIO CABALLERO CABALLERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56790
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE GUILLERMO RIVERA ,PARTIDO ADA,56706
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSE ORLANDO MENDOZA CONTRERAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56681
Concejo,NORTE DE SANTANDER,PAMPLONA,JOSUE DANILO PORTILLA VILLAMIZAR,PARTIDO CONSERVADOR COLOMBIANO,56738
Concejo,NORTE DE SANTANDER,PAMPLONA,JOVANNY ALEXIS RODRIGUEZ DELGADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,56794
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN CARLOS CACERES ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,56783
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN CARLOS CARVAJAL ESCALANTE,PARTIDO CENTRO DEMOCRATICO,56667
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN CARLOS PEREZ CAICEDO,PARTIDO CENTRO DEMOCRATICO,56661
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN MANUEL CELIS TUNAROSA,LIDERES PAMPLONA,56804
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN MANUEL CONTRERAS CONTRERAS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56716
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN MANUEL LOPEZ GUEDEZ,PARTIDO LIBERAL COLOMBIANO,56653
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN PABLO ZAPATA GARZON,PARTIDO ALIANZA VERDE,56760
Concejo,NORTE DE SANTANDER,PAMPLONA,JUAN SEBASTIAN SUAREZ JAUREGUI,LIDERES PAMPLONA,56805
Concejo,NORTE DE SANTANDER,PAMPLONA,JULIA ESPERANZA GRANADOS RIVERA,LIDERES PAMPLONA,56806
Concejo,NORTE DE SANTANDER,PAMPLONA,JULIETH LORENA RAMIREZ ROJAS,PARTIDO CENTRO DEMOCRATICO,56659
Concejo,NORTE DE SANTANDER,PAMPLONA,JULIO CESAR VILLAMIZAR MEDINA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,56712
Concejo,NORTE DE SANTANDER,PAMPLONA,LAUDITH JARIANA CARRASCAL TORRES,PARTIDO ADA,56696
Concejo,NORTE DE SANTANDER,PAMPLONA,LAURA NATHALI SIERRA GUERRERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,56678
Concejo,NORTE DE SANTANDER,PAMPLONA,LISETH DANIELA CASALLAS FLOREZ,LIDERES PAMPLONA,56809
Concejo,NORTE DE SANTANDER,PAMPLONA,LIZETH ANGELICA MANTILLA CASTELLANOS,PARTIDO LIBERAL COLOMBIANO,56650
Concejo,NORTE DE SANTANDER,PAMPLONA,LUDY ESPERANZA CONTRERAS PABON,PARTIDO CAMBIO RADICAL,56750
Concejo,NORTE DE SANTANDER,PAMPLONA,LUIS ALFREDO ORTIZ CAICEDO,PARTIDO LIBERAL COLOMBIANO,56643
Concejo,NORTE DE SANTANDER,PAMPLONA,LUIS DAVID PEREZ ROJAS,LIDERES PAMPLONA,56808
Concejo,NORTE DE SANTANDER,PAMPLONA,LUIS ERNESTO RINCON VILLAMIZAR,PARTIDO ADA,117900
