corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,SAN CALIXTO,ALEIRO  MENDEZ RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57150
Concejo,NORTE DE SANTANDER,SAN CALIXTO,ALFREDO  RODRIGUEZ SERRANO,PARTIDO ALIANZA VERDE,57126
Concejo,NORTE DE SANTANDER,SAN CALIXTO,ANDRES CAMILO CORONEL BAYONA,PARTIDO COLOMBIA RENACIENTE,57099
Concejo,NORTE DE SANTANDER,SAN CALIXTO,ANIBAL  CARVAJAL PABON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57147
Concejo,NORTE DE SANTANDER,SAN CALIXTO,ARELIS  QUINTERO MARTINEZ,PARTIDO ADA,57103
Concejo,NORTE DE SANTANDER,SAN CALIXTO,BELEN  VERGEL ARENGAS,PARTIDO ALIANZA VERDE,57132
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CARLOS ANTONIO LOPEZ SERRANO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57120
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CARLOS DANIEL CUADROS BAYONA,PARTIDO COLOMBIA RENACIENTE,57098
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CARLOS DANIEL PINZON RAMIREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57119
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CARMEN AIDE MACHADO RODRIGUEZ,PARTIDO ADA,57106
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CARMENZA  MONTAGUT ORTIZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,57084
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CAROLINA  CLARO ROBLES,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,57078
Concejo,NORTE DE SANTANDER,SAN CALIXTO,CIRO ANTONIO SARAZA SALAZAR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,57138
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DAGOBERTO  RINCON PEREZ,PARTIDO ALIANZA VERDE,57131
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DALIA DEL CARMEN QUINTERO MUÑOZ,PARTIDO COLOMBIA RENACIENTE,57093
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DEISY  CARDENAS AMAYA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,57158
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DEISY LILIANA ORTEGA CONTRERAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,57083
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DIOMEDES  CASTRELLON MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57156
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DIOMEDES  PEREZ SANTIAGO,PARTIDO ADA,57109
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DIONANGEL  RUEDAS RUEDAS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57113
Concejo,NORTE DE SANTANDER,SAN CALIXTO,DIONEL JESUS ORTEGA LOPEZ,PARTIDO COLOMBIA RENACIENTE,57097
Concejo,NORTE DE SANTANDER,SAN CALIXTO,EDINSON FERNANDO GUERRERO VARGAS,PARTIDO ADA,57111
