corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,TEORAMA,AIDE MARIA TORRADO PARADA,PARTIDO ADA,57431
Concejo,NORTE DE SANTANDER,TEORAMA,ANDREA KATERINE CARRASCAL CALDERON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,57477
Concejo,NORTE DE SANTANDER,TEORAMA,ANDRES AUGUSTO ANGARITA PALLARES,PARTIDO ALIANZA VERDE,57446
Concejo,NORTE DE SANTANDER,TEORAMA,ANGELICA MARIA AREVALO BOHORQUEZ,PARTIDO ALIANZA VERDE,57448
Concejo,NORTE DE SANTANDER,TEORAMA,ANGELICA MARIA FRANCO TORO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57461
Concejo,NORTE DE SANTANDER,TEORAMA,ANGELMIRO  TORO OVALLOS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,57412
Concejo,NORTE DE SANTANDER,TEORAMA,CARLOS ALBEIRO ANTELIZ RAMIREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,57410
Concejo,NORTE DE SANTANDER,TEORAMA,CARMEN ANTONIO HERRERA ,PARTIDO ADA,57432
Concejo,NORTE DE SANTANDER,TEORAMA,CELIAR  GARCIA QUINTERO,PARTIDO ALIANZA VERDE,57443
Concejo,NORTE DE SANTANDER,TEORAMA,CESAR EDUARDO PALLARES RINCON,PARTIDO POLO DEMOCRATICO ALTERNATIVO,57470
Concejo,NORTE DE SANTANDER,TEORAMA,CRISTIAN DANILO QUINTERO PELAEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57467
Concejo,NORTE DE SANTANDER,TEORAMA,DEIVER  URIBE SANCHEZ,PARTIDO ADA,57429
Concejo,NORTE DE SANTANDER,TEORAMA,DEXI  CARVAJAL SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,57421
Concejo,NORTE DE SANTANDER,TEORAMA,DIOMEDES  AREVALO RIOBO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,57460
