corp,dpto,mpio,name,party,wp_no
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ABELARDO  DUEÑEZ BLANCO,PARTIDO ALIANZA VERDE,54903
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ADOLFO  ORTIZ ALVAREZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,54917
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ADRIANA LISBETH CARREÑO CONTRERAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54975
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALBA ELENA GUERRERO PACHECO,PARTIDO COLOMBIA RENACIENTE,54837
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALBEIRO  VARGAS VARGAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54820
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALFONSO MARIA MORA VILLAMIZAR,PARTIDO LIBERAL COLOMBIANO,54797
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALFREDO JAVIER DE LOS REYES BERRIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54947
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALVARO  BLANCO MANRIQUE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54812
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALVARO  SEPULVEDA SOTO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,54870
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ALVARO ALBERTO AVILA CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54946
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,AMPARO  MACHADO GARCIA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,54867
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANA ISABEL DIAZ ,PARTIDO COLOMBIA RENACIENTE,54838
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANA MERCEDES SALCEDO TEQUIA,PARTIDO POLITICO MIRA Y G.S.C. COLOMBIA JUSTA LIBRES,54998
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANA YASMIN ACUÑA AGUIRRE,PARTIDO ADA,54852
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANGELICA  ACEVEDO ACEVEDO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54965
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANGELICA ADRIANA SANDOVAL SANCHEZ,PARTIDO CENTRO DEMOCRATICO,54810
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ANGELICA MARIA GUEVARA MARTINEZ,PROGRESO PARA VILLA DEL ROSARIO,54981
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,BARBY KATHERINE GODOY JIMENEZ,PARTIDO CENTRO DEMOCRATICO,54805
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,BOSCO SERBELION GUERRERO SALAS,PARTIDO COLOMBIA RENACIENTE,54828
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,BRAYAN ANDREY MEDINA ALBARRACIN,PARTIDO CONSERVADOR COLOMBIANO,54882
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CAREN YULIANA CRUZ VEGA,PROGRESO PARA VILLA DEL ROSARIO,54985
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS ALBERTO RUA GAVIRIA,PARTIDO COLOMBIA RENACIENTE,54830
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS ANTONIO SIERRA ROJAS,PARTIDO ADA,54844
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS ARTURO JAIMES ROJAS,PARTIDO CENTRO DEMOCRATICO,54811
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS EDUARDO HERNANDEZ ORDUZ,PARTIDO COLOMBIA RENACIENTE,54834
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS EDUARDO HERRERA ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54969
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARLOS HONORIO MONSALVE VALBUENA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,54920
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARMEN CECILIA GALVIS SANCHEZ,PARTIDO POLITICO MIRA Y G.S.C. COLOMBIA JUSTA LIBRES,55004
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARMEN CECILIA VILLEGAS PACHECO,PARTIDO CONSERVADOR COLOMBIANO,54881
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CARMEN COROMOTO NAVARRO VARELA,PARTIDO ADA,54855
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CESAR FERNANDO CERQUERA CUELLAR,PARTIDO ADA,54847
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CHARLY ARVEY TORRES CHACON,PARTIDO CONSERVADOR COLOMBIANO,54879
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CHRISTIAN FRANCISCO MESA DUARTE,PROGRESO PARA VILLA DEL ROSARIO,54984
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CIRO ALFONSO PATIÑO MORA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54932
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CRISTINA  BAYONA PACHECO,PROGRESO PARA VILLA DEL ROSARIO,54990
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,CUSTODIA  CUEVAS PRIETO,PARTIDO COLOMBIA RENACIENTE,54839
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DANIEL  HERNANDEZ GARCIA,PARTIDO CAMBIO RADICAL,54891
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DARWIN DAMIAN MORA ,PARTIDO COLOMBIA RENACIENTE,54833
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DAVINSON JOSE NOVOA LOZANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54826
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DEYSY LORENA ALVAREZ LUNA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,54921
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIANA CAMILA MARCIALES HURTADO,PARTIDO ALIANZA VERDE,54907
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIANA PATRICIA MARTINEZ LEON,PARTIDO LIBERAL COLOMBIANO,54789
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIANA YURLEY CUEVAS HERNANDEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54971
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIEGO  CARDENAS SANCHEZ,PARTIDO ALIANZA VERDE,54909
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIEGO FERNANDO CARDONA ACEVEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54952
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DIMAS HERNEY CRUZ MESA,PARTIDO COLOMBIA RENACIENTE,54832
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DORALBA  BLANCO REY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54948
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,DORELLY  CARREÑO QUINTERO,PROGRESO PARA VILLA DEL ROSARIO,54978
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EDDY  PEÑALOZA PARRA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,54924
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EDDY MILENA HERNANDEZ MANCERA,PARTIDO CAMBIO RADICAL,54893
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EDDY TORCOROMA RINCON DURAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54940
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EDGAR ENRIQUE CARREÑO GUETTE,PARTIDO LIBERAL COLOMBIANO,54785
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EDWIN LEONARDO JAIMES ALVARADO,PARTIDO CONSERVADOR COLOMBIANO,54873
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EFRAIN  ROJAS MEDINA,PARTIDO ALIANZA VERDE,54913
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EFREN ALONSO ORDUZ QUIJANO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,54865
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ELIANA  MENESES MENDOZA,PARTIDO CENTRO DEMOCRATICO,54799
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ELIAS  CASTRO JAIMES,PROGRESO PARA VILLA DEL ROSARIO,54986
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ELOY  MOYANO MENDOZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,54922
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,EMERSON YESY CAMARGO TREJO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54966
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,ENNI DAYAN RODRIGUEZ SOLANO,PROGRESO PARA VILLA DEL ROSARIO,54987
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FABIAN DORRIB CELIS BERNAL,PARTIDO POLITICO MIRA Y G.S.C. COLOMBIA JUSTA LIBRES,54992
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FABIO ENRIQUE FERNANDEZ NUMA,PARTIDO CENTRO DEMOCRATICO,54806
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FAISULY  BOHORQUEZ RODRIGUEZ,PROGRESO PARA VILLA DEL ROSARIO,54983
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FELIX RAMON FERNANDEZ MORENO,PARTIDO CAMBIO RADICAL,54897
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FRANCIA AMERICA RAMIREZ PULIDO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,54861
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FREDY ALBERTO BORDA RIAÑO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,54863
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,FREDY FERNEY CANCINO MARIN,PARTIDO CENTRO DEMOCRATICO,54808
Concejo,NORTE DE SANTANDER,VILLA DEL ROSARIO,GIOVANNY ANTONIO MUÑOZ LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54973
