corp,dpto,mpio,name,party,wp_no
Concejo,PUTUMAYO,ORITO,ADRIANA LUCELY TAPIA QUINTERO,PARTIDO COLOMBIA RENACIENTE,93704
Concejo,PUTUMAYO,ORITO,ALBA RUTH ORDOÑEZ CERON,PARTIDO CONSERVADOR COLOMBIANO,93718
Concejo,PUTUMAYO,ORITO,ALBA YANETH GOMEZ ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,93681
Concejo,PUTUMAYO,ORITO,ALDRIN  RODRIGUEZ SEVILLANO,PARTIDO LIBERAL COLOMBIANO,93671
Concejo,PUTUMAYO,ORITO,ALEX  PATIÑO GAVIRIA,PARTIDO LIBERAL COLOMBIANO,93670
Concejo,PUTUMAYO,ORITO,ALVEIRO  MOSQUERA IBARRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,93794
Concejo,PUTUMAYO,ORITO,ANA CELIA CRIOLLO MORALES,PARTIDO COLOMBIA RENACIENTE,93707
Concejo,PUTUMAYO,ORITO,ANGIE DANIELA RIASCOS BASTIDAS,PARTIDO LIBERAL COLOMBIANO,93665
Concejo,PUTUMAYO,ORITO,AQUILEO  MOSQUERA COPETE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93700
Concejo,PUTUMAYO,ORITO,ARCESIO  CAMACHO ACOSTA,PARTIDO CENTRO DEMOCRATICO,93686
Concejo,PUTUMAYO,ORITO,ARISTOBULO  CABEZAS PONCE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,93776
Concejo,PUTUMAYO,ORITO,BLANCA NELLY MENDEZ ESTACIO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,93756
Concejo,PUTUMAYO,ORITO,CARLOS ALBERTO JAJOY PAI,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93691
Concejo,PUTUMAYO,ORITO,CARLOS ARTURO SEVILLANO CORTES,PARTIDO CAMBIO RADICAL,93736
Concejo,PUTUMAYO,ORITO,CARLOS BAYARDO VILLOTA TORO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,93677
Concejo,PUTUMAYO,ORITO,CARLOWIS  HERRERA GOYES,PARTIDO CONSERVADOR COLOMBIANO,93725
Concejo,PUTUMAYO,ORITO,CIELO MIREYA ORTIZ ANGULO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,93804
Concejo,PUTUMAYO,ORITO,CIRO  CASTILLO OBANDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93692
Concejo,PUTUMAYO,ORITO,DELMAR  ARIAS JARAMILLO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,93803
Concejo,PUTUMAYO,ORITO,DENIS  QUINTERO BASTIDAS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,93800
Concejo,PUTUMAYO,ORITO,DEYSI MARISELA MORENO RODRIGUEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,93805
Concejo,PUTUMAYO,ORITO,DIELA MARIA GOMEZ ROSERO,PARTIDO CAMBIO RADICAL,93738
Concejo,PUTUMAYO,ORITO,EDAR NADAB SOTO FAJARDO,PARTIDO COLOMBIA RENACIENTE,93708
Concejo,PUTUMAYO,ORITO,EDIXER ROLANDO SAAVEDRA ALVARES,PARTIDO COLOMBIA RENACIENTE,93706
Concejo,PUTUMAYO,ORITO,EDUARD JOSE PORTILLA DIAZ,PARTIDO COLOMBIA RENACIENTE,93716
Concejo,PUTUMAYO,ORITO,EDUARDO RAFAEL JIMENEZ TOVAR,PARTIDO CONSERVADOR COLOMBIANO,93724
Concejo,PUTUMAYO,ORITO,EDWARD STEVENS MORIANO ACOSTA,PARTIDO COLOMBIA RENACIENTE,93714
Concejo,PUTUMAYO,ORITO,EIMER ANDRES RODRIGUEZ RENDON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93701
Concejo,PUTUMAYO,ORITO,ELCIAS  IMBACHI MAJE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,93762
Concejo,PUTUMAYO,ORITO,EMIGDIO  SOLARTE DAZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93703
Concejo,PUTUMAYO,ORITO,ERIKA YANETH CESPEDES MURILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,93767
Concejo,PUTUMAYO,ORITO,ERMINSON  NEQUIRUCAMA GUTIERREZ,PARTIDO COLOMBIA RENACIENTE,93705
Concejo,PUTUMAYO,ORITO,ESTELLA  CHACHINOY CHAPAL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,93764
Concejo,PUTUMAYO,ORITO,EVERT  CHILITO ,PARTIDO CONSERVADOR COLOMBIANO,93726
Concejo,PUTUMAYO,ORITO,FABIO ANDRES EGAS CUARTAS,PARTIDO CAMBIO RADICAL,93734
Concejo,PUTUMAYO,ORITO,FRANCY EDENIA GARZON ,PARTIDO POLITICO MIRA,93781
Concejo,PUTUMAYO,ORITO,FRANKLIN  PERDOMO CAMACHO,PARTIDO LIBERAL COLOMBIANO,93672
Concejo,PUTUMAYO,ORITO,FREYDER ALEXANDER MORALES BENAVIDES,PARTIDO COLOMBIA RENACIENTE,93713
Concejo,PUTUMAYO,ORITO,GEOVANNY DURLANDY ACOSTA ERAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,93766
