corp,dpto,mpio,name,party,wp_no
Concejo,PUTUMAYO,PUERTO CAICEDO,ABELARDO  QUIGUANAS ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93925
Concejo,PUTUMAYO,PUERTO CAICEDO,ALVARO JHOVANY ROSERO ILES,PARTIDO CONSERVADOR COLOMBIANO,93928
Concejo,PUTUMAYO,PUERTO CAICEDO,AMALFI YOHANA TAMAYO LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93922
Concejo,PUTUMAYO,PUERTO CAICEDO,AMPARO DEL SOCORRO ROSERO VIVAS,TODOS POR UN PUERTO CAICEDO DIGNO,93974
Concejo,PUTUMAYO,PUERTO CAICEDO,ANA YAMILE RUA CASTILLO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93923
Concejo,PUTUMAYO,PUERTO CAICEDO,ANDERSON DARIO ORTEGA PRADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,93962
Concejo,PUTUMAYO,PUERTO CAICEDO,ANGELA VIVIANA JOJOA CARVAJAL,PARTIDO LIBERAL COLOMBIANO,93909
Concejo,PUTUMAYO,PUERTO CAICEDO,AURA PRAIXEDES VALENCIA GUEVARA,TODOS POR UN PUERTO CAICEDO DIGNO,93972
Concejo,PUTUMAYO,PUERTO CAICEDO,BELLY MARCELA DIAZ OBANDO,PARTIDO CAMBIO RADICAL,93939
Concejo,PUTUMAYO,PUERTO CAICEDO,BRAYANN EDUARDO BARONA ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,93917
Concejo,PUTUMAYO,PUERTO CAICEDO,CARLOS ALBERTO GARCIA CAICEDO,PARTIDO CONSERVADOR COLOMBIANO,93933
Concejo,PUTUMAYO,PUERTO CAICEDO,CARLOS ALBERTO LOPEZ MORA,PARTIDO LIBERAL COLOMBIANO,93912
Concejo,PUTUMAYO,PUERTO CAICEDO,CARLOS JAIME SANCHEZ MORALES,PARTIDO CONSERVADOR COLOMBIANO,93932
