corp,dpto,mpio,name,party,wp_no
Concejo,QUINDIO,CALARCA,ALBA RUTH PULIDO OROZCO,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,58068
Concejo,QUINDIO,CALARCA,ALBEIRO  GARCIA AMARILES,PARTIDO COLOMBIA RENACIENTE,57966
Concejo,QUINDIO,CALARCA,ALEJANDRO  DEVIA TAPIERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,58030
Concejo,QUINDIO,CALARCA,ALVARO  MUÑOZ DAZA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57972
Concejo,QUINDIO,CALARCA,ALVARO  RIVERA CORREA,PARTIDO CONSERVADOR COLOMBIANO,57993
Concejo,QUINDIO,CALARCA,ANA SOFIA ROJAS ALZATE,PARTIDO CONSERVADOR COLOMBIANO,57999
Concejo,QUINDIO,CALARCA,ANGELA LUCIA TIQUE GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,58038
Concejo,QUINDIO,CALARCA,ANGELICA MARIA CABRERA GAMBA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57980
Concejo,QUINDIO,CALARCA,ANNIE ALEJANDRA LOPEZ ROJAS,PARTIDO LIBERAL COLOMBIANO,57953
Concejo,QUINDIO,CALARCA,ARLEY  BECERRA ALONSO,PARTIDO CAMBIO RADICAL,58009
Concejo,QUINDIO,CALARCA,BEATRIZ ELENA ARISTIZABAL PEREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57979
Concejo,QUINDIO,CALARCA,BENJAMIN  CASTAÑEDA BERMUDEZ,PARTIDO LIBERAL COLOMBIANO,57941
Concejo,QUINDIO,CALARCA,BERTHA LIBIA AGUIRRE DE CELIS,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,58066
Concejo,QUINDIO,CALARCA,CARLOS ALBERTO SANCHEZ RIOS,CREEMOS EN CALARCÁ,58083
Concejo,QUINDIO,CALARCA,CARLOS ARCESIO PUERTA DAVILA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57984
Concejo,QUINDIO,CALARCA,CARLOS ARTURO PATIÑO JIMENEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,58053
Concejo,QUINDIO,CALARCA,CARLOS ARTURO TRIVIÑO RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,58057
Concejo,QUINDIO,CALARCA,CARLOS AUGUSTO ROJAS PEREZ,PARTIDO LIBERAL COLOMBIANO,57950
Concejo,QUINDIO,CALARCA,CARLOS JULIO BETANCOURT ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,58031
Concejo,QUINDIO,CALARCA,CYRANO  CARDONA ARBOLEDA,PARTIDO LIBERAL COLOMBIANO,57951
Concejo,QUINDIO,CALARCA,DAMARIS LORENA GUTIERREZ CAMACHO,PARTIDO LIBERAL COLOMBIANO,57948
Concejo,QUINDIO,CALARCA,DANIEL  FRANCO GUEVARA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,58067
Concejo,QUINDIO,CALARCA,DANILO  BELTRAN CUESTA,PARTIDO CONSERVADOR COLOMBIANO,57997
Concejo,QUINDIO,CALARCA,DIANA LILIANA AGUIRRE RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,58048
Concejo,QUINDIO,CALARCA,DIANA MARIA CIFUENTES BERMUDEZ,PARTIDO CONSERVADOR COLOMBIANO,57990
Concejo,QUINDIO,CALARCA,DIANA MIREYA RODRIGUEZ COBOS,PARTIDO CONSERVADOR COLOMBIANO,57991
Concejo,QUINDIO,CALARCA,DIANA PATRICIA BEDOYA LONDOÑO,PARTIDO LIBERAL COLOMBIANO,57952
Concejo,QUINDIO,CALARCA,DIEGO ALEXANDER CARDENAS MENDEZ,CREEMOS EN CALARCÁ,58075
Concejo,QUINDIO,CALARCA,DIGNA  LOAIZA LUNA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,57971
Concejo,QUINDIO,CALARCA,DIMAS ALBERTO ARIAS LASSO,CREEMOS EN CALARCÁ,58079
Concejo,QUINDIO,CALARCA,EDGAR  VILLA RENDON,PARTIDO LIBERAL COLOMBIANO,57949
Concejo,QUINDIO,CALARCA,EDWIN JULIAN HERNANDEZ OCHOA,PARTIDO CAMBIO RADICAL,58012
Concejo,QUINDIO,CALARCA,ELCY LUCIA ORREGO CARMONA,PARTIDO CENTRO DEMOCRATICO- PARTIDO POLITICO MIRA,58061
