corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,DOSQUEBRADAS,ADRIANA PATRICIA OYUELA LOPEZ,PARTIDO POLITICO MIRA,53515
Concejo,RISARALDA,DOSQUEBRADAS,ALBA LUCIA RAMIREZ LONDOÑO,PARTIDO POLITICO MIRA,53503
Concejo,RISARALDA,DOSQUEBRADAS,ALBER DE JESUS LLANOS ZAPATA,PARTIDO LIBERAL COLOMBIANO,53393
Concejo,RISARALDA,DOSQUEBRADAS,ALEJANDRA  MARIN ALVAREZ,DOSQUEBRADAS SI ES POSIBLE,53530
Concejo,RISARALDA,DOSQUEBRADAS,ALEJANDRO  DELGADO GAMBOA,PARTIDO CENTRO DEMOCRATICO,53414
Concejo,RISARALDA,DOSQUEBRADAS,ALEXANDER  CASTAÑEDA VALLEJO,PARTIDO POLITICO MIRA,53517
Concejo,RISARALDA,DOSQUEBRADAS,ANA LUCIA MARIN ESCUDERO,ALIANZA ALTERNATIVA  POR DOSQUEBRADAS,53544
Concejo,RISARALDA,DOSQUEBRADAS,ANA TERESA PINILLA GALEANO,DOSQUEBRADAS SI ES POSIBLE,53539
Concejo,RISARALDA,DOSQUEBRADAS,ANDRES ENRIQUE VALENCIA BERNAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53489
Concejo,RISARALDA,DOSQUEBRADAS,ANDRES FELIPE RAMIREZ LLANO,PARTIDO POLITICO MIRA,53514
Concejo,RISARALDA,DOSQUEBRADAS,ANGIE DAYANNA GONZALEZ MONTOYA,PARTIDO POLITICO MIRA,53509
Concejo,RISARALDA,DOSQUEBRADAS,ANIBAL FELIPE PULGARIN GALLEGO,PARTIDO LIBERAL COLOMBIANO,53396
Concejo,RISARALDA,DOSQUEBRADAS,BIBIANA  ARCE DIAZ,PARTIDO POLITICO MIRA,53504
Concejo,RISARALDA,DOSQUEBRADAS,BLANCA SONIA GOMEZ MARIN,PARTIDO POLITICO MIRA,53502
Concejo,RISARALDA,DOSQUEBRADAS,CARLOS ALBERTO SALGADO FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,53456
Concejo,RISARALDA,DOSQUEBRADAS,CARLOS ALBERTO VELASQUEZ ECHEVERRY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53521
Concejo,RISARALDA,DOSQUEBRADAS,CARLOS HUGO TORO RIOS,PARTIDO LIBERAL COLOMBIANO,53399
Concejo,RISARALDA,DOSQUEBRADAS,CARLOS VIVES GRISALES MURILLO,PARTIDO LIBERAL COLOMBIANO,53385
Concejo,RISARALDA,DOSQUEBRADAS,CAROLINA  RESTREPO BERMUDEZ,PARTIDO COLOMBIA RENACIENTE,53441
Concejo,RISARALDA,DOSQUEBRADAS,CENELIA  RESTREPO BUITRAGO,PARTIDO LIBERAL COLOMBIANO,53400
Concejo,RISARALDA,DOSQUEBRADAS,CENELLY  CHICA LOZANO,DOSQUEBRADAS SI ES POSIBLE,53543
Concejo,RISARALDA,DOSQUEBRADAS,CESAR ALEJANDRO DOMINGUEZ NAVAS,PARTIDO COLOMBIA JUSTA LIBRES,53424
Concejo,RISARALDA,DOSQUEBRADAS,CESAR AUGUSTO GARCIA ZAPATA,PARTIDO POLITICO MIRA,53510
Concejo,RISARALDA,DOSQUEBRADAS,CLAUDIA SOFIA ROMERO ARENAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53497
Concejo,RISARALDA,DOSQUEBRADAS,COLOMBIA  LOPEZ TORO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53523
Concejo,RISARALDA,DOSQUEBRADAS,CRUZ DAMARIS LOAIZA ARICAPA,PARTIDO CONSERVADOR COLOMBIANO,53452
Concejo,RISARALDA,DOSQUEBRADAS,DAGO ROBERT SANCHEZ OSORIO,PARTIDO CONSERVADOR COLOMBIANO,53442
Concejo,RISARALDA,DOSQUEBRADAS,DAIANA ALEJANDRA CORREA MONTOYA,PARTIDO CENTRO DEMOCRATICO,53408
Concejo,RISARALDA,DOSQUEBRADAS,DANICA JOHANA CASTAÑO ,PARTIDO CAMBIO RADICAL,53467
Concejo,RISARALDA,DOSQUEBRADAS,DEISY YULIANA RAMIREZ ROMERO,PARTIDO CENTRO DEMOCRATICO,53406
Concejo,RISARALDA,DOSQUEBRADAS,DIANA LORENA RESTREPO HENAO,PARTIDO LIBERAL COLOMBIANO,53401
Concejo,RISARALDA,DOSQUEBRADAS,DIANA MARCELA ISAZA GOMEZ,DOSQUEBRADAS SI ES POSIBLE,53533
Concejo,RISARALDA,DOSQUEBRADAS,DIANA MARCELA VALENCIA GONZALEZ,PARTIDO CAMBIO RADICAL,53462
Concejo,RISARALDA,DOSQUEBRADAS,DIANA PATRICIA ARROYAVE GOMEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53488
Concejo,RISARALDA,DOSQUEBRADAS,DIEGO FERNANDO RODRIGUEZ HENAO,ALIANZA ALTERNATIVA  POR DOSQUEBRADAS,53549
Concejo,RISARALDA,DOSQUEBRADAS,EDINSON  KLINGER ANGULO,PARTIDO COLOMBIA JUSTA LIBRES,53423
Concejo,RISARALDA,DOSQUEBRADAS,EDUAR ORLANDO ARIAS CARDONA,PARTIDO CONSERVADOR COLOMBIANO,53447
Concejo,RISARALDA,DOSQUEBRADAS,ELIZABETH  MARTINEZ MATTA,PARTIDO COLOMBIA JUSTA LIBRES,53421
Concejo,RISARALDA,DOSQUEBRADAS,FELIPE  GARCIA GARCIA,PARTIDO CENTRO DEMOCRATICO,53413
Concejo,RISARALDA,DOSQUEBRADAS,FERNANDO  CABALLERO SANCHEZ,DOSQUEBRADAS SI ES POSIBLE,53528
Concejo,RISARALDA,DOSQUEBRADAS,FLOR DE MARIA BETANCOURT MENESES,PARTIDO COLOMBIA RENACIENTE,53433
Concejo,RISARALDA,DOSQUEBRADAS,FRANCY LENY GIRALDO BERMUDEZ,PARTIDO COLOMBIA RENACIENTE,53426
Concejo,RISARALDA,DOSQUEBRADAS,GABRIEL  GUERRERO MARTINEZ,PARTIDO CENTRO DEMOCRATICO,53402
Concejo,RISARALDA,DOSQUEBRADAS,GABRIEL GUSTAVO RENGIFO LEON,PARTIDO CONSERVADOR COLOMBIANO,53449
Concejo,RISARALDA,DOSQUEBRADAS,GATMEN ELIAS RIOS PULGARIN,PARTIDO CENTRO DEMOCRATICO,53415
Concejo,RISARALDA,DOSQUEBRADAS,GEILER  BARRERA MANZO,PARTIDO CENTRO DEMOCRATICO,53405
Concejo,RISARALDA,DOSQUEBRADAS,GERARDO ARTURO TREJOS GARCIA,PARTIDO CONSERVADOR COLOMBIANO,53457
Concejo,RISARALDA,DOSQUEBRADAS,GERARDO DE LA CRUZ SANCHEZ ARTEAGA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53499
Concejo,RISARALDA,DOSQUEBRADAS,GLORIA LILIANA MONTOYA GIRALDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53495
Concejo,RISARALDA,DOSQUEBRADAS,GLORIA MILLERLAY PRIETO RIVERA,PARTIDO COLOMBIA JUSTA LIBRES,53420
Concejo,RISARALDA,DOSQUEBRADAS,GLORIA PATRICIA LONDOÑO GARCIA,PARTIDO LIBERAL COLOMBIANO,53390
Concejo,RISARALDA,DOSQUEBRADAS,GLORIA PATRICIA ORREGO PEREZ,PARTIDO CONSERVADOR COLOMBIANO,53448
Concejo,RISARALDA,DOSQUEBRADAS,GRISELDA  AVILES ROMERO,PARTIDO COLOMBIA RENACIENTE,53437
Concejo,RISARALDA,DOSQUEBRADAS,GUSTAVO ADOLFO CARDONA GAVIRIA,PARTIDO LIBERAL COLOMBIANO,53389
Concejo,RISARALDA,DOSQUEBRADAS,HAROLD  GONZALEZ GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53522
Concejo,RISARALDA,DOSQUEBRADAS,HECTOR FABIO SANCHEZ GAÑAN,PARTIDO LIBERAL COLOMBIANO,53394
Concejo,RISARALDA,DOSQUEBRADAS,HECTOR JAIME CASTRO CEBALLOS,PARTIDO CONSERVADOR COLOMBIANO,53443
Concejo,RISARALDA,DOSQUEBRADAS,HELIANA MARIA CASTAÑO GARCIA,PARTIDO LIBERAL COLOMBIANO,53398
Concejo,RISARALDA,DOSQUEBRADAS,HENRY  MARIN OSPINA,DOSQUEBRADAS SI ES POSIBLE,53531
Concejo,RISARALDA,DOSQUEBRADAS,IDANIS  OCAMPO PULIDO,PARTIDO COLOMBIA JUSTA LIBRES,53419
Concejo,RISARALDA,DOSQUEBRADAS,IRMA  VALENCIA ARIAS,PARTIDO POLITICO MIRA,53512
Concejo,RISARALDA,DOSQUEBRADAS,JAKELINE  RAMIREZ LOPEZ,PARTIDO CENTRO DEMOCRATICO,53412
Concejo,RISARALDA,DOSQUEBRADAS,JAMES  CASTAÑO CASTAÑO,PARTIDO LIBERAL COLOMBIANO,53386
Concejo,RISARALDA,DOSQUEBRADAS,JAVIER  OSORIO LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53492
Concejo,RISARALDA,DOSQUEBRADAS,JAVIER ALBERTO VALENCIA OROZCO,ALIANZA ALTERNATIVA  POR DOSQUEBRADAS,53553
Concejo,RISARALDA,DOSQUEBRADAS,JESUS ALBERTO RIVERA HOLGUIN,PARTIDO CENTRO DEMOCRATICO,53411
Concejo,RISARALDA,DOSQUEBRADAS,JESUS ANTONIO CARMONA VELEZ,PARTIDO CONSERVADOR COLOMBIANO,53451
Concejo,RISARALDA,DOSQUEBRADAS,JHON STIVENS BELTRAN CHAVEZ,PARTIDO COLOMBIA RENACIENTE,53435
Concejo,RISARALDA,DOSQUEBRADAS,JOHANA ANDREA SALAZAR CARDONA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,117891
Concejo,RISARALDA,DOSQUEBRADAS,JOHANA MILENA ZAPATA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,53454
Concejo,RISARALDA,DOSQUEBRADAS,JOHN EDISON GIRALDO ARBELAEZ,DOSQUEBRADAS SI ES POSIBLE,53540
Concejo,RISARALDA,DOSQUEBRADAS,JOHN FREDY ARREDONDO PULGARIN,PARTIDO POLITICO MIRA,53505
Concejo,RISARALDA,DOSQUEBRADAS,JOHN STEVEN RAMIREZ ALVAREZ,PARTIDO CAMBIO RADICAL,53469
Concejo,RISARALDA,DOSQUEBRADAS,JORGE ANDRES RAMIREZ BUSTAMANTE,PARTIDO COLOMBIA RENACIENTE,53438
Concejo,RISARALDA,DOSQUEBRADAS,JORGE ELIECER QUIRAMA BETANCUR,PARTIDO CAMBIO RADICAL,53465
Concejo,RISARALDA,DOSQUEBRADAS,JORGE HERNAN FLOREZ RAMOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53498
Concejo,RISARALDA,DOSQUEBRADAS,JORGE HUGO GARCIA MARIN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53485
Concejo,RISARALDA,DOSQUEBRADAS,JORGE IVAN TABARES ZAPATA,PARTIDO CENTRO DEMOCRATICO,53416
Concejo,RISARALDA,DOSQUEBRADAS,JORGE IVAN ZAPATA OCAMPO,PARTIDO COLOMBIA JUSTA LIBRES,53425
Concejo,RISARALDA,DOSQUEBRADAS,JOSE ABEL MARIN MONTOYA,PARTIDO POLITICO MIRA,53506
Concejo,RISARALDA,DOSQUEBRADAS,JOSE EDWIN CARDENAS RAMIREZ,PARTIDO CENTRO DEMOCRATICO,53409
