corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,LA CELIA,AMPARO  CARDONA DE PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53678
Concejo,RISARALDA,LA CELIA,ANDRES DE JESUS OSPINA MORENO,PARTIDO LIBERAL COLOMBIANO,53647
Concejo,RISARALDA,LA CELIA,BERTINA LORENA RENDON GRANADA,PARTIDO CONSERVADOR COLOMBIANO,53662
Concejo,RISARALDA,LA CELIA,CARLOS ALBERTO OROZCO ARCILA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53680
Concejo,RISARALDA,LA CELIA,CARLOS ALBERTO ZULETA ANDUQUIA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53682
Concejo,RISARALDA,LA CELIA,CECILIO ANTONIO HENAO ALVAREZ,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53683
Concejo,RISARALDA,LA CELIA,DIANA MARIA CORRALES FLOREZ,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53681
Concejo,RISARALDA,LA CELIA,EDINSON  AGUIRRE ZAPATA,PARTIDO CAMBIO RADICAL,53668
Concejo,RISARALDA,LA CELIA,FABIO ANTONIO CRUZ MARIN,PARTIDO CONSERVADOR COLOMBIANO,53665
Concejo,RISARALDA,LA CELIA,FERNEY ANTONIO ROA RENDON,PARTIDO CENTRO DEMOCRATICO,53655
Concejo,RISARALDA,LA CELIA,FRANCISCO GEOVANY COPETE GONZALEZ,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53685
Concejo,RISARALDA,LA CELIA,HECTOR FARID RESTREPO BALZAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53679
Concejo,RISARALDA,LA CELIA,HENRY DE JESUS HIGUITA GEORGES,PARTIDO CAMBIO RADICAL,53669
Concejo,RISARALDA,LA CELIA,JHON JAIRO GARCIA GIRALDO,PARTIDO CENTRO DEMOCRATICO,53656
Concejo,RISARALDA,LA CELIA,JOHANA  MARULANDA OSPINA,PARTIDO LIBERAL COLOMBIANO,53648
Concejo,RISARALDA,LA CELIA,JORGE ALBERTO TIBAQUICHA GUERRA,PARTIDO CAMBIO RADICAL,53671
Concejo,RISARALDA,LA CELIA,JUAN CARLOS CASTRILLON ECHEVERRY,PARTIDO CAMBIO RADICAL,53667
Concejo,RISARALDA,LA CELIA,JUAN DE JESUS QUEVEDO VANEGAS,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53686
Concejo,RISARALDA,LA CELIA,LEIDY JOHANA OSORIO FORONDA,PARTIDO LIBERAL COLOMBIANO,53644
Concejo,RISARALDA,LA CELIA,LEIDY JOHANA SEPULVEDA RAMOS,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53687
Concejo,RISARALDA,LA CELIA,LUIS ALBERTO POSADA OSORIO,PARTIDO CONSERVADOR COLOMBIANO,53663
Concejo,RISARALDA,LA CELIA,LUIS FERNANDO ACEVEDO TORO,PARTIDO CAMBIO RADICAL,53672
Concejo,RISARALDA,LA CELIA,LUIS FERNANDO SOSSA PAREJA,PARTIDO CONSERVADOR COLOMBIANO,53664
Concejo,RISARALDA,LA CELIA,LUIS GERARDO RINCON AGUIRRE,PARTIDO CENTRO DEMOCRATICO,53657
Concejo,RISARALDA,LA CELIA,LUIS HORACIO TABARES MONTOYA,PARTIDO CENTRO DEMOCRATICO,53653
Concejo,RISARALDA,LA CELIA,LUIS MANDERSI HURTADO LOPEZ,PARTIDO CENTRO DEMOCRATICO,53651
Concejo,RISARALDA,LA CELIA,MARIA EDILMA MACHADO LONDOÑO,PARTIDO CAMBIO RADICAL,53673
Concejo,RISARALDA,LA CELIA,MARIA ESMERALDA SUAREZ TORRES,PARTIDO CENTRO DEMOCRATICO,53652
Concejo,RISARALDA,LA CELIA,MARIA MERCEDES ALVAREZ ZAPATA,PARTIDO CENTRO DEMOCRATICO,53658
Concejo,RISARALDA,LA CELIA,MARIA NAILE OCHOA JIMENEZ,PARTIDO CENTRO DEMOCRATICO,53650
Concejo,RISARALDA,LA CELIA,MARIBEL  LLANOS MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,53660
Concejo,RISARALDA,LA CELIA,MARTA LUCIA HENAO RESTREPO,PARTIDO CONSERVADOR COLOMBIANO,53659
Concejo,RISARALDA,LA CELIA,NESTOR LEANDRO RAIGOSA SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,53666
Concejo,RISARALDA,LA CELIA,NORALBA  TORRES MOLINA,PARTIDO CAMBIO RADICAL,53670
Concejo,RISARALDA,LA CELIA,NOREIS  ORTIZ GUTIERREZ,PARTIDO LIBERAL COLOMBIANO,53645
Concejo,RISARALDA,LA CELIA,ORLANDO ANTONIO RAMIREZ CADAVID,PARTIDO CONSERVADOR COLOMBIANO,53661
Concejo,RISARALDA,LA CELIA,ORLANDO DE JESUS SALINAS AGUIRRE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53675
Concejo,RISARALDA,LA CELIA,RAMON EMILIO VASQUEZ RIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53676
Concejo,RISARALDA,LA CELIA,ROBERT FREY CHAVEZ OJEDA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53684
Concejo,RISARALDA,LA CELIA,ROSALBA  SANCHEZ SUAREZ,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,53688
Concejo,RISARALDA,LA CELIA,SERGIO  RENDON CAÑAVERAL,PARTIDO LIBERAL COLOMBIANO,53649
Concejo,RISARALDA,LA CELIA,SORAIDA  PINEDA SUAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53677
