corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,LA VIRGINIA,ALEXANDER  IMBRETH GRISALES,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53811
Concejo,RISARALDA,LA VIRGINIA,ALVARO  VANEGAS MEJIA,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53813
Concejo,RISARALDA,LA VIRGINIA,AMANDA  GALEANO GALEANO,PARTIDO POLITICO MIRA,53785
Concejo,RISARALDA,LA VIRGINIA,AMELIA  GIL ROMERO,PARTIDO COLOMBIA JUSTA LIBRES,53718
Concejo,RISARALDA,LA VIRGINIA,ANA MARIA BETANCOURTH MARULANDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53776
Concejo,RISARALDA,LA VIRGINIA,ANTONIO MARIA PEREZ CANO,PARTIDO POLITICO MIRA,53787
Concejo,RISARALDA,LA VIRGINIA,ARMANDO  HURTADO ZAMBRANO,PARTIDO CENTRO DEMOCRATICO,53704
Concejo,RISARALDA,LA VIRGINIA,AURA  ZAPATA GIRALDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53795
Concejo,RISARALDA,LA VIRGINIA,BEATRIZ ELENA ARENAS OSORIO,PARTIDO POLITICO MIRA,53791
Concejo,RISARALDA,LA VIRGINIA,BELEN  GALLEGO GRAJALES,PARTIDO LIBERAL COLOMBIANO,53693
Concejo,RISARALDA,LA VIRGINIA,CARLOS ALBERTO BAYER SALDARRIAGA,PARTIDO CENTRO DEMOCRATICO,53706
Concejo,RISARALDA,LA VIRGINIA,CARLOS ALBERTO RUA HURTADO,PARTIDO CENTRO DEMOCRATICO,53710
Concejo,RISARALDA,LA VIRGINIA,CARLOS MARIO BUSTAMANTE OCAMPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53801
Concejo,RISARALDA,LA VIRGINIA,CARLOS MARIO CARDONA LONDOÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,53761
Concejo,RISARALDA,LA VIRGINIA,CARLOS ROGELIO MARTINEZ GARCIA,PARTIDO CONSERVADOR COLOMBIANO,53721
Concejo,RISARALDA,LA VIRGINIA,CAROLINA  MARIN MARIN,PARTIDO CENTRO DEMOCRATICO,53713
Concejo,RISARALDA,LA VIRGINIA,CENELIA  ZAPATA ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,53765
Concejo,RISARALDA,LA VIRGINIA,CESAR AUGUSTO GALEANO LONDOÑO,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53816
Concejo,RISARALDA,LA VIRGINIA,CHENIER DE JESUS DIAZ GIRALDO,PARTIDO LIBERAL COLOMBIANO,53695
Concejo,RISARALDA,LA VIRGINIA,CLARITA MILENA GALLEGO GIL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53802
Concejo,RISARALDA,LA VIRGINIA,CLAUDIA BIBIANA ESCUDERO CARDONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53782
Concejo,RISARALDA,LA VIRGINIA,CLAUDIA PATRICIA OSORIO CASTAÑEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53804
Concejo,RISARALDA,LA VIRGINIA,CRISTIAN CAMILO VANEGAS VELASQUEZ,PARTIDO LIBERAL COLOMBIANO,53697
Concejo,RISARALDA,LA VIRGINIA,CRISTIAN MAURICIO MORALES ORTIZ,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53805
Concejo,RISARALDA,LA VIRGINIA,DANIEL  RODAS HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53799
Concejo,RISARALDA,LA VIRGINIA,DANIEL ESTEBAN SALAZAR CANO,PARTIDO POLITICO MIRA,53790
Concejo,RISARALDA,LA VIRGINIA,DANIEL RICARDO VANEGAS AGUIRRE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,53766
Concejo,RISARALDA,LA VIRGINIA,DANIELA ALEJANDRA RAMOS ,PARTIDO ALIANZA VERDE,53750
Concejo,RISARALDA,LA VIRGINIA,DIANA ALEJANDRA GIRALDO LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53780
Concejo,RISARALDA,LA VIRGINIA,DIANA MAYRE PEREZ GALLEGO,PARTIDO LIBERAL COLOMBIANO,53701
Concejo,RISARALDA,LA VIRGINIA,DIEGO ARMANDO VILLADA ZAPATA,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53815
Concejo,RISARALDA,LA VIRGINIA,DIEGO GILBERTO MEDINA SAUCEA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53803
Concejo,RISARALDA,LA VIRGINIA,DIEGO MAURICIO OSSA ,PARTIDO POLITICO MIRA,53788
Concejo,RISARALDA,LA VIRGINIA,DIEGO MAURICIO PARRA ALZATE,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53810
Concejo,RISARALDA,LA VIRGINIA,DUBER  MORALES SERNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53770
Concejo,RISARALDA,LA VIRGINIA,EDILBAY  SERNA ,PARTIDO CENTRO DEMOCRATICO,53708
Concejo,RISARALDA,LA VIRGINIA,EDILBERTO  DIAZ PRIETO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,53757
Concejo,RISARALDA,LA VIRGINIA,EDINSON DAMIAN BEDOYA QUICENO,PARTIDO POLITICO MIRA,53784
Concejo,RISARALDA,LA VIRGINIA,EDISON DE JESUS ARBELAEZ CASTAÑO,PARTIDO CAMBIO RADICAL,53737
Concejo,RISARALDA,LA VIRGINIA,EFRAIN  MUÑOZ ESPINOSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,53800
Concejo,RISARALDA,LA VIRGINIA,EGIDIO DE JESUS OCAMPO ARICAPA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53777
Concejo,RISARALDA,LA VIRGINIA,EIDER AUGUSTO CORREA MONTOYA,CONVERGENCIA DEMOCRATICA POR LA VIRGINIA,53808
Concejo,RISARALDA,LA VIRGINIA,ELIBER DE JESUS GOMEZ ,PARTIDO ALIANZA VERDE,53756
Concejo,RISARALDA,LA VIRGINIA,EMPERATRIZ  CASTAÑEDA DE TOBON,PARTIDO CAMBIO RADICAL,53740
Concejo,RISARALDA,LA VIRGINIA,FABIO  PEREZ ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,53758
