corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,MISTRATO,ADRIAN DE JESUS SALDARRIAGA ALZATE,PARTIDO LIBERAL COLOMBIANO,53886
Concejo,RISARALDA,MISTRATO,ANASTACIO  NIAZA DOVIGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53901
Concejo,RISARALDA,MISTRATO,ANDREA MELISSA CARDENAS RAMIREZ,PARTIDO LIBERAL COLOMBIANO,53893
Concejo,RISARALDA,MISTRATO,ANDRES FELIPE ARISTIZABAL GUEVARA,PARTIDO POLÍTICO MIRA Y PARTIDO SOCIAL DE LA UNIDAD NACIONAL,53938
Concejo,RISARALDA,MISTRATO,ANDRES FELIPE VELEZ SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53933
Concejo,RISARALDA,MISTRATO,ANIBAL  ESTUA NIAZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53905
Concejo,RISARALDA,MISTRATO,ARLEY DE JESUS PARRA ABREO,PARTIDO LIBERAL COLOMBIANO,53887
Concejo,RISARALDA,MISTRATO,ARTURO DE JESUS HERNANDEZ BETANCUR,PARTIDO ALIANZA VERDE,53923
Concejo,RISARALDA,MISTRATO,CARLOS ALBEIRO ESPINAL ALZATE,PARTIDO ALIANZA VERDE,53925
Concejo,RISARALDA,MISTRATO,CARLOS ALBERTO ARENAS ZABALA,PARTIDO ALIANZA VERDE,53924
Concejo,RISARALDA,MISTRATO,CARLOS ALBERTO BEDOYA MOSCOSO,PARTIDO LIBERAL COLOMBIANO,53894
Concejo,RISARALDA,MISTRATO,CARLOS ALBERTO VASQUEZ HINCAPIE,PARTIDO POLÍTICO MIRA Y PARTIDO SOCIAL DE LA UNIDAD NACIONAL,53943
Concejo,RISARALDA,MISTRATO,CARLOS MARIO CASTRO JARAMILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,53930
Concejo,RISARALDA,MISTRATO,CLOTILDE  CAIZALES SIAGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53897
