corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,PUEBLO RICO,ADRIANA LUCIA GALLEGO MARIN,PARTIDO CAMBIO RADICAL,54000
Concejo,RISARALDA,PUEBLO RICO,ADRIANA MARIA RUDA BOHORQUEZ,PARTIDO CENTRO DEMOCRATICO,53961
Concejo,RISARALDA,PUEBLO RICO,ALBEIRO  GUATIQUI CEREZO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53964
Concejo,RISARALDA,PUEBLO RICO,ALEJANDRA  AGUDELO GIRALDO,PARTIDO CAMBIO RADICAL,53998
Concejo,RISARALDA,PUEBLO RICO,ANA DELIA NACAVERA NACAVERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53966
Concejo,RISARALDA,PUEBLO RICO,ANA RITA WASORNA ARCE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53973
Concejo,RISARALDA,PUEBLO RICO,ANADUVINA  VELEZ MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,53988
Concejo,RISARALDA,PUEBLO RICO,ANTONIO DELFIN LLOREDA ,PARTIDO CAMBIO RADICAL,54001
Concejo,RISARALDA,PUEBLO RICO,AURA MARIA HERNANDEZ NARANJO,PARTIDO LIBERAL COLOMBIANO,53955
Concejo,RISARALDA,PUEBLO RICO,BERTULFO  QUERAGAMA NEMBAREGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53971
Concejo,RISARALDA,PUEBLO RICO,BRAYAN  PATIÑO CARDONA,PARTIDO COLOMBIA RENACIENTE,53978
Concejo,RISARALDA,PUEBLO RICO,CARLOS ABEL HERNANDEZ TAMAYO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54011
Concejo,RISARALDA,PUEBLO RICO,CARLOS ALBERTO LOPEZ ORTEGA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54027
Concejo,RISARALDA,PUEBLO RICO,CESAR AUGUSTO CARMONA MEDINA,PARTIDO ALIANZA VERDE,54004
Concejo,RISARALDA,PUEBLO RICO,CLAUDIA GUADALUPE CARDONA GRAJALES,PARTIDO CENTRO DEMOCRATICO,53959
Concejo,RISARALDA,PUEBLO RICO,CLEOTILDE  NAMUNDIA QUERAGAMA,PARTIDO CONSERVADOR COLOMBIANO,53994
Concejo,RISARALDA,PUEBLO RICO,DANOVER  SALAZAR ALZATE,PARTIDO CAMBIO RADICAL,54003
Concejo,RISARALDA,PUEBLO RICO,DIANA CAROLINA BEDOYA MESA,PARTIDO COLOMBIA RENACIENTE,53981
Concejo,RISARALDA,PUEBLO RICO,DIEGO FERNANDO AYALA TABORDA,PARTIDO ALIANZA VERDE,54007
Concejo,RISARALDA,PUEBLO RICO,DUVAN  VELASQUEZ MATURANA,PARTIDO CONSERVADOR COLOMBIANO,53995
Concejo,RISARALDA,PUEBLO RICO,ELIECER DE  JESUS CARDONA LONDOÑO,PARTIDO CONSERVADOR COLOMBIANO,53992
Concejo,RISARALDA,PUEBLO RICO,ESTEBAN  QUERAGAMA TEQUIA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54025
Concejo,RISARALDA,PUEBLO RICO,FRANCISCO JAVIER EUSSE GIRALDO,PARTIDO COLOMBIA RENACIENTE,53985
Concejo,RISARALDA,PUEBLO RICO,GERARDO DE JESUS NARANJO NARANJO,PARTIDO COLOMBIA RENACIENTE,53980
Concejo,RISARALDA,PUEBLO RICO,GUSTAVO ALBERTO HERNANDEZ RESTREPO,PARTIDO LIBERAL COLOMBIANO,53949
Concejo,RISARALDA,PUEBLO RICO,HELI DE JESUS BEDOYA BEDOYA,PARTIDO CONSERVADOR COLOMBIANO,53991
Concejo,RISARALDA,PUEBLO RICO,HERMAN ANTONIO VALENCIA RUIZ,PARTIDO CENTRO DEMOCRATICO,53956
Concejo,RISARALDA,PUEBLO RICO,HUGO NELSON QUINTERO RIOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54014
Concejo,RISARALDA,PUEBLO RICO,IRMA NELLY QUINTERO PELAEZ,PARTIDO LIBERAL COLOMBIANO,53953
Concejo,RISARALDA,PUEBLO RICO,JESUS EVELIO GARCIA CUENUT,PARTIDO LIBERAL COLOMBIANO,53946
Concejo,RISARALDA,PUEBLO RICO,JHON JAIRO MENA RENTERIA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,53976
Concejo,RISARALDA,PUEBLO RICO,JOSE ALBAN GARCIA GIRALDO,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54020
Concejo,RISARALDA,PUEBLO RICO,JOSE ARLEY SIAGAMA SIAGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53963
Concejo,RISARALDA,PUEBLO RICO,JOSE HERIBERTO BETANCUR FLOREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54013
Concejo,RISARALDA,PUEBLO RICO,JOSE NELSON VITUCAY SINTUA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,53975
Concejo,RISARALDA,PUEBLO RICO,JOSE RUBIEL JARAMILLO LOPEZ,PARTIDO ALIANZA VERDE,54006
Concejo,RISARALDA,PUEBLO RICO,LEONARDO  MURILLO RENTERIA,PARTIDO COLOMBIA RENACIENTE,53982
Concejo,RISARALDA,PUEBLO RICO,LEONARDO FABIO VARGAS JARAMILLO,PARTIDO ALIANZA VERDE,54005
Concejo,RISARALDA,PUEBLO RICO,LUCIA DE JESUS GALEANO RIOS,PARTIDO COLOMBIA RENACIENTE,53983
Concejo,RISARALDA,PUEBLO RICO,LUIS ARNEI MEDINA ZAPATA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54018
Concejo,RISARALDA,PUEBLO RICO,LUIS EDUARDO FLOREZ GRAJALES,PARTIDO COLOMBIA RENACIENTE,53977
Concejo,RISARALDA,PUEBLO RICO,LUIS OLMEDO URIBE CASTAÑO,PARTIDO CENTRO DEMOCRATICO,53962
Concejo,RISARALDA,PUEBLO RICO,LUIS OVIDIO MOSQUERA MATURANA,PARTIDO LIBERAL COLOMBIANO,53947
Concejo,RISARALDA,PUEBLO RICO,LUZ DARY GONZALEZ CUMACO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54017
Concejo,RISARALDA,PUEBLO RICO,LUZ DARY NEQUETA CHUCHERO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53965
Concejo,RISARALDA,PUEBLO RICO,MARIA EUGENIA CORDOBA MACHADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54015
Concejo,RISARALDA,PUEBLO RICO,MARIA FANNY ZAMORA YIUPA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53967
Concejo,RISARALDA,PUEBLO RICO,MARIA JASBLEIDY TOBON BETANCURT,PARTIDO CONSERVADOR COLOMBIANO,53997
Concejo,RISARALDA,PUEBLO RICO,MARIA ORFANELLY VALENCIA AGUDELO,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54028
Concejo,RISARALDA,PUEBLO RICO,MARIA TERESA CORREA ,PARTIDO LIBERAL COLOMBIANO,53952
Concejo,RISARALDA,PUEBLO RICO,MARIA YOLANDA RAMIREZ MUÑOZ,PARTIDO CENTRO DEMOCRATICO,53957
Concejo,RISARALDA,PUEBLO RICO,MARICELA  FLOREZ CARO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,53974
Concejo,RISARALDA,PUEBLO RICO,MEREGILDO  QUERAGAMA ARCE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53972
Concejo,RISARALDA,PUEBLO RICO,MIGUEL  GUATIQUI TANIGAMA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54023
Concejo,RISARALDA,PUEBLO RICO,MIGUEL ANGEL ARBOLEDA PATIÑO,PARTIDO CENTRO DEMOCRATICO,53960
Concejo,RISARALDA,PUEBLO RICO,MISNELIA  CORTES ALVAREZ,PARTIDO CAMBIO RADICAL,53999
Concejo,RISARALDA,PUEBLO RICO,NANCY ELENA HENAO NUÑEZ,PARTIDO CONSERVADOR COLOMBIANO,53993
Concejo,RISARALDA,PUEBLO RICO,NELCY PAOLA RODRIGUEZ CASTAÑEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54019
Concejo,RISARALDA,PUEBLO RICO,NICOLAS BLADIMIRO MOSQUERA VANEGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54010
Concejo,RISARALDA,PUEBLO RICO,NOEL  VALLEJO CORREA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54024
Concejo,RISARALDA,PUEBLO RICO,OLGA PATRICIA VELEZ GIRALDO,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54021
Concejo,RISARALDA,PUEBLO RICO,ORLANDO  QUERAGAMA ARCILA,PARTIDO COLOMBIA RENACIENTE,53979
Concejo,RISARALDA,PUEBLO RICO,OSCAR  ARCE NARIQUIAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54016
Concejo,RISARALDA,PUEBLO RICO,PAOLA ANDREA ARENAS SANCHEZ,PARTIDO ALIANZA VERDE,54009
Concejo,RISARALDA,PUEBLO RICO,RAFAEL ANTONIO GUZMAN RESTREPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53970
Concejo,RISARALDA,PUEBLO RICO,ROBERT ANTONIO CASTILLO ORTEGA,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54022
Concejo,RISARALDA,PUEBLO RICO,RODRIGO  OSORIO CHARICHE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53968
Concejo,RISARALDA,PUEBLO RICO,ROSENDO  MANUGAMA ARIAS,PARTIDO LIBERAL COLOMBIANO,53954
Concejo,RISARALDA,PUEBLO RICO,RUBIELA  PELAEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,53987
Concejo,RISARALDA,PUEBLO RICO,SAMUEL JULIAN MEDINA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,53951
Concejo,RISARALDA,PUEBLO RICO,SANDRA MILENA GIRALDO GUASORNA,PARTIDO COLOMBIA RENACIENTE,53984
Concejo,RISARALDA,PUEBLO RICO,SANDRA PATRICIA SUAZA ALVAREZ,PARTIDO CAMBIO RADICAL,54002
Concejo,RISARALDA,PUEBLO RICO,SAUL DE JESUS GARCIA GRAJALES,PARTIDO COLOMBIA RENACIENTE,53986
Concejo,RISARALDA,PUEBLO RICO,SERGIO JOSE BERRIO CARDONA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54012
Concejo,RISARALDA,PUEBLO RICO,TATIANA ANDREA GIRALDO GARCIA,PARTIDO ALIANZA VERDE,54008
Concejo,RISARALDA,PUEBLO RICO,TEODULO  VALENCIA PARRA,PARTIDO CENTRO DEMOCRATICO,53958
Concejo,RISARALDA,PUEBLO RICO,WILLAN  NAYAZA SIAGAMA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,53969
Concejo,RISARALDA,PUEBLO RICO,WILSON  URIBE MEZA,PARTIDO LIBERAL COLOMBIANO,53950
Concejo,RISARALDA,PUEBLO RICO,YEFERSON  ACEVEDO VERGARA,PARTIDO CONSERVADOR COLOMBIANO,53990
Concejo,RISARALDA,PUEBLO RICO,YENCI ZORAINE MUÑOZ PATIÑO,PARTIDO POLITICO MIRA Y PARTIDO ALIANZA SOCIAL INDEPENDIENTE,54026
Concejo,RISARALDA,PUEBLO RICO,YOHAN STIVEN HOLGUIN TANGARIFE,PARTIDO LIBERAL COLOMBIANO,53948
