corp,dpto,mpio,name,party,wp_no
Concejo,RISARALDA,SANTA ROSA DE CABAL,ADALIP  CONTRERAS HERNANDEZ,PARTIDO ALIANZA VERDE,54288
Concejo,RISARALDA,SANTA ROSA DE CABAL,ADIELA  BEDOYA FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,54250
Concejo,RISARALDA,SANTA ROSA DE CABAL,ALEICIS  ALAPE MAYOR,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54349
Concejo,RISARALDA,SANTA ROSA DE CABAL,ALEJANDRINA  BERNAL DE SIERRA,PARTIDO CENTRO DEMOCRATICO,54217
Concejo,RISARALDA,SANTA ROSA DE CABAL,ALONSO  RIVERA ,PARTIDO COLOMBIA JUSTA LIBRES,54244
Concejo,RISARALDA,SANTA ROSA DE CABAL,ALVARO  MEJIA CASTRILLON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54225
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANA MARIA OCHOA LOPEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54319
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANDREA  PANESSO RUIZ,PARTIDO CONSERVADOR COLOMBIANO,54257
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANDREA MARILIN BURBANO QUICENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54315
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANDRES FELIPE BEDOYA ORDOÑEZ,EDUCANDO ANDO,54335
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANDRES FELIPE DUQUE OCAMPO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54327
Concejo,RISARALDA,SANTA ROSA DE CABAL,ANGELA MARIA GIRALDO QUICENO,PARTIDO CENTRO DEMOCRATICO,54221
Concejo,RISARALDA,SANTA ROSA DE CABAL,ARIEL JOSE GORDILLO ALCALDE,PARTIDO ALIANZA VERDE,54278
Concejo,RISARALDA,SANTA ROSA DE CABAL,BEATRIZ DE LA MERCED FRANCO LOPEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54209
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ALBERTO ARIAS SALAZAR,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54207
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ALBERTO GALVIS ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54299
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ALBERTO MARIN ECHEVERRI,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54308
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ALBERTO MONTES CORREA,PARTIDO ALIANZA VERDE,54282
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ALBERTO PIÑEROS PAPAGAYO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54201
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS ARIEL ADARVE DUQUE,PARTIDO CENTRO DEMOCRATICO,54222
Concejo,RISARALDA,SANTA ROSA DE CABAL,CARLOS DAVID ALVAREZ OCHOA,PARTIDO CONSERVADOR COLOMBIANO,54256
Concejo,RISARALDA,SANTA ROSA DE CABAL,CAROLA  ZULUAGA NOREÑA,PARTIDO ALIANZA VERDE,54280
Concejo,RISARALDA,SANTA ROSA DE CABAL,CAROLINA  LEON CARDONA,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54346
Concejo,RISARALDA,SANTA ROSA DE CABAL,CAROLINA  SANCHEZ MARIN,PARTIDO CAMBIO RADICAL,54263
Concejo,RISARALDA,SANTA ROSA DE CABAL,CESAR AUGUSTO CARDONA ORTIZ,PARTIDO CENTRO DEMOCRATICO,54214
Concejo,RISARALDA,SANTA ROSA DE CABAL,CIELO  ZAPATA ARIAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54236
Concejo,RISARALDA,SANTA ROSA DE CABAL,CLAUDIA LILIANA SOTO MONTES,PARTIDO COLOMBIA JUSTA LIBRES,54243
Concejo,RISARALDA,SANTA ROSA DE CABAL,CRISTIAN ALFREDO SALDARRIAGA FLOREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54307
Concejo,RISARALDA,SANTA ROSA DE CABAL,CRISTIAN DANIEL HURTADO OSPINA,PARTIDO CENTRO DEMOCRATICO,54213
Concejo,RISARALDA,SANTA ROSA DE CABAL,DANIEL  CORREA GONZALEZ,PARTIDO ALIANZA VERDE,54279
Concejo,RISARALDA,SANTA ROSA DE CABAL,DANIEL EDUARDO CARDONA LOAIZA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54330
Concejo,RISARALDA,SANTA ROSA DE CABAL,DANIELA  LOPEZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,54251
Concejo,RISARALDA,SANTA ROSA DE CABAL,DANNY MAURICIO CARDONA VALENCIA,PARTIDO CAMBIO RADICAL,54271
Concejo,RISARALDA,SANTA ROSA DE CABAL,DAVID ALBERTO OSPINA AGUDELO,PARTIDO ALIANZA VERDE,54286
Concejo,RISARALDA,SANTA ROSA DE CABAL,DAYRO DE JESUS RIVERA ,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54347
Concejo,RISARALDA,SANTA ROSA DE CABAL,DEBORA YISENIA GAVIRIA QUINTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54312
Concejo,RISARALDA,SANTA ROSA DE CABAL,DIANA GRACIELA SALOMON RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54294
Concejo,RISARALDA,SANTA ROSA DE CABAL,DIDIER ORLANDO VALENCIA OSPINA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54200
Concejo,RISARALDA,SANTA ROSA DE CABAL,DIEGO ALEJANDRO MONCADA AGUIRRE,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54196
Concejo,RISARALDA,SANTA ROSA DE CABAL,DIEGO ALEJANDRO RAMIREZ CARDONA,PARTIDO CENTRO DEMOCRATICO,54215
Concejo,RISARALDA,SANTA ROSA DE CABAL,DIEGO ALEJANDRO TOBON QUICENO,EDUCANDO ANDO,54342
Concejo,RISARALDA,SANTA ROSA DE CABAL,EDGAR RICARDO JARA CUELLAR,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54230
Concejo,RISARALDA,SANTA ROSA DE CABAL,EDUAR JOVANY DUQUE VELASQUEZ,PARTIDO LIBERAL COLOMBIANO,54192
Concejo,RISARALDA,SANTA ROSA DE CABAL,ELIZABETH  ARTEAGA ZAPATA,PARTIDO COLOMBIA JUSTA LIBRES,54241
Concejo,RISARALDA,SANTA ROSA DE CABAL,EZEQUIEL  AMADOR AVILA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54208
Concejo,RISARALDA,SANTA ROSA DE CABAL,EZEQUIEL  GUTIERREZ LEON,PARTIDO CONSERVADOR COLOMBIANO,54255
Concejo,RISARALDA,SANTA ROSA DE CABAL,FABIO HERNAN LONDOÑO ALVAREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54203
Concejo,RISARALDA,SANTA ROSA DE CABAL,FABIO NELSON PALACIO URREGO,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54357
Concejo,RISARALDA,SANTA ROSA DE CABAL,FELIX ANTONIO FRANCO VILLA,PARTIDO COLOMBIA JUSTA LIBRES,54240
Concejo,RISARALDA,SANTA ROSA DE CABAL,FERNANDO AUGUSTO CLAVIJO ALZATE,PARTIDO ALIANZA VERDE,54289
Concejo,RISARALDA,SANTA ROSA DE CABAL,FRANCISCO JAVIER GAVIRIA GIRALDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54295
Concejo,RISARALDA,SANTA ROSA DE CABAL,GABRIEL DARIO RAMIREZ LEON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54237
Concejo,RISARALDA,SANTA ROSA DE CABAL,GABRIELA  RENDON OTALVARO,EDUCANDO ANDO,54337
Concejo,RISARALDA,SANTA ROSA DE CABAL,GERARDO  LOAIZA RIVERA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54320
Concejo,RISARALDA,SANTA ROSA DE CABAL,GERMAN ANTONIO HERRERA GONZALEZ,PARTIDO CENTRO DEMOCRATICO,54211
Concejo,RISARALDA,SANTA ROSA DE CABAL,GERMAN DARIO PELAEZ GALLEGO,PARTIDO CENTRO DEMOCRATICO,54212
Concejo,RISARALDA,SANTA ROSA DE CABAL,GINNA LIBETH GUZMAN GUERRA,EDUCANDO ANDO,54343
Concejo,RISARALDA,SANTA ROSA DE CABAL,GLORIA ESTEFANIA SOTO ARIAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54227
Concejo,RISARALDA,SANTA ROSA DE CABAL,GLORIA PATRICIA GIRALDO CASTRO,PARTIDO CAMBIO RADICAL,54272
Concejo,RISARALDA,SANTA ROSA DE CABAL,GRACIELA  CARDONA CARDONA,PARTIDO CONSERVADOR COLOMBIANO,54253
Concejo,RISARALDA,SANTA ROSA DE CABAL,GUSTAVO  SALAZAR TABARES,PARTIDO CAMBIO RADICAL,54264
Concejo,RISARALDA,SANTA ROSA DE CABAL,GUSTAVO ADOLFO CARVAJAL OSORIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54301
Concejo,RISARALDA,SANTA ROSA DE CABAL,GUSTAVO ADOLFO GARTNER XARAU,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54345
Concejo,RISARALDA,SANTA ROSA DE CABAL,GUSTAVO ADOLFO JIMENEZ CAMPO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54234
Concejo,RISARALDA,SANTA ROSA DE CABAL,HANS RODRIGO ALEXIS FLOREZ GOMEZ,PARTIDO LIBERAL COLOMBIANO,54189
Concejo,RISARALDA,SANTA ROSA DE CABAL,HECTOR ALFONSO VERA GONZALEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54231
Concejo,RISARALDA,SANTA ROSA DE CABAL,HECTOR ANDRES GRAJALES SEPULVEDA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54198
Concejo,RISARALDA,SANTA ROSA DE CABAL,HECTOR JULIO LOAIZA ARCILA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54197
Concejo,RISARALDA,SANTA ROSA DE CABAL,HUANDI VANESSA CUELLAR ARANGO,PARTIDO LIBERAL COLOMBIANO,54194
Concejo,RISARALDA,SANTA ROSA DE CABAL,HUGO DE JESUS VELASQUEZ GARCIA,PARTIDO CAMBIO RADICAL,54266
Concejo,RISARALDA,SANTA ROSA DE CABAL,HUMBERTO  CARMONA MORALES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54324
Concejo,RISARALDA,SANTA ROSA DE CABAL,JAIME ALBERTO MARIN BUENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54314
Concejo,RISARALDA,SANTA ROSA DE CABAL,JAIRO  NOREÑA ARISTIZABAL,PARTIDO CONSERVADOR COLOMBIANO,54247
Concejo,RISARALDA,SANTA ROSA DE CABAL,JAIRO ANTONIO GIRALDO HENAO,EL PARTIDO POLÍTICO MIRA Y EL MOVIMIENTO DE AUTORIDADES INDÍGENAS DE COLOMBIA AICO,54353
Concejo,RISARALDA,SANTA ROSA DE CABAL,JESUS HORACIO CARMONA HERRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54233
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON ALEXANDER DUQUE HERRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54239
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON DE JESUS COSSIO ZAPATA,PARTIDO COLOMBIA JUSTA LIBRES,54245
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON FREDY MONTES LONDOÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54304
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON FREDY PATIÑO VALENCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54292
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON FREDY SANCHEZ JARAMILLO,PARTIDO CAMBIO RADICAL,54274
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHON JAIRO LOAIZA RODRIGUEZ,PARTIDO CAMBIO RADICAL,54261
Concejo,RISARALDA,SANTA ROSA DE CABAL,JHONNATAN  CASTAÑEDA AGUDELO,EDUCANDO ANDO,54333
Concejo,RISARALDA,SANTA ROSA DE CABAL,JOHN ALEXANDER GIRALDO ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,54326
Concejo,RISARALDA,SANTA ROSA DE CABAL,JOHN FREDY ACEVEDO SIERRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,54228
Concejo,RISARALDA,SANTA ROSA DE CABAL,JORGE ENRIQUE DUQUE VIDAL,PARTIDO ALIANZA VERDE,54277
Concejo,RISARALDA,SANTA ROSA DE CABAL,JORGE WILMER MORALES CARMONA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,54202
Concejo,RISARALDA,SANTA ROSA DE CABAL,JOSE ALBINO CARDONA ECHEVERRI,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,54297
Concejo,RISARALDA,SANTA ROSA DE CABAL,JOSE ANCIZAR RIASCOS CAMACHO,PARTIDO CAMBIO RADICAL,54267
Concejo,RISARALDA,SANTA ROSA DE CABAL,JOSE EINAR SAAVEDRA PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,54309
