corp,dpto,mpio,name,party,wp_no
Concejo,SAN ANDRES,PROVIDENCIA,ADITA DEL CARMEN BORJA SJOGREEN,PARTIDO CENTRO DEMOCRATICO,92830
Concejo,SAN ANDRES,PROVIDENCIA,ARTURO VICENTE NEWBALL BRITTON,PARTIDO CENTRO DEMOCRATICO,92829
Concejo,SAN ANDRES,PROVIDENCIA,CLEOTILDE INES SUAREZ O NEILL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92842
Concejo,SAN ANDRES,PROVIDENCIA,DARLIN  FONSECA PEDROZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92839
Concejo,SAN ANDRES,PROVIDENCIA,ELSA HERMINIA ROBINSON HAWKINS,PARTIDO LIBERAL COLOMBIANO,92823
Concejo,SAN ANDRES,PROVIDENCIA,EVARISTO MANUEL ARCHBOLD GARCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92840
Concejo,SAN ANDRES,PROVIDENCIA,HERIC TEODORO SJOGREEN VELASCO,PARTIDO CENTRO DEMOCRATICO,92833
Concejo,SAN ANDRES,PROVIDENCIA,JAVIER RAFAEL RODRIGUEZ ARCHBOLD,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92836
Concejo,SAN ANDRES,PROVIDENCIA,JONATHAN LEE ARCHBOLD ,PARTIDO LIBERAL COLOMBIANO,92822
Concejo,SAN ANDRES,PROVIDENCIA,LANDEL HERNANDO ROBINSON ARCHBOLD,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92837
Concejo,SAN ANDRES,PROVIDENCIA,LERI ANISETO HENRY TAYLOR,PARTIDO CENTRO DEMOCRATICO,92835
Concejo,SAN ANDRES,PROVIDENCIA,LESVIA  HERNANDEZ MERCADO,PARTIDO LIBERAL COLOMBIANO,92826
Concejo,SAN ANDRES,PROVIDENCIA,MICHAEL ORLANDO ROBINSON ARCHBOLD,PARTIDO CENTRO DEMOCRATICO,92834
Concejo,SAN ANDRES,PROVIDENCIA,MORVINA KATRINCA HENRY RIVAS,PARTIDO CENTRO DEMOCRATICO,92831
Concejo,SAN ANDRES,PROVIDENCIA,NIKEYSHA SHOHAEL NEWBALL ROBINSON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92841
Concejo,SAN ANDRES,PROVIDENCIA,NURY AMINTA BOWIE BROWN,PARTIDO CENTRO DEMOCRATICO,92832
Concejo,SAN ANDRES,PROVIDENCIA,ODILIA AMELIA ROSE BROWN,PARTIDO LIBERAL COLOMBIANO,92827
Concejo,SAN ANDRES,PROVIDENCIA,RAYAN LEONARDO VENNER ARCHBOLD,PARTIDO LIBERAL COLOMBIANO,92828
Concejo,SAN ANDRES,PROVIDENCIA,SERGIO NARCISO HUFFINGTON BENT,PARTIDO LIBERAL COLOMBIANO,92825
Concejo,SAN ANDRES,PROVIDENCIA,TRINIDAD  ALCAZAR EDEN,PARTIDO LIBERAL COLOMBIANO,92824
Concejo,SAN ANDRES,PROVIDENCIA,WILLIAM  HOWARD REED,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,92838
