corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,ALBANIA,ADRIANA VICTORIA ARIZA OVALLE,PARTIDO CENTRO DEMOCRATICO,64442
Concejo,SANTANDER,ALBANIA,ANA DOLLY ORTIZ FLOREZ,PARTIDO CENTRO DEMOCRATICO,64444
Concejo,SANTANDER,ALBANIA,ANGELA MARIA HERNANDEZ PINEDA,PARTIDO CAMBIO RADICAL,64455
Concejo,SANTANDER,ALBANIA,ARTURO OCTAVIO ORDOÑEZ GARCIA,PARTIDO LIBERAL COLOMBIANO,64436
Concejo,SANTANDER,ALBANIA,BENYI DANIEL PARRA COMBITA,PARTIDO LIBERAL COLOMBIANO,64435
Concejo,SANTANDER,ALBANIA,CARLOS EFRAIN PARRA SUAREZ,PARTIDO LIBERAL COLOMBIANO,64438
Concejo,SANTANDER,ALBANIA,CESAR OCTAVIO ZARATE VERANO,PARTIDO CAMBIO RADICAL,64458
Concejo,SANTANDER,ALBANIA,CHRISTIAM  FORERO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64474
Concejo,SANTANDER,ALBANIA,CLARA INES PIRABAN DE CORTES,PARTIDO ALIANZA VERDE,64464
Concejo,SANTANDER,ALBANIA,CLAUDIA TERESA PEÑA SUAREZ,PARTIDO ALIANZA VERDE,64465
Concejo,SANTANDER,ALBANIA,DEYANIRA  MORALES SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,64452
Concejo,SANTANDER,ALBANIA,DORIS BEATRIZ AVILA VELANDIA,PARTIDO ALIANZA VERDE,64463
Concejo,SANTANDER,ALBANIA,EDILBERTO  MURILLO MALDONADO,PARTIDO CAMBIO RADICAL,64459
Concejo,SANTANDER,ALBANIA,ELIZABETH  SANTAMARIA NIÑO,PARTIDO CAMBIO RADICAL,64460
Concejo,SANTANDER,ALBANIA,FABIOLA PATRICIA PINILLA VELANDIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64473
Concejo,SANTANDER,ALBANIA,HECTOR ENRIQUE PINEDA PEÑA,PARTIDO CENTRO DEMOCRATICO,64446
Concejo,SANTANDER,ALBANIA,HERNANDO WILLIAM SIERRA PEÑA,PARTIDO CENTRO DEMOCRATICO,64441
Concejo,SANTANDER,ALBANIA,JAIRO  GUERRERO REYES,PARTIDO CAMBIO RADICAL,64456
Concejo,SANTANDER,ALBANIA,JEISON  UMAÑA CASTRO,PARTIDO CENTRO DEMOCRATICO,64443
Concejo,SANTANDER,ALBANIA,JESUS ABRAHAM GONZALEZ COBOS,PARTIDO CONSERVADOR COLOMBIANO,64450
Concejo,SANTANDER,ALBANIA,JESUS HERNANDO VILLANUEVA PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64472
Concejo,SANTANDER,ALBANIA,JOSE ABDON GONZALEZ ,PARTIDO ALIANZA VERDE,64467
Concejo,SANTANDER,ALBANIA,JOSE ALQUIMEDES ROJAS CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,64454
Concejo,SANTANDER,ALBANIA,JOSE ARISTOBULO PARRA HERRERA,PARTIDO ALIANZA VERDE,64462
Concejo,SANTANDER,ALBANIA,JUAN GERARDO PARDO PINZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64470
Concejo,SANTANDER,ALBANIA,LIBER MARIO GONZALEZ RAMIREZ,PARTIDO LIBERAL COLOMBIANO,64434
Concejo,SANTANDER,ALBANIA,LISETH PAOLA PEÑA DIAZ,PARTIDO LIBERAL COLOMBIANO,64439
Concejo,SANTANDER,ALBANIA,MARIA JOSE PAEZ MORENO,PARTIDO CAMBIO RADICAL,64457
Concejo,SANTANDER,ALBANIA,MARISOL  GONZALEZ ,PARTIDO CONSERVADOR COLOMBIANO,64451
Concejo,SANTANDER,ALBANIA,MARY CUSTODIA VELASCO CAÑON,PARTIDO LIBERAL COLOMBIANO,64440
Concejo,SANTANDER,ALBANIA,MILTON JAVIER VELASCO VELASCO,PARTIDO CENTRO DEMOCRATICO,64447
Concejo,SANTANDER,ALBANIA,NANCY BLEYDIS ACERO VELASCO,PARTIDO ALIANZA VERDE,64461
Concejo,SANTANDER,ALBANIA,NANCY JASMIN TELLEZ ,PARTIDO CONSERVADOR COLOMBIANO,64453
Concejo,SANTANDER,ALBANIA,NORBERTO  RODRIGUEZ OVALLE,PARTIDO CONSERVADOR COLOMBIANO,64448
Concejo,SANTANDER,ALBANIA,RAUL  SANTAMARIA SANCHEZ,PARTIDO CONSERVADOR COLOMBIANO,64449
Concejo,SANTANDER,ALBANIA,TIRSO YAIR ARIAS ARIAS,PARTIDO ALIANZA VERDE,64466
Concejo,SANTANDER,ALBANIA,WILSON ADELO DIAZ SIERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64468
Concejo,SANTANDER,ALBANIA,YAZMITH  SILVA ARIZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64469
Concejo,SANTANDER,ALBANIA,YENNY MARISOL QUITIAN VALERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64471
Concejo,SANTANDER,ALBANIA,YOLANDA  BENITEZ AMEZQUITA,PARTIDO CENTRO DEMOCRATICO,64445
Concejo,SANTANDER,ALBANIA,YULY MAYIBE ORTIZ VELASCO,PARTIDO LIBERAL COLOMBIANO,64437
